,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,35,72.58484042954996,65611438.0,200148.0,0.6510617649803901,3.8679777103102,0.2609057970790998,0.6426205201778726,1.0,0.1951761434941577,0.060203659451609715,0.7233959617223044,0.9542295457488112,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,41,72.58484044312718,81462856.0,200148.0,0.4547306188613888,1.5216152055794114,0.7264921150815794,0.2342485343317325,1.0,0.19516383396912115,0.06020420475778907,0.7233968514567162,0.9542328440136776,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,16,72.58484046489212,43688632.0,200148.0,0.8415866876808155,2.055509591354897,0.7882630542534205,0.4142326980780175,1.0,0.19519588277068212,0.0602059939357304,0.7233714649710942,0.9541978166384576,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,46,72.58484051014318,68511430.0,200148.0,0.6385514744967614,1.2984842204689797,0.24958738765771565,0.4902421029888936,1.0,0.19517542042584304,0.06021003045337257,0.7233709518812595,0.9542084358567784,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
4,43,72.58484055194485,78278394.0,200148.0,0.40217368809571297,1.1846654223329045,0.6717153768617377,0.7047193382834741,1.0,0.1951237696192822,0.060203235292190925,0.7234441926311829,0.9542620417696724,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
5,24,72.58484085254094,62528380.0,200148.0,0.4933297753923595,0.7345569116982772,0.6115142250650175,0.7612558374448695,1.0,0.19505661531302096,0.060209075401135376,0.7234415929013335,0.9542635995951688,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
6,21,72.58484086479294,54385238.0,200148.0,0.5189989401003843,2.2320320040985306,0.7887695890296654,0.1345246618176693,1.0,0.19519973796072226,0.060203025217216787,0.7233623911836129,0.954170512017996,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
7,1,72.5848409871862,92696825.0,200148.0,0.6724333739529954,3.0951896384430766,0.4223293531831232,0.8057417817904673,1.0,0.1949996264622148,0.060211772168172015,0.7234672896506407,0.9543023611286175,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
8,2,72.58484108599906,84977494.0,200148.0,0.92367120984162,0.465749952930767,0.8010012802870107,0.5788111159112951,1.0,0.1951640556142267,0.06022302139343697,0.7233300212373691,0.9541666973067634,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
9,7,72.58484141058099,11402233.0,200148.0,0.2746935365987757,0.7502440098313801,0.9795664882448358,0.2978602225974743,1.0,0.19528989713533354,0.06018596392508351,0.7233201159935891,0.9541551911047116,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
10,48,72.5848440303958,48990609.0,200148.0,0.29807897816497403,0.4855335172894522,0.6581631644244926,0.348771620663798,1.0,0.1956636788048116,0.0601781890316647,0.7231870478431249,0.954051356436529,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
11,23,72.58484417658872,10250138.0,200148.0,0.13537678502346273,1.3708050127293752,0.7291259479892911,0.5888445345484257,1.0,0.19501022274731325,0.0602573299683016,0.7234185821090485,0.9542008778522376,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
12,18,72.58484469505328,80148628.0,200148.0,0.637772701433689,0.5169190078725464,0.3728265363772093,0.5246847213679123,1.0,0.19462445488463398,0.060205651156997136,0.7238018801624988,0.9546083362388368,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
13,40,72.58484691984265,41010235.0,200148.0,0.3847072993496176,0.5841987832468623,0.40558439191487977,0.15979510882851033,1.0,0.19535946029384527,0.06025870291179829,0.7231689014750224,0.9538660268841056,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
14,12,72.58485344490533,47230442.0,200148.0,0.36306295731999466,2.826727766171912,0.7168774000594941,0.7852922267954554,1.0,0.19594544952150936,0.0601911058544936,0.7230880496266191,0.9538980431859022,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
15,6,72.58485961029913,73883341.0,200148.0,0.3503061202720197,0.9101146303587782,0.8300378045188062,0.5044543127628088,1.0,0.19433535167438212,0.06030401284449099,0.7235721677014282,0.9543481385578318,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
16,42,72.58486372199434,92326378.0,200148.0,0.8338721070350688,1.3602534165182294,0.9727937998225707,0.21540411309976526,1.0,0.19668921368387815,0.060147628939687815,0.7224746198665694,0.9533660068565669,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
17,14,72.58486502741201,64805946.0,200148.0,0.6014307543294087,0.1598395042989816,0.7041145175933105,0.13277317716678708,1.0,0.19460126647830545,0.06032078735874204,0.7235935533991892,0.9541162035454672,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
18,37,72.58486591607938,3819442.0,200148.0,0.07526861522638338,0.2067912079254211,0.7619413920509247,0.6009453697842608,1.0,0.19429597719184405,0.06019943512666433,0.7236779352412102,0.954717643192872,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
