,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,45,73.05085211095485,82324947.0,200166.0,0.7169704186054531,0.2531876604715008,0.10087125608868776,0.8079715121687278,0.5242388321885463,1.0,0.05,1.25859806456781,0.2806852258346156,0.8503436239841307,0.2662992150584337,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,26,73.08320110659716,85179777.0,200166.0,0.4451376781819331,0.7079477942651784,1.4105954538693677,0.3408719947945241,0.9894988836422076,1.0,0.05,1.2456839967454847,0.2768105924649038,0.8512289746149677,0.2770859915398248,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,32,73.34878034673852,6537369.0,200166.0,0.4976659849438317,0.17163922741133072,0.6106260908512382,0.4101655317597143,0.13409933740787527,1.0,0.05,1.3926050965667058,0.29196961357305656,0.8506450902822037,0.24258128474445997,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,2,73.39237691806525,49891683.0,200166.0,0.0491765646364068,0.1642747146417345,1.2618553682433835,0.21612833861691724,0.35129439636164256,1.0,0.05,1.180305612331228,0.27786660891449105,0.8465128687784906,0.28109009791730305,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
4,43,73.58348877393266,83340134.0,200166.0,0.39301154835721946,0.3803831575126048,1.481284931396176,0.4693660593080805,0.05102255696346543,1.0,0.05,0.9149379024315932,0.27515689860758,0.829014952700323,0.3257020698510496,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
5,25,75.4333621694422,78228891.0,200166.0,0.8240575649270286,0.9842734583289764,0.6726934790015997,0.9804753509659228,0.15937676248723798,1.0,0.1114958860490039,1.2542139914217951,0.2796193209232835,0.6821910031096472,0.3112135061674651,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
6,33,121.61364846180338,51961476.0,200166.0,0.3146212479543851,0.7997254916329848,0.3015674578708824,0.43107666438759823,0.8135868555900474,1.0,0.3967277719437857,0.7595085573594472,0.2910635437550574,0.5088037727004175,0.7766228223102126,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
7,39,123.37833830996529,30555438.0,200166.0,0.4460596929568712,0.4326565099880021,3.502396327100228,0.13363821519830188,0.6545954311259935,1.0,2.0,0.05,3.4847396367103346e-08,2.0,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
8,13,123.37833902722024,16537227.0,200166.0,0.3725539440332681,0.4531485622598762,1.3642325072663155,0.13956034015627453,0.8499585431870499,1.0,2.0,0.05,3.4784785045336497e-08,2.0,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
9,3,123.37833957745238,88183387.0,200166.0,0.042066344934174715,0.9719890192342427,1.312703548981917,0.775571356660453,0.7272155785179653,1.0,2.0,0.05,3.473730347220224e-08,1.9999999999999925,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
10,4,123.37834156274776,14734503.0,200166.0,0.3388496289120979,0.8947625535931959,0.4680287197067384,0.2413571447777989,0.9578978820901212,1.0,2.0,0.05,3.456973211563822e-08,1.9999999999999984,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
11,9,123.37834156329605,78688133.0,200166.0,0.08040209428863429,0.9335422079262544,0.6310532653913788,0.18676714849529052,0.935290501398624,1.0,2.0,0.05,3.456968660482397e-08,1.999999999999999,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
12,11,123.37834156334014,92373122.0,200166.0,0.7613108248662169,0.6916392468682171,1.87780197911906,0.1023990251344258,0.6780596556487579,1.0,2.0,0.05,3.4569682964944786e-08,1.999999999999998,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
13,12,123.37834156379921,60677501.0,200166.0,0.2688760829913418,0.5108408101202963,2.2914641045003967,0.1657665928536061,0.7638718665953785,1.0,2.0,0.05,3.4569644852187365e-08,1.9999999999999991,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
14,14,123.38019815967044,29373401.0,200166.0,0.11670759939515225,0.05084566217740402,2.163577006579972,0.3752252914291267,0.8211977663197932,1.0,0.05,0.05,0.0,0.05,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
15,23,141.28641639158238,64438963.0,200166.0,0.08403422046313089,0.3828891835038489,1.444044428472174,0.4887832222792761,0.8093528300102072,1.0,0.11975877988004625,0.30813501916102004,1.3364254938419189,0.5589034262114186,0.7228896909301165,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
16,20,144.52220827227663,66748057.0,200166.0,0.9294271386948982,0.007435561877525084,0.22972236405914875,0.8673017628589944,0.7335721561775805,1.0,0.4973721217450529,0.9997393461391784,0.08545406989689494,0.4649808409722047,1.3477739553897286,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
