,Unnamed: 0,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,38,102.20887576385401,407260.0,0.05,0.2094866985324432,1.0,0.265718145275738,,0.01911686299959087,,0.5392135214606916,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
1,6,102.20887576387727,407260.0,0.05,0.5515508762028491,1.0,0.13816718717265652,,0.01911688919663996,,0.5392136337350248,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
2,29,102.20887576388078,407260.0,0.05,0.907337233587098,1.0,0.4913542675902468,,0.019116874407028688,,0.5392136718951779,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
3,31,102.2088757638809,407260.0,0.05,0.9445162640350732,1.0,0.20581111547491412,,0.019116850248682312,,0.5392135634233758,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
4,5,102.20887576388478,407260.0,0.05,0.6282046212948641,1.0,0.05184015139964249,,0.019116911831219236,,0.5392135090730754,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
5,19,102.2088757638858,407260.0,0.05,0.3073693493957325,1.0,0.20686490515621647,,0.01911690353878184,,0.5392130757328526,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
6,27,102.20887576388701,407260.0,0.05,0.4279397165115347,1.0,0.057536675090677614,,0.01911689355541222,,0.539213644985945,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
7,1,102.20887576389096,407260.0,0.05,0.9308731897937552,1.0,0.06577623397236697,,0.019116891538649927,,0.539213052216367,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
8,22,102.20887576389904,407260.0,0.05,0.7609874151285307,1.0,0.23590428365104044,,0.019116873900466583,,0.5392137232916041,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
9,8,102.20887576390322,407260.0,0.05,0.2629671263524809,1.0,0.30020622504334504,,0.019116840338994197,,0.5392135300694089,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
10,37,102.20887576390624,407260.0,0.05,0.9497104590864536,1.0,0.14948705464685394,,0.019116920879485168,,0.5392130928566066,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
11,46,102.2088757639118,407260.0,0.05,0.17234983114444202,1.0,0.2791075838835524,,0.019116879030547672,,0.5392137493293568,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
12,28,102.20887576392609,407260.0,0.05,0.4066083282191864,1.0,0.21849660236114346,,0.019116833527307208,,0.5392135353855027,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
13,14,102.20887576392958,407260.0,0.05,0.4600141629104669,1.0,0.15679448258244544,,0.019116840753258396,,0.5392132552145155,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
14,13,102.2088757639744,407260.0,0.05,0.27228377675213633,1.0,0.12211558691635925,,0.01911689901843434,,0.5392138126216812,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
15,10,102.20887576400372,407260.0,0.05,0.7424873818346465,1.0,0.14006571079047192,,0.019116947406396183,,0.5392130326645268,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
16,12,102.2088757640143,407260.0,0.05,0.4515511834724935,1.0,0.2045421984392074,,0.01911692042466076,,0.5392137612163248,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
17,25,102.20887576404029,407260.0,0.05,0.8503550567478362,1.0,0.11753237105041005,,0.01911681329129108,,0.5392133330343227,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
18,30,102.20887576406164,407260.0,0.05,0.6039183997018621,1.0,0.24695216636474224,,0.019116809158096118,,0.5392133455054624,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
19,23,102.20887576422291,407260.0,0.05,0.7053533156518459,1.0,0.07514460669366008,,0.01911678061075548,,0.5392135897088237,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
20,42,117.19148296024599,407260.0,0.05,0.27854719141506434,1.0,0.6826353469740799,,-0.4297595953621149,,-0.836964253315561,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
21,3,117.19148296024599,407260.0,0.05,0.3738609509961451,1.0,0.4953904557369515,,-0.4297599668009621,,-0.8369646530301026,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
22,39,117.19148296024616,407260.0,0.05,0.8583686043194634,1.0,0.022561854581000573,,-0.4297596860381304,,-0.8369642461380169,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
23,47,117.19148296024629,407260.0,0.05,0.6830746329502004,1.0,0.37286250917002906,,-0.4297593019763397,,-0.8369639598983292,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
24,0,117.19148296024643,407260.0,0.05,0.36059595136836586,1.0,0.6294938420399888,,-0.42976004396201983,,-0.8369646489131066,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
25,33,122.68705098911049,407260.0,0.05,0.6422432144826489,1.0,0.37428977738399216,,4.716529833017684,,-22.795979366741985,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
26,18,122.68705098911049,407260.0,0.05,0.06612809672566666,1.0,0.9714486154028454,,0.30147857417629265,,-21.232508404485024,LearningParams_Fit_alpha_pos-exp_Fix_alpha_neg-beta_
