,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
33,17.0,117.14187362463093,92096934.0,100105.0,0.05154257133716905,2.887540213744044,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
34,19.0,117.14187362463093,50734318.0,100105.0,0.30822907545259465,3.6239064298903436,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
35,10.0,117.14187362463093,52163907.0,100105.0,0.7148711290845182,0.8568208804857451,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
36,49.0,117.14187362463093,95992699.0,100105.0,0.16761671901597258,6.68157232671228,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
37,39.0,1370.2966042210217,34758102.0,100105.0,0.26972425063288186,0.4362704337776393,1.0,0.26972425063288186,0.4362704337776393,,LearningParams_Fit_alpha-beta_Fix_exp_
38,1.0,,3810507.0,100105.0,0.4432355680059687,4.563948785807108,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
39,8.0,,47500209.0,100105.0,0.9952816726815642,2.082934374631668,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
40,15.0,,46643006.0,100105.0,0.7483564815415676,3.425014197551141,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
41,25.0,,45171035.0,100105.0,0.9002095005005512,2.1219694733896715,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
42,26.0,,96245773.0,100105.0,0.5973390419713616,5.119917531405095,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
43,28.0,,58444993.0,100105.0,0.5309097029841526,4.8773091913187265,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
44,33.0,,39257882.0,100105.0,0.8370302676896327,2.849245686835409,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
45,36.0,,11772794.0,100105.0,0.7260343753965165,4.10522993255709,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
46,38.0,,92075975.0,100105.0,0.29817778863256084,6.398870341422922,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
47,40.0,,11428684.0,100105.0,0.6530141485761808,7.843066804575675,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
48,41.0,,2212330.0,100105.0,0.7038829420070747,3.557548218041509,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
49,43.0,,58066404.0,100105.0,0.7165972953350087,3.8024389894371966,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
50,,,,,,,,,,,LearningParams_Fit_alpha-beta_Fix_exp_
0,24.0,104.61810157163885,54712712.0,100241.0,0.10046795210681976,3.607637181820202,1.0,0.05,0.0018374387883932145,,LearningParams_Fit_alpha-beta_Fix_exp_
1,19.0,104.61810157163885,39336071.0,100241.0,0.8373495612349066,0.1659656989722463,1.0,0.05,0.0018374385880903558,,LearningParams_Fit_alpha-beta_Fix_exp_
2,14.0,104.61810157163885,2965356.0,100241.0,0.28949935142714445,2.7871147853690803,1.0,0.05,0.0018374383821779519,,LearningParams_Fit_alpha-beta_Fix_exp_
3,45.0,104.61810157163887,14745932.0,100241.0,0.24866586918717035,2.6393181449705096,1.0,0.05,0.001837438981016161,,LearningParams_Fit_alpha-beta_Fix_exp_
4,36.0,104.6181015716389,95861004.0,100241.0,0.6838133519985171,0.240080878069709,1.0,0.05,0.001837438449032717,,LearningParams_Fit_alpha-beta_Fix_exp_
5,48.0,104.6181015716389,19117274.0,100241.0,0.30311204144092313,3.777202097434307,1.0,0.05,0.0018374384387152304,,LearningParams_Fit_alpha-beta_Fix_exp_
6,2.0,104.6181015716389,48103837.0,100241.0,0.2006055558572089,0.1874390651519355,1.0,0.05,0.001837437996781227,,LearningParams_Fit_alpha-beta_Fix_exp_
7,39.0,104.61810157163893,37547782.0,100241.0,0.3047927185850133,3.0366007874155017,1.0,0.05,0.0018374383334009805,,LearningParams_Fit_alpha-beta_Fix_exp_
8,9.0,104.61810157163893,8140707.0,100241.0,0.12641053266228225,2.070774489990332,1.0,0.05,0.0018374383790301183,,LearningParams_Fit_alpha-beta_Fix_exp_
9,30.0,104.61810157163893,68074012.0,100241.0,0.047388310894969324,1.879240907561516,1.0,0.05,0.0018374384301820157,,LearningParams_Fit_alpha-beta_Fix_exp_
10,7.0,104.61810157163895,22897088.0,100241.0,0.6871650125541238,0.5501003996492825,1.0,0.05,0.0018374379987590875,,LearningParams_Fit_alpha-beta_Fix_exp_
11,12.0,104.61810157163895,6268837.0,100241.0,0.3963341751519792,3.1188671287215355,1.0,0.05,0.0018374383955414774,,LearningParams_Fit_alpha-beta_Fix_exp_
12,18.0,104.61810157163895,58572090.0,100241.0,0.15341407064028034,2.301101677310632,1.0,0.05,0.0018374383462269727,,LearningParams_Fit_alpha-beta_Fix_exp_
13,34.0,104.618101571639,67532636.0,100241.0,0.6223813517166304,0.2887552369400515,1.0,0.05,0.0018374378753185114,,LearningParams_Fit_alpha-beta_Fix_exp_
14,28.0,104.6181015716391,72915551.0,100241.0,0.57032564724823,0.5719777769742639,1.0,0.05,0.0018374374381693425,,LearningParams_Fit_alpha-beta_Fix_exp_
15,10.0,104.61810157163912,64445419.0,100241.0,0.7011137679287962,0.6582312324417042,1.0,0.05,0.0018374372096072308,,LearningParams_Fit_alpha-beta_Fix_exp_
16,3.0,104.61810157163916,97901655.0,100241.0,0.1807669222340529,0.4625290196465888,1.0,0.05,0.001837436732788697,,LearningParams_Fit_alpha-beta_Fix_exp_
17,32.0,104.61810157163934,88866354.0,100241.0,0.5705628373963637,0.6859747859290076,1.0,0.05,0.0018374361229725532,,LearningParams_Fit_alpha-beta_Fix_exp_
18,17.0,104.61810157163949,59325579.0,100241.0,0.7910048895949844,0.8385810374749669,1.0,0.05,0.0018374352165331672,,LearningParams_Fit_alpha-beta_Fix_exp_
19,16.0,104.61810157163994,11729540.0,100241.0,0.23819060937326345,0.6241314438269528,1.0,0.05,0.0018374336023584718,,LearningParams_Fit_alpha-beta_Fix_exp_
20,47.0,104.61810157164018,38479588.0,100241.0,0.8663524046660342,1.051228757087774,1.0,0.05,0.0018374326912674692,,LearningParams_Fit_alpha-beta_Fix_exp_
21,1.0,104.61810157164116,13159789.0,100241.0,0.9396878226927092,1.068445412226973,1.0,0.05,0.00183742991519178,,LearningParams_Fit_alpha-beta_Fix_exp_
22,44.0,104.61810157164336,92323464.0,100241.0,0.6218479385975674,1.2151667192562376,1.0,0.05,0.0018374249814406907,,LearningParams_Fit_alpha-beta_Fix_exp_
23,29.0,104.61810157164342,49121031.0,100241.0,0.5125888562529161,1.135379058784313,1.0,0.05,0.001837424878482496,,LearningParams_Fit_alpha-beta_Fix_exp_
