,Unnamed: 0,neglogprob,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,44,91.20466832544581,200088.0,0.2919600117954476,1.0,0.5,0.19661925661742494,0.04878360159007263,,,0.5121792005640877,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
1,40,91.20466832546673,200088.0,0.27015916895578185,1.0,0.5,0.1892130582021204,0.04878369007859803,,,0.5121790892812956,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
2,48,91.20466832547658,200088.0,0.26090252945213044,1.0,0.5,0.4648362712630075,0.048783559194382,,,0.5121794643982442,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
3,0,91.20466832549153,200088.0,0.7768159838075784,1.0,0.5,0.3173407587527549,0.048783710070499295,,,0.5121790180598156,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
4,39,91.20466832549171,200088.0,0.6083199481322082,1.0,0.5,0.045418890639521536,0.048783708490503265,,,0.5121790138152079,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
5,36,91.20466832549627,200088.0,0.36694110481076025,1.0,0.5,0.4641728687044532,0.048783577015682436,,,0.512179059624609,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
6,42,91.20466832549835,200088.0,0.3969883251708399,1.0,0.5,0.4958437327666865,0.048783561283299685,,,0.5121790925545145,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
7,31,91.2046683254998,200088.0,0.4378787406320125,1.0,0.5,0.5082309761768878,0.04878368586949591,,,0.5121789606071889,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
8,1,91.20466832550369,200088.0,0.6525729404444891,1.0,0.5,0.4280275106985197,0.048783684793047136,,,0.5121794421373136,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
9,37,91.20466832550385,200088.0,0.27101599681559496,1.0,0.5,0.3176323029893557,0.04878370434299795,,,0.5121789654779381,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
10,29,91.20466832551512,200088.0,0.9608781957340023,1.0,0.5,0.03433748558930138,0.04878355006773424,,,0.5121790784916338,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
11,21,91.20466832551612,200088.0,0.27150779617794274,1.0,0.5,0.22244358365097616,0.04878371672215552,,,0.5121793821064591,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
12,8,91.20466832551773,200088.0,0.4546694593531253,1.0,0.5,0.5389039166613884,0.048783703657240204,,,0.5121789272949332,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
13,3,91.20466832552248,200088.0,0.6911892602224577,1.0,0.5,0.04180939065486755,0.048783646403875114,,,0.5121789129438438,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
14,5,91.20466832552307,200088.0,0.06963431235774152,1.0,0.5,0.2481272165852753,0.04878353490312983,,,0.5121795807595793,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
15,28,91.20466832552928,200088.0,0.622668646957534,1.0,0.5,0.3480346780294148,0.04878375274846798,,,0.5121792577860275,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
16,25,91.2046683255377,200088.0,0.9755516873596776,1.0,0.5,0.206890912751179,0.04878372538963115,,,0.5121794100720215,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
17,22,91.2046683255392,200088.0,0.7404402466148013,1.0,0.5,0.4779143168652805,0.04878354749083817,,,0.5121790304567471,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
18,38,91.20466832554384,200088.0,0.1802597118195366,1.0,0.5,0.6120129719758354,0.04878370523436307,,,0.5121794821186301,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
19,15,91.20466832555252,200088.0,0.0714254146215948,1.0,0.5,0.5442704334297886,0.048783774464371064,,,0.5121790103308003,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
20,43,91.2046683255572,200088.0,0.5818187643155716,1.0,0.5,0.5713594095808748,0.04878369687192737,,,0.5121795275863013,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
21,7,91.20466832556049,200088.0,0.8975779353900496,1.0,0.5,0.19484443542608187,0.04878348641140565,,,0.5121791981797157,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
22,41,91.2046683255693,200088.0,0.1379518243919573,1.0,0.5,0.372176674128149,0.04878370913535677,,,0.5121795208971767,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
23,45,91.20466832561036,200088.0,0.9590565352472128,1.0,0.5,0.524287753860885,0.04878353636843445,,,0.5121789314021824,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
24,32,91.20466832561104,200088.0,0.000965605759301158,1.0,0.5,0.2319764895859222,0.04878381459442704,,,0.512179029041701,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
25,20,91.20466832561371,200088.0,0.1980481489884693,1.0,0.5,0.3015001606045986,0.04878377568343718,,,0.5121788167097354,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
26,23,91.20466832562795,200088.0,0.29596245465462645,1.0,0.5,0.25448502515749816,0.048783801378184825,,,0.5121788542677034,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
27,46,91.20466832562916,200088.0,0.7005635140704908,1.0,0.5,0.24844397531661544,0.04878382399024248,,,0.5121790115142639,LearningParams_Fit_alpha-exp_pos_Fix_beta-exp_neg_
