,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,15,74.92734473551903,51262827.0,100191.0,0.7421887931483668,1.9836192000251494,0.7784199743992531,0.14358240654481308,2.1854479293089017,0.05,0.06335594003373764,0.644016504231149,1.1118414587042007,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,22,74.92734473568765,83379260.0,100191.0,0.0781036355736312,0.3747073847950688,0.9137956159777071,0.7319318529644535,3.146065495152879,0.05,0.06335542539128561,0.6440169727886786,1.1118427432454865,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,46,74.9273447374884,12589205.0,100191.0,0.42811487550551536,1.0397038446812763,0.6828018540823348,0.09727548160365747,4.3454097743289,0.05,0.063357467559332,0.6440132699551163,1.11183673740412,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,38,74.92734474118889,87148244.0,100191.0,0.4157707390694387,0.1836266034896442,0.4504935279606376,0.08817100138858824,2.6948936246007604,0.05,0.06335453386001755,0.644016996527478,1.1118425760722674,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
4,12,74.9273447496663,38646007.0,100191.0,0.7990640585788514,1.2100128064507327,0.2469818484481517,0.4630924696573275,2.506146351526983,0.05,0.06335925959065214,0.6440087629594956,1.111825544320706,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
5,24,74.9273447735493,9371892.0,100191.0,0.31514931853037104,1.7080578121773835,0.8618279389813083,0.2313030033312871,0.6281115528880921,0.05,0.06335913679554463,0.6440131480089968,1.1118260010804526,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
6,37,74.92734479527856,35692744.0,100191.0,0.2338042359390497,1.821407000129728,0.3031068714585882,0.2996423775085945,4.175917732747768,0.05,0.06335545948533226,0.6440180584393916,1.1118301225091909,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
7,2,74.92734504028344,17123677.0,100191.0,0.4916587909148242,1.490795974813622,0.7492883512910552,0.2464091452534083,0.3180360737384811,0.05,0.06335583128083655,0.644012698778605,1.1118693153432644,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
8,45,74.9273450462301,90530403.0,100191.0,0.07974212431152627,2.0793210585645223,0.6946929314929929,0.9484114846583696,3.683617912270785,0.05,0.06335236237248479,0.6440187919293858,1.1118800403094171,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
9,43,74.92734506295731,22687491.0,100191.0,0.3564453883937379,3.0966672759450864,0.5271886662294684,0.033690478736384984,3.0827516374056136,0.05,0.06333694820455234,0.6440575103474897,1.1119037149647688,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
10,40,74.92734528181205,40374125.0,100191.0,0.3521168930355016,3.9304171621464654,0.3056484089754206,0.16045414596811647,1.592004938159668,0.05,0.06334538293153562,0.6440413892186028,1.1118449371650985,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
11,8,74.92734530522804,91796282.0,100191.0,0.6183225553727916,1.7005849618063231,0.7638307900448671,0.7239476959919806,2.6630634324753704,0.05,0.06334535945057547,0.6440202906813068,1.1118855509980818,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
12,5,74.92734557032455,58308585.0,100191.0,0.1422943065149294,2.0566994046198888,0.3626337201740446,0.10397246756867727,1.9593016617290004,0.05,0.06334678710485425,0.6440378511560035,1.1118266230959368,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
13,42,74.92735126835888,7985832.0,100191.0,0.4005634502392805,1.0434855268549992,0.6023896295258419,0.2497289280414145,3.40317570170468,0.05,0.06333189611706164,0.6440428673643017,1.1117546859346217,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
14,7,74.9273554966528,27351067.0,100191.0,0.0896378820554891,2.900962010018218,0.7273486004787316,0.15039674429520095,1.18411456024443,0.05,0.0633336381215627,0.6440659877696961,1.1121188064966323,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
15,20,74.92735950317534,67488762.0,100191.0,0.1155405829415546,1.9591113033022456,0.474004460899474,0.5340941567209886,0.04736502041484414,0.05,0.06348638874527372,0.6437438485792897,1.1113102444035814,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
16,35,74.92735994876908,26759092.0,100191.0,0.26591028479304063,1.3437600504692868,0.7116538543609979,0.42403595308715797,1.3392643380178455,0.05,0.06347385646942216,0.6437298432681519,1.1113932273207872,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
17,36,74.93106462870702,3234007.0,100191.0,0.37081165518701337,0.23662714632167905,0.1932310196411376,0.8907635815568049,2.0487958699808013,0.05232255750881741,0.06148696590801352,0.6429795469799852,1.1113858437546265,10.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
18,33,77.61324811416785,13078735.0,100191.0,0.5245544944266722,0.3862619238722941,0.14167710785088666,0.6719105590156044,3.5145511626067494,0.20309795975163816,0.05125102768301065,0.6068995797466845,0.9143707734117836,3.1437642407721342,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
