,Unnamed: 0,neglogprob,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,27,110.61654739192959,200211.0,0.05,2.040511200743764,0.8777492857278325,0.07768661562671764,,1.6536507589153897,0.07410793280153767,0.13244164144548834,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
1,28,110.61654739192967,200211.0,0.05,1.2683080022874604,0.7148278156417395,0.2605544554098256,,1.653650621726155,0.07410789497388531,0.13244161642662314,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
2,4,110.61654739192976,200211.0,0.05,0.4395126176538777,0.3317462899052044,0.4968632532761445,,1.6536504561054313,0.07410803604549263,0.13244169470321088,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
3,9,110.61654739192976,200211.0,0.05,3.3810833345945515,0.32935542331079226,0.11370135048720732,,1.6536502330756884,0.07410800339519785,0.13244167118152222,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
4,11,110.61654739192984,200211.0,0.05,0.699136891300603,0.8298989157594613,0.8205564156468095,,1.6536501994376833,0.07410795529745695,0.13244171098614482,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
5,14,110.61654739192984,200211.0,0.05,4.5070990840504175,0.6745307548109742,0.3440186142636599,,1.653650277167975,0.07410805797129147,0.13244172661556394,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
6,32,110.61654739192984,200211.0,0.05,0.4426332438999631,0.6218181499415425,0.368883960939126,,1.6536508199928377,0.07410790433414269,0.132441627013548,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
7,49,110.61654739193004,200211.0,0.05,0.7872401339094592,0.6024305682699368,0.4753932358388886,,1.6536500861087473,0.07410791754672402,0.1324416912299573,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
8,37,110.61654739193004,200211.0,0.05,1.072276022722265,0.4092446583052587,0.4367442226509922,,1.6536505045160586,0.07410787277073247,0.13244159451984566,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
9,40,110.61654739193008,200211.0,0.05,1.4745646812174869,0.7409334818862713,0.8076518716388992,,1.6536505041205245,0.07410784986298499,0.13244161296469592,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
10,35,110.61654739193014,200211.0,0.05,1.466415111085306,0.34836532313923874,0.6339372917612207,,1.653650851395445,0.0741079641027623,0.13244168476998208,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
11,16,110.61654739193014,200211.0,0.05,4.013622616673394,0.7938857862563274,0.03745703611356166,,1.6536503988210716,0.07410801500180422,0.13244174745723786,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
12,34,110.61654739193018,200211.0,0.05,2.4802290415736024,0.17414949701965854,0.19538060175021696,,1.653650849527251,0.074107868282349,0.13244159023261093,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
13,21,110.61654739193024,200211.0,0.05,1.3088979488814012,0.03309533039319179,0.6486365340241023,,1.6536498947832512,0.07410793850730116,0.13244167538824966,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
14,46,110.61654739193027,200211.0,0.05,2.4697588720608583,0.2319140528093292,0.6078625337527033,,1.6536500341217146,0.0741080744942815,0.13244176470107988,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
15,6,110.61654739193041,200211.0,0.05,0.9680496012536473,0.5993313574354667,0.05648566516314112,,1.6536503823014503,0.07410785556866273,0.13244165774641173,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
16,17,110.61654739193048,200211.0,0.05,1.1312024829035634,0.328188227871247,0.3804945871372559,,1.6536499298570706,0.07410801821781271,0.13244176269400548,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
17,24,110.61654739193062,200211.0,0.05,0.8914712619223181,0.8121848099742551,0.23040471216910666,,1.6536506738722765,0.07410808096361299,0.13244171321751086,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
18,7,110.6165473919308,200211.0,0.05,1.5057066659389369,0.5606675306796209,0.3893502465223466,,1.6536501211430081,0.07410807740463153,0.13244179240813353,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
19,33,110.61654739193087,200211.0,0.05,0.712204475386567,0.8899212231272453,0.623105862348889,,1.6536510705914282,0.07410799978337579,0.13244166199345486,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
20,42,110.61654739193109,200211.0,0.05,0.7064673793200016,0.7945584592928252,0.8383598669259295,,1.6536499427611822,0.07410797369743599,0.13244163871720574,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
21,29,110.6165473919312,200211.0,0.05,1.1696435038609378,0.4924079907176678,0.6164117467709171,,1.6536497691228318,0.07410792056457452,0.13244165612509512,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
22,8,110.6165473919314,200211.0,0.05,3.7799852592454863,0.05810856432300005,0.4229537592245798,,1.6536499169816803,0.07410794833570454,0.13244176000035562,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
23,0,110.61654739193187,200211.0,0.05,2.688478322400337,0.9857325985643198,0.16168706054093096,,1.6536504616294805,0.07410775783223271,0.1324415697178859,LearningParams_Fit_beta-exp_neg-exp_pos_Fix_alpha_
