,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
32,21,,28838583.0,408952.0,0.13490170035857926,0.6136229008912523,0.2112600394292987,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
33,22,,64040361.0,408952.0,0.8810458989599459,1.084559047347204,0.07962909803419309,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
34,23,,81699341.0,408952.0,0.06462194099972286,0.7397494700781636,0.6001056072549215,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
35,24,,31945107.0,408952.0,0.11904079738378992,0.5409749321659119,0.09144090012689317,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
36,25,,71399459.0,408952.0,0.1349073978191918,4.26319361314955,0.4845057120780495,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
37,26,,82550270.0,408952.0,0.07339466682012233,0.5939008079993351,0.2397908375380139,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
38,27,,2615453.0,408952.0,0.32245358858156475,2.165299347514824,0.2204926657828088,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
39,28,,94252681.0,408952.0,0.544938925875258,2.120465252287084,0.2276102907921953,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
40,30,,86729573.0,408952.0,0.3444897920579524,0.7780361973613392,0.2518219996004735,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
41,32,,66897213.0,408952.0,0.5849696404400082,4.593091908160091,0.23516732145349506,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
42,37,,36904191.0,408952.0,0.8642233443797895,0.4705291043985906,0.4311292544767629,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
43,38,,2032626.0,408952.0,0.1271807161500559,3.459428798943853,0.43560497016152666,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
44,39,,60722876.0,408952.0,0.4882489404550321,0.8361574384674351,0.13836398615411205,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
45,40,,52594471.0,408952.0,0.4340590055655349,2.8848432816346365,0.3078823515996673,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
46,43,,30247483.0,408952.0,0.4319492965584283,0.251114720052944,0.4115375026554541,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
47,44,,43558397.0,408952.0,0.4424646110243676,4.587938796540847,0.9875863963159998,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
48,45,,71900315.0,408952.0,0.8636615514062342,0.12036014410119815,0.28624883763202635,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
49,46,,48752888.0,408952.0,0.9307678964864964,0.8739615814967644,0.2345537641696865,inf,inf,inf,LearningParams_Fit_alpha-beta-exp_Fix_
0,0,121.99390381855056,2127718.0,100129.0,0.5659525629101877,4.3160140173421695,0.5314113574055375,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
1,25,121.99390381855056,88607528.0,100129.0,0.9248718766853568,0.148845995477697,0.7911820855635424,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
2,26,121.99390381855056,40595323.0,100129.0,0.7259165182310915,3.2897036086217843,0.2616168325986176,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
3,27,121.99390381855056,30578029.0,100129.0,0.7492293219584957,0.973209511989818,0.5740508377631223,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
4,28,121.99390381855056,90155506.0,100129.0,0.5152111465466314,3.1024569957011234,0.08824203176788974,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
5,30,121.99390381855056,39776397.0,100129.0,0.8858415415299128,0.4024025763495568,0.1825986292329156,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
6,31,121.99390381855056,19706519.0,100129.0,0.6075128280697341,1.7362667987393854,0.10875324397808034,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
7,33,121.99390381855056,12340908.0,100129.0,0.35808379907505544,2.4469265895931565,0.3703197682389399,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
8,35,121.99390381855056,68972595.0,100129.0,0.3939378650069906,3.9548160973857063,0.9809341787425504,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
9,24,121.99390381855056,56415269.0,100129.0,0.5824223661616793,0.41316565668460464,0.5531819944564238,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
10,36,121.99390381855056,9617292.0,100129.0,0.5402892896510384,2.0330483749604698,0.5099114983765263,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
11,38,121.99390381855056,22434693.0,100129.0,0.4576301047917578,1.7721743512425552,0.3312565468054237,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
12,39,121.99390381855056,15561713.0,100129.0,0.045674499469992094,1.0322043321070762,0.5898811683096671,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
13,40,121.99390381855056,58556746.0,100129.0,0.7356095244299705,0.21446297610416915,0.41541342871817866,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
14,41,121.99390381855056,79189850.0,100129.0,0.37807987335555204,2.1018959077111794,0.3918538883291626,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
15,42,121.99390381855056,93506894.0,100129.0,0.31184792069292017,0.9016893528816377,0.3449480198133867,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
16,43,121.99390381855056,97099080.0,100129.0,0.10156050988925093,1.8928468007749288,0.6906017249082635,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
17,44,121.99390381855056,71662421.0,100129.0,0.9836467999219449,1.2615563749739411,0.6327418153913498,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
18,46,121.99390381855056,48724094.0,100129.0,0.6209222172750066,3.254883786735152,0.11015121217158354,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
19,37,121.99390381855056,435705.0,100129.0,0.6856432562679183,0.6142531341831552,0.440196779581256,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
20,47,121.99390381855056,43519642.0,100129.0,0.44053291741367095,0.540745235705277,0.7941555336052301,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
21,23,121.99390381855056,71222463.0,100129.0,0.3047094993270679,0.6838474411080634,0.8356703981674947,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
22,21,121.99390381855056,52014429.0,100129.0,0.4417608527642435,2.1066936542798618,0.8713542814158788,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
23,2,121.99390381855056,72845746.0,100129.0,0.6246307471447758,2.7523769837734235,0.9488551449625908,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
24,3,121.99390381855056,63167178.0,100129.0,0.5046935786929585,1.9310882084011716,0.8037274726125474,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
25,4,121.99390381855056,83184754.0,100129.0,0.8294848831504921,2.168399526381272,0.8606559780203991,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
26,5,121.99390381855056,53891428.0,100129.0,0.03287926036268569,2.2479399074909234,0.7634872788211002,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
27,6,121.99390381855056,48636440.0,100129.0,0.6854204631207134,2.5382363000857904,0.03999076753260411,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
28,8,121.99390381855056,33292920.0,100129.0,0.26695309650958315,3.822930662514952,0.6141324251743493,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
29,9,121.99390381855056,38200665.0,100129.0,0.4308944007261317,1.4711736385525251,0.8541639437052406,0.05,0.0,0.05,LearningParams_Fit_alpha-beta-exp_Fix_
