,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,8,109.85254418785358,38301148.0,411477.0,0.1991488291715948,0.301604108933875,0.24690233484671945,0.3658183469732913,0.29310439985559306,0.2765788119374917,0.16475692264745942,0.2027377676805342,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
1,41,110.48298644480244,49284243.0,411477.0,0.1020332312092578,1.077166446604933,0.25369114360481937,0.17993788750590303,0.06468805975115978,0.9877363873668036,0.18296664250121486,0.21881452716835706,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
2,25,120.60760947743069,10918247.0,411477.0,0.5491199802540676,0.12714001939025898,0.7383454416102015,0.2079305201786068,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
3,29,120.60760947743069,5655484.0,411477.0,0.6379943694459964,1.8434141161728381,0.10370810860265768,0.06491521020468738,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
4,30,120.60760947743069,73400606.0,411477.0,0.12204301551708048,0.8186679399767628,0.5097964584932313,0.13293889398429734,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
5,31,120.60760947743069,87016576.0,411477.0,0.6538968948714435,0.8851528696943872,0.2395577072991678,0.4118681011125636,0.0,0.0,1.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
6,32,120.60760947743069,46074530.0,411477.0,0.2497550188576865,3.1980413459101915,0.1334779739808366,0.2505604114685103,0.0,0.0,0.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
7,33,120.60760947743069,40183413.0,411477.0,0.3591201493041112,2.882524939841446,0.9782991479447258,0.412810257842176,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
8,34,120.60760947743069,41944097.0,411477.0,0.3557429268211709,1.0982597364602196,0.33446023713385786,0.04293906135514114,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
9,35,120.60760947743069,44686116.0,411477.0,0.7753486616996251,3.203486142458198,0.14965142019716526,0.8247913170292971,0.0,0.0,1.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
10,36,120.60760947743069,48710602.0,411477.0,0.3144300114103935,1.5825005591820689,0.2061162795039405,0.1660859083152949,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
11,37,120.60760947743069,60995356.0,411477.0,0.8314758520142772,0.6992206782726742,0.5074961273371549,0.5938451707283229,0.0,0.0,0.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
12,38,120.60760947743069,73875858.0,411477.0,0.13493123235517213,5.078962890612702,0.2294194098899256,0.7463117638474362,0.0,0.0,1.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
13,39,120.60760947743069,60893049.0,411477.0,0.13638514189073567,0.7488970566500085,0.7349635458990968,0.0708961112179709,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
14,40,120.60760947743069,91159498.0,411477.0,0.26878120334916444,2.9184741158876184,0.5306748582495199,0.7016491409703324,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
15,42,120.60760947743069,23495979.0,411477.0,0.2862809896037771,1.828230933445036,0.2014221933468595,0.12502643871037866,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
16,43,120.60760947743069,41408303.0,411477.0,0.8531231719271171,1.7230795832355514,0.1972059841272924,0.08452471156072949,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
17,44,120.60760947743069,45650307.0,411477.0,0.5401052908356887,0.9191551306598992,0.0916381105052252,0.40184696102520007,0.0,0.0,1.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
18,45,120.60760947743069,89330306.0,411477.0,0.07748885537012275,4.940912874332906,0.09703109317798986,0.7372259677943043,0.0,0.0,1.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
19,46,120.60760947743069,6312174.0,411477.0,0.10066436165368148,4.4707519108941085,0.3873220922139041,0.319754215501037,0.0,0.0,0.0,0.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
20,47,120.60760947743069,51075828.0,411477.0,0.8698760761425679,3.813781728088641,0.6964522216273823,0.8499880036699917,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
21,28,120.60760947743069,10063141.0,411477.0,0.2777229816500158,2.3751699867025136,0.5873235602854193,0.2324772354064276,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
22,26,120.60760947743069,81688084.0,411477.0,0.18102008432574065,0.7581406963696278,0.3653121897996173,0.1876329417801016,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
23,49,120.60760947743069,79595341.0,411477.0,0.8670165308325584,3.1520530318945026,0.9577435093296632,0.5025200439739476,0.0,0.0,0.0,1.0,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_
