,Unnamed: 0,neglogprob,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
0,47,48.41157945023698,409381.0,0.05,3.843841460940177,0.6989733898483441,,0.5744036554303531,0.7651954591468768,LearningParams_Fit_beta-exp_Fix_alpha_
1,44,48.41157945023704,409381.0,0.05,2.296965877442376,0.7470669097083481,,0.5744032978689926,0.7651955461526041,LearningParams_Fit_beta-exp_Fix_alpha_
2,10,48.41157945023731,409381.0,0.05,1.3110482871137057,0.3950665697609476,,0.5744038371805229,0.7651954204104314,LearningParams_Fit_beta-exp_Fix_alpha_
3,26,48.41157945023733,409381.0,0.05,3.6552212780691584,0.6733399769327205,,0.5744032609353068,0.7651955493947706,LearningParams_Fit_beta-exp_Fix_alpha_
4,48,48.411579450237475,409381.0,0.05,4.751702502760915,0.8680262359232586,,0.5744032654237958,0.765195548520633,LearningParams_Fit_beta-exp_Fix_alpha_
5,0,48.411579450237554,409381.0,0.05,4.168920745280906,0.5403286761632929,,0.5744035410289311,0.7651954691011386,LearningParams_Fit_beta-exp_Fix_alpha_
6,37,48.411579450237554,409381.0,0.05,0.1756864445442452,0.17637985359390929,,0.5744032391460194,0.7651955717292501,LearningParams_Fit_beta-exp_Fix_alpha_
7,21,48.41157945023762,409381.0,0.05,0.5843879868655927,0.8291649742320725,,0.5744038915270162,0.7651954084126766,LearningParams_Fit_beta-exp_Fix_alpha_
8,9,48.41157945023762,409381.0,0.05,4.840016152371477,0.4513540302633824,,0.5744036321341869,0.7651954923479285,LearningParams_Fit_beta-exp_Fix_alpha_
9,1,48.41157945023764,409381.0,0.05,4.589694684337911,0.4900461913307458,,0.5744032817898634,0.7651955663828991,LearningParams_Fit_beta-exp_Fix_alpha_
10,28,48.41157945023768,409381.0,0.05,1.0376112625320533,0.968634979431445,,0.5744032900957473,0.7651955342113705,LearningParams_Fit_beta-exp_Fix_alpha_
11,40,48.41157945023768,409381.0,0.05,0.526556157815326,0.4646400662919862,,0.5744038855040561,0.7651954013280533,LearningParams_Fit_beta-exp_Fix_alpha_
12,18,48.4115794502377,409381.0,0.05,0.8411259216401756,0.898295770572557,,0.574403203982214,0.7651955689262184,LearningParams_Fit_beta-exp_Fix_alpha_
13,33,48.411579450237724,409381.0,0.05,4.613832393988705,0.19713251812495536,,0.5744037885797482,0.7651954075628,LearningParams_Fit_beta-exp_Fix_alpha_
14,39,48.411579450237724,409381.0,0.05,2.3662742072487792,0.19100582801665436,,0.5744037906708093,0.7651954492281796,LearningParams_Fit_beta-exp_Fix_alpha_
15,30,48.41157945023774,409381.0,0.05,4.027939959640234,0.9854278828083688,,0.5744038153173319,0.7651954042747056,LearningParams_Fit_beta-exp_Fix_alpha_
16,23,48.41157945023782,409381.0,0.05,3.2353156098657054,0.9658895794871968,,0.574403361175085,0.7651955654784977,LearningParams_Fit_beta-exp_Fix_alpha_
17,16,48.411579450237895,409381.0,0.05,2.0993968959072995,0.4283137446850521,,0.5744039539351713,0.7651953782225884,LearningParams_Fit_beta-exp_Fix_alpha_
18,4,48.411579450237944,409381.0,0.05,0.32896505715459823,0.7386334268360212,,0.5744036025856012,0.7651954451207686,LearningParams_Fit_beta-exp_Fix_alpha_
19,41,48.41157945023803,409381.0,0.05,3.0274116909011535,0.5631382964791231,,0.5744031222375429,0.7651956132479962,LearningParams_Fit_beta-exp_Fix_alpha_
20,13,48.411579450238065,409381.0,0.05,3.5159925397277307,0.7523531730438207,,0.5744035360719142,0.7651955224615432,LearningParams_Fit_beta-exp_Fix_alpha_
21,22,48.411579450238094,409381.0,0.05,0.2791698836292622,0.6174170249271571,,0.5744035103221466,0.7651955324561075,LearningParams_Fit_beta-exp_Fix_alpha_
22,45,48.4115794502381,409381.0,0.05,3.1368433827715516,0.42762084392508426,,0.5744037354339876,0.7651954123122331,LearningParams_Fit_beta-exp_Fix_alpha_
23,5,48.41157945023815,409381.0,0.05,0.7042215656126205,0.8982721589580759,,0.5744036386302136,0.7651955015876901,LearningParams_Fit_beta-exp_Fix_alpha_
24,15,48.41157945023821,409381.0,0.05,4.745318557010194,0.5899092189570065,,0.5744032723019536,0.7651955912365884,LearningParams_Fit_beta-exp_Fix_alpha_
25,19,48.41157945023826,409381.0,0.05,2.2653093567274336,0.5390392681432562,,0.574403367303407,0.7651955683576371,LearningParams_Fit_beta-exp_Fix_alpha_
26,42,48.41157945023826,409381.0,0.05,0.4555397878117767,0.8933066637008643,,0.574403488885905,0.7651955419638997,LearningParams_Fit_beta-exp_Fix_alpha_
27,11,48.41157945023839,409381.0,0.05,0.14266291868239522,0.2851114473636627,,0.5744039365116518,0.7651954143043531,LearningParams_Fit_beta-exp_Fix_alpha_
28,6,48.41157945023864,409381.0,0.05,2.277373589385523,0.3605882425741789,,0.5744039466766387,0.7651953628210766,LearningParams_Fit_beta-exp_Fix_alpha_
29,2,48.41157945023868,409381.0,0.05,2.6331232216081446,0.32378257919244857,,0.5744040207403233,0.76519535166207,LearningParams_Fit_beta-exp_Fix_alpha_
30,3,48.411579450238904,409381.0,0.05,0.04575548476712765,0.9468872895330523,,0.5744031787008951,0.7651956167225873,LearningParams_Fit_beta-exp_Fix_alpha_
31,24,48.411579450238925,409381.0,0.05,4.399392834428179,0.4312282879569341,,0.5744035715223632,0.7651954400777109,LearningParams_Fit_beta-exp_Fix_alpha_
32,14,48.41157945023915,409381.0,0.05,4.3092726808825565,0.6214485494819949,,0.5744029556724748,0.7651956517535003,LearningParams_Fit_beta-exp_Fix_alpha_
33,46,48.41157945023921,409381.0,0.05,0.07271356949129948,0.9152697281869604,,0.5744036669045012,0.7651954143736357,LearningParams_Fit_beta-exp_Fix_alpha_
34,38,48.41157945023942,409381.0,0.05,2.914409320107513,0.4698892801691618,,0.5744037060500913,0.7651954948046127,LearningParams_Fit_beta-exp_Fix_alpha_
35,32,48.41157945023944,409381.0,0.05,3.0040703658730097,0.570378057886916,,0.5744038569350054,0.7651954551499168,LearningParams_Fit_beta-exp_Fix_alpha_
36,29,48.411579450239465,409381.0,0.05,4.322679677003326,0.5240271703335064,,0.5744034217475409,0.7651955706716314,LearningParams_Fit_beta-exp_Fix_alpha_
37,27,48.4115794502401,409381.0,0.05,0.7273306659849138,0.7546931058087478,,0.5744035420119624,0.7651954353675552,LearningParams_Fit_beta-exp_Fix_alpha_
38,36,48.41157945024057,409381.0,0.05,4.29565776449863,0.7718043396477066,,0.5744031807362643,0.7651956342792166,LearningParams_Fit_beta-exp_Fix_alpha_
39,8,48.4115794502406,409381.0,0.05,1.9776077735931048,0.9541825895926412,,0.5744031095058871,0.7651955519091083,LearningParams_Fit_beta-exp_Fix_alpha_
40,43,48.411579450240815,409381.0,0.05,1.9910377793895893,0.2927916289766156,,0.5744030642345823,0.7651956588638853,LearningParams_Fit_beta-exp_Fix_alpha_
41,12,48.411579450241206,409381.0,0.05,3.0587264283421,0.8603022051591237,,0.5744033402628754,0.7651954803895767,LearningParams_Fit_beta-exp_Fix_alpha_
42,25,48.4115794502421,409381.0,0.05,1.5687487693266449,0.7831278550833712,,0.5744042548153019,0.7651952679699262,LearningParams_Fit_beta-exp_Fix_alpha_
43,34,48.41157945024288,409381.0,0.05,1.6376911834959484,0.5512727028536232,,0.5744039623314471,0.7651954520939794,LearningParams_Fit_beta-exp_Fix_alpha_
44,20,58.86577065164939,409381.0,0.05,4.209765731121451,0.12691817462707067,,-19.322877921940567,-0.5917092690278025,LearningParams_Fit_beta-exp_Fix_alpha_
45,35,58.865770651649434,409381.0,0.05,2.8596364611412675,0.1279106118723653,,-19.322877795370427,-0.5917092542085995,LearningParams_Fit_beta-exp_Fix_alpha_
46,7,58.865770651649434,409381.0,0.05,2.5831561412854454,0.11899069864806487,,-19.32287778679143,-0.5917092600170271,LearningParams_Fit_beta-exp_Fix_alpha_
47,31,58.86577065164946,409381.0,0.05,0.5249706963088213,0.061400069015479786,,-19.32287765447784,-0.5917092492166105,LearningParams_Fit_beta-exp_Fix_alpha_
48,49,58.865770651649505,409381.0,0.05,0.2632017314576518,0.05578982303911606,,-19.322875607102254,-0.5917091844070868,LearningParams_Fit_beta-exp_Fix_alpha_
49,17,58.86577065164954,409381.0,0.05,3.0972060787941444,0.03888734524390591,,-19.32287716156368,-0.5917092359370963,LearningParams_Fit_beta-exp_Fix_alpha_
0,27,95.92902413106042,100247.0,0.05,3.849662043848692,0.6253805183826424,,0.6892053291720059,0.5600601445538201,LearningParams_Fit_beta-exp_Fix_alpha_
1,19,95.92902413106042,100247.0,0.05,1.09500957489097,0.23762859689204266,,0.6892056378200297,0.5600600829030713,LearningParams_Fit_beta-exp_Fix_alpha_
2,29,95.9290241310606,100247.0,0.05,1.8445983873932517,0.869528027323508,,0.6892056123133008,0.5600600741644862,LearningParams_Fit_beta-exp_Fix_alpha_
3,17,95.9290241310606,100247.0,0.05,2.8034926886110543,0.5957523804845859,,0.6892055846012785,0.5600600731570069,LearningParams_Fit_beta-exp_Fix_alpha_
