,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,1,90.53885827828242,54135541.0,100207.0,0.4572484911366125,0.7406145851780036,0.3102851668667932,0.9893206050839398,0.09238677920011272,0.021949513919561563,0.37858014565159204,0.737590589123697,0.6983754770256928,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
1,29,90.69714049702186,70103990.0,100207.0,0.06567069303452065,0.02258782524783559,1.8259006774001407,0.8839333101489396,0.18415630586284226,0.02808688319094106,0.4239122880666962,0.6423534238712052,0.6755433719851951,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
2,40,90.81839946859257,92853558.0,100207.0,0.9132064390175376,0.08403350966187703,0.8952387802098157,0.351496269991308,0.8162235489327494,0.02679833203499518,0.42109222199147067,0.6525035630397817,0.6682788622263137,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
3,30,90.92590635011422,55518972.0,100207.0,0.21519046393969035,0.6683125915754904,0.18881350330386365,0.1705502494661656,0.06267746531276043,0.029386876483362225,0.4764155976362439,0.6264064293158808,0.6850170194012678,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
4,38,91.0077147926957,54119256.0,100207.0,0.3708247653840713,0.15836176783733605,1.1924732593545158,0.4792632387023161,0.4665827698373224,0.02888730287999104,0.478762378752337,0.5919111162088766,0.6834680537580264,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
5,9,91.79100528270114,37436099.0,100207.0,0.6808323251200735,0.5032554914426828,1.1417581188598,0.8720676490946228,0.6144642073323611,0.04457396475062296,0.43151764894817857,0.5450357086622228,0.6006774793789782,0.05741050308881735,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
6,0,92.8209881418345,3212765.0,100207.0,0.7532097851640175,0.10652082374473776,0.13239879050782793,0.7130803449228911,0.963007066089676,0.06239568667551058,0.7635133349299794,0.4393926562696657,0.5926397633219104,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
7,35,93.99722663953364,795928.0,100207.0,0.559443477055683,0.3599689341905018,3.3432001024928217,0.1952717889607456,0.1914263059650164,0.0798396601056995,0.9995082212614428,0.3536719629130257,0.5934026296276217,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
8,44,99.46429331128874,384105.0,100207.0,0.6817500109894364,0.4694897889028149,1.1660981644210633,0.4899935055263563,0.2778833801262811,0.5007967066243705,0.8466382442627582,0.1930118700055616,0.323648179005028,0.20472729832943126,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
9,16,101.06835060670305,12441950.0,100207.0,0.3681647133981656,0.02033978441833377,0.0751582238048429,0.4168334340974369,0.4515141489929135,0.6823275679981473,0.42094426684531067,0.17550317988016506,0.22742751613744325,0.3736110055612664,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
10,10,101.15826806382532,54969015.0,100207.0,0.8888749796474658,0.4162610040755337,0.07773095687871083,0.3676774348562957,0.6877597987784095,0.8866120862953981,0.4646052398861562,0.1750273532085516,0.17806463252068971,0.36011687133293274,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
11,42,103.98936409455122,60834188.0,100207.0,0.8527549347846035,0.882119771188239,0.952004438755143,0.8728803288989063,0.3722186399713392,0.5031455730962934,0.9039829878297752,0.061907562322481964,0.4624334925401761,0.448651554969948,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
12,45,110.42406038205337,51357402.0,100207.0,0.35880049513183776,0.9173450576832,4.6880745330808935,0.8179460780275649,0.1253693719260882,0.13284676802887666,1.0,0.017393685046038863,0.03422551088978966,0.5527306847829991,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
13,36,110.45423431490542,76033765.0,100207.0,0.2476296487379563,0.8108003142001108,0.07440622709917008,0.8878714939081217,0.0017251398753267422,0.07597314253330628,1.0,0.01746267111241338,0.014225915981044585,0.5483924830570484,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
14,46,110.54165117534464,55065071.0,100207.0,0.19849351468332205,0.9318982014209404,5.120326596188038,0.7549679821559937,0.06412472208941278,0.04230946078373478,0.9548705468182592,0.01708915466825103,0.03359683691120788,0.5651359206430803,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
15,3,110.56474127401943,95917721.0,100207.0,0.5462747051759542,0.4608325672138742,0.7485672404480679,0.9161569183806348,0.05797212154259945,0.0,0.9534951995856724,0.017540333040637863,0.0,0.5498717530750722,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
16,19,110.56739841740855,48394658.0,100207.0,0.3606919403042185,0.4534465258163316,3.123523724298168,0.6195529118260384,0.1466377935954507,0.02249452583075869,0.9486831216602598,0.01770896370210794,0.0408140525270288,0.5480215501279676,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_
