,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,1,82.28427363926406,4786683.0,200162.0,0.16397038446494547,0.2454003165888049,0.5684134024383884,0.2943886551202397,1.0,0.05,0.23483299050692444,0.4765060407243325,0.31397314941906074,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,37,82.2964955011719,78403374.0,200162.0,0.7239724581192799,0.31018210601916923,0.5607408731864996,0.2151020584399861,1.0,0.05,0.24623823173293385,0.4706964761237142,0.30054026613957224,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,13,82.39624639506367,39410898.0,200162.0,0.5304262067867175,0.69390096086631,4.349179083388481,0.07993662901578909,1.0,0.053308344504813386,0.2537035339182069,0.4727372021330573,0.2963408418988168,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
3,15,82.74997547831451,36216891.0,200162.0,0.504889169473967,0.4994371950028004,1.6976884369857883,0.5888189447763964,1.0,0.05164991707027918,0.3457849435006186,0.3758411107550352,0.2671704039853616,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
4,7,87.16489628724649,76727465.0,200162.0,0.6260225898823026,0.5199758424312863,0.4759661034777259,0.3447878935526841,1.0,0.06761836226050953,1.5622511189135966,0.17935742942221697,0.07585468849565141,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
5,16,87.20459177768551,72143061.0,200162.0,0.7830821379327765,0.5652767100288536,1.5399735918266242,0.909586367305038,1.0,0.05229776204235183,1.9252879330745256,0.1646725405440044,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
6,48,87.20459307846409,79805601.0,200162.0,0.33286741218081034,0.5291508183008582,1.4616351297287982,0.3841910318857841,1.0,0.05231408350282512,1.925327791918472,0.16466944317917434,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
7,41,87.2045947598312,16649007.0,200162.0,0.7661664231299395,0.6951905174523362,1.4345080627247062,0.4898428297987178,1.0,0.05228877201746398,1.9252841205935955,0.16470559103261811,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
8,28,87.20459495719984,70445083.0,200162.0,0.6631971198251001,0.4143627522948647,5.1520192005896215,0.8046458729947568,1.0,0.05231817556042328,1.925332595255432,0.1646162739950823,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
9,49,87.20461189204882,22786169.0,200162.0,0.7640453511621038,0.4853131966579792,2.4426077307861718,0.4585124720211048,1.0,0.052267767322550535,1.9251968243061557,0.16457002702089008,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
10,43,87.20462962334759,37754168.0,200162.0,0.4719043358845229,0.7326257116302981,1.3117166984347275,0.3612539095430518,1.0,0.05231046652601955,1.9253952497549442,0.16467600849191588,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
11,45,87.20471661127449,4399289.0,200162.0,0.6824972148589111,0.4992440009887832,2.430780084728083,0.7927293849110719,1.0,0.052474456956079815,1.9256315539097235,0.16452667866037013,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
12,36,87.20651738836729,64048939.0,200162.0,0.6294658830607738,0.9365963994483816,4.765929843751387,0.5184525456309428,1.0,0.0528403877059799,1.9260920666998311,0.16590569348113648,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
13,35,87.2229451586215,84380314.0,200162.0,0.3699102194019797,0.2517450657471752,0.13451774070617747,0.3280529125079099,1.0,0.05,1.5969772704398155,0.18309418234304364,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
14,46,87.22927817798023,21012084.0,200162.0,0.1774914945720725,0.44859224352376703,0.8535681109781317,0.9141697244062336,1.0,0.05,1.9227090299376453,0.16440862147759924,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
15,26,87.23811419666126,57067459.0,200162.0,0.2830948255257106,0.11874574330833995,3.979681438122872,0.4197768086439003,1.0,0.06153101232406959,1.9398921473882424,0.16546106399670876,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
16,19,87.23811491387329,44524548.0,200162.0,0.6436431911393564,0.6246836549806315,3.3557721020248534,0.8027965059990132,1.0,0.061544343480560024,1.9399095197407188,0.16546943516648902,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
17,40,87.23811656331877,76168132.0,200162.0,0.1460374266618502,0.07336813232453587,2.444607806654456,0.9115144276759268,1.0,0.06151084764473293,1.9398714506003525,0.16547253565990538,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
18,8,87.2381555673515,84517761.0,200162.0,0.6919117945067051,0.006228785201922474,3.88754719756113,0.0880194657713481,1.0,0.06155449865110953,1.9400254129165682,0.16549217254140214,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
19,12,87.2406135127915,23711850.0,200162.0,0.1405019678324875,0.35239396846271925,4.429795870317304,0.7043962316973174,1.0,0.05066909882758955,1.9276677978637449,0.16310208058141412,0.05,,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
