,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,21,41.08502050046207,35581891.0,411256.0,0.12412776258218365,0.390173858460135,1.1309759759994753,1.0,2.7257802304367327,0.14581264392024784,0.05,15.0,,0.0033988374163744727,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
1,14,41.08502158035458,2595669.0,411256.0,0.5249308865740748,0.33007918710652195,1.0420011442634751,1.0,2.6038081032561284,0.1458411802578411,0.05,15.0,,0.0033989096108683827,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
2,41,41.08502170198188,49911783.0,411256.0,0.08559011639992133,0.2336489233361862,0.7658687413940495,1.0,1.8666544088823052,0.14574884952649875,0.05,15.0,,0.003400195439379639,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
3,9,41.09105389719599,72247963.0,411256.0,0.5588845597662528,0.8294545166931041,0.3199219400762356,1.0,0.9154161988917916,0.14378971693906314,0.05,14.510660797265782,,0.003512759295900094,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
4,0,41.116596797996614,1205553.0,411256.0,0.4362598898561049,0.6607748213804232,0.3891283948631696,1.0,1.3600566333418351,0.11214064104087144,0.05,14.870253413697435,,0.004464204825053096,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
5,18,41.22748676287463,62689221.0,411256.0,0.4485014169379696,0.8288775170253769,0.17525389989783005,1.0,1.3470106716457673,0.07835396259827672,0.05,12.987054052381845,,0.007381832957341882,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
6,11,41.604402888126174,49289606.0,411256.0,0.4454012929027425,0.6864542173985644,0.8764367342624219,1.0,1.9171254553782755,0.10008233819899967,0.05,4.331310323866147,,0.01810117922812412,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
7,30,42.086370726499,54045942.0,411256.0,0.4148108910930469,0.8549481958588068,1.064890413064857,1.0,2.16347989696283,0.133708485002245,0.06651782635857767,2.4215814261750945,,0.02310094348787461,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
8,43,42.448867119392325,20242843.0,411256.0,0.8455542673170868,0.6705843863035628,1.396139118664672,1.0,4.592072762219646,0.12649615773365736,0.057300789850142586,1.6035904088545962,,0.0376891229335639,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
9,19,42.60973571225898,39581669.0,411256.0,0.2515588557034863,0.33537517704087544,1.7263903686340163,1.0,4.609006350263303,0.1086350958209224,0.05301959003662021,1.3927609165821824,,0.05015025993099331,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
10,23,42.626134970179045,94775372.0,411256.0,0.5847211233572706,0.4294878526789741,1.5105021181339062,1.0,4.057494724841146,0.11932543390574075,0.05645786775101475,1.352681715264166,,0.04726995110238627,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
11,28,42.71094489120386,4752845.0,411256.0,0.4584463040541204,0.040656077564855626,1.4400967680343708,1.0,1.1017441297203538,0.11405883771187753,0.0547085824834536,1.2484809462637891,,0.0534485324504174,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
12,38,42.87626548635698,38827938.0,411256.0,0.6421629722555051,0.5046258341432338,1.9356507632100384,1.0,2.8796082088331607,0.12835914239744384,0.06597532047069389,1.068637561079545,,0.057417115236669425,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
13,24,42.90588089561222,13958044.0,411256.0,0.8557180760190884,0.4325696705399725,0.8157775351427685,1.0,3.9820003976982985,0.05847158856816016,0.05,1.3357007075765992,,0.10439114093233014,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
14,45,43.30172226000272,66495013.0,411256.0,0.6769520693487722,0.32521082099840537,2.0057356099200003,1.0,1.1057690391837156,0.050012130837763236,0.05,0.9648610495986132,,0.15115665474331533,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
15,13,92.58354749561855,10295268.0,411256.0,0.023372171420004608,0.7937430168968181,0.9134981581829182,1.0,0.25926910872344844,1.9440016013579369,0.1018871598021686,15.0,,0.0002372132051386344,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
16,1,,81024889.0,411256.0,0.017469385900550513,0.5291436165254586,1.3588340929839369,1.0,0.6489412275691604,inf,inf,inf,,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
17,2,,26280499.0,411256.0,0.4201446526570395,0.03610607570999511,0.7984191627166696,1.0,4.5952562574614895,inf,inf,inf,,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
18,3,,76358336.0,411256.0,0.012928209685296987,0.7069623740287803,2.976055025068773,1.0,0.3292613560263073,inf,inf,inf,,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
19,4,,23337063.0,411256.0,0.6345324712181881,0.3337899390503116,0.9278851083397424,1.0,1.1933958801752511,inf,inf,inf,,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
20,5,,37175038.0,411256.0,0.2409002477096236,0.1318150631454412,1.646995335080316,1.0,3.9506105816519774,inf,inf,inf,,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
