,Unnamed: 0,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,30,62.197756911036244,200173.0,0.57437321060205,0.40756288514451255,1.0,0.5,0.1602073142904719,0.20197959704056603,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
1,36,62.19775691104285,200173.0,0.7702627477424815,0.4087520420714734,1.0,0.5,0.16020713321229968,0.2019794198576514,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
2,38,62.19775691104425,200173.0,0.5147847260326951,0.2560554037584412,1.0,0.5,0.16020713660374608,0.2019793161793174,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
3,33,62.197756911052075,200173.0,0.9845511080669624,0.4813986768903328,1.0,0.5,0.16020706251223318,0.2019793058938621,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
4,45,62.197756911054576,200173.0,0.908812490402612,0.2819417201288159,1.0,0.5,0.16020740679032025,0.20197971427493466,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
5,5,62.19775691105542,200173.0,0.14683141008973433,0.403913242024516,1.0,0.5,0.1602072156797822,0.20197957603525224,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
6,49,62.19775691105597,200173.0,0.8325674465467362,0.5732643995270778,1.0,0.5,0.16020732536330218,0.201979694957464,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
7,11,62.197756911057155,200173.0,0.411691019962478,0.7244707312051415,1.0,0.5,0.1602073249984632,0.2019796976244012,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
8,8,62.19775691106162,200173.0,0.5966450832731099,0.25185366822479394,1.0,0.5,0.16020730062794236,0.20197968461802795,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
9,23,62.19775691106253,200173.0,0.3090770833881089,0.14593634271425449,1.0,0.5,0.16020706093535014,0.20197921008822206,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
10,25,62.19775691106546,200173.0,0.3685996473080354,0.1379179695577455,1.0,0.5,0.1602070101209742,0.2019792186396908,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
11,1,62.197756911066506,200173.0,0.8205771236181321,0.5182838259625606,1.0,0.5,0.1602070309554709,0.2019793031893426,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
12,37,62.197756911066826,200173.0,0.5408034935934328,0.7957884781561727,1.0,0.5,0.1602071971602752,0.20197932088438025,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
13,40,62.197756911067785,200173.0,0.2300973572310687,0.08241110444683962,1.0,0.5,0.1602072547855291,0.20197964672227756,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
14,43,62.197756911068446,200173.0,0.20855609821705268,0.067220318237589,1.0,0.5,0.1602072746104106,0.20197967029733244,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
15,10,62.197756911070655,200173.0,0.523977926556413,0.9098010823209342,1.0,0.5,0.1602074089361715,0.2019797908656511,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
16,46,62.197756911075146,200173.0,0.0057148172143099965,0.3288042959609496,1.0,0.5,0.16020708594782296,0.2019791960451516,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
17,28,62.197756911075714,200173.0,0.1865938052419973,0.1925587083409337,1.0,0.5,0.16020724290026178,0.2019796462301164,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
18,16,62.19775691107599,200173.0,0.8955029947561419,0.03382492283297789,1.0,0.5,0.16020704145335016,0.20197916293164395,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
19,35,62.1977569110834,200173.0,0.8268353535370635,0.2331504141944576,1.0,0.5,0.1602070195761569,0.20197913400444584,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
20,7,62.197756911088746,200173.0,0.5196439672484356,0.5199848857248918,1.0,0.5,0.16020739866197165,0.2019795640579076,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
21,26,62.197756911093904,200173.0,0.4002119927839477,0.8043336191103982,1.0,0.5,0.1602069986704155,0.20197931172164516,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
22,22,62.19775691109503,200173.0,0.8852872744477606,0.6043772467369155,1.0,0.5,0.16020744683826266,0.20197986704614174,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
23,20,62.19775691109921,200173.0,0.16157140120588342,0.9181883683178444,1.0,0.5,0.16020693684479104,0.20197907596640408,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
24,4,62.19775691110043,200173.0,0.00735924914284769,0.8997561063663531,1.0,0.5,0.16020748627479942,0.20197970292706932,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
25,21,62.19775691110063,200173.0,0.93543466743387,0.19058769516039573,1.0,0.5,0.16020753080682684,0.2019798902035526,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
26,39,62.19775691110345,200173.0,0.41256623835107853,0.6500977327375246,1.0,0.5,0.16020697856002386,0.20197929244113064,,,LearningParams_Fit_alpha_neg-alpha_pos_Fix_beta-exp_
