,Unnamed: 0,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,39,58.634901851329545,100062.0,0.05,0.2978053915451829,0.26607055907100163,0.9266471226912644,,0.056559998168026926,0.8613165845631752,0.6442878306712865,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
1,4,58.63490185132976,100062.0,0.05,0.4015901615900964,0.8308107545321902,0.5149477342966468,,0.056560002985710615,0.8613165858366618,0.6442878077280556,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
2,21,58.63490185132979,100062.0,0.05,0.25302487852474265,4.1990556707171205,0.3108478958437603,,0.05656001285156523,0.8613160790641783,0.6442878859023009,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
3,15,58.63490185132982,100062.0,0.05,0.3719374444087331,3.950474027033063,0.3454425892491222,,0.056559995984062465,0.8613162976047041,0.6442878712762423,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
4,23,58.63490185133009,100062.0,0.05,0.7825090404418833,3.5182692389959795,0.5225508378182103,,0.05655999587498985,0.8613161725226834,0.6442878774802132,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
5,22,58.634901851330135,100062.0,0.05,0.0941173457007516,3.0888834889189103,0.35059351705820674,,0.05655999761560166,0.8613160078076403,0.6442878986925615,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
6,2,58.63490185133018,100062.0,0.05,0.19545622490443804,0.6300918899547325,0.7366457616071846,,0.05656001062902882,0.8613167781463212,0.6442877961186726,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
7,31,58.63490185133018,100062.0,0.05,0.04043525168300655,0.8216681486636751,0.5261747968648552,,0.05655999554219586,0.8613160830608136,0.644287907892072,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
8,14,58.63490185133021,100062.0,0.05,0.42728979969792014,0.5149002200745512,0.2745868441730275,,0.05656000946201169,0.8613157153608779,0.644287955407115,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
9,24,58.634901851330405,100062.0,0.05,0.18691994994098948,0.6049681328765051,0.5017951593221911,,0.056560012869931724,0.8613164254556445,0.644287864273968,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
10,46,58.634901851330675,100062.0,0.05,0.017296635686919415,2.348949759995595,0.3719437011496469,,0.05655999340132455,0.8613167938564232,0.6442877969376253,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
11,35,58.634901851330774,100062.0,0.05,0.07680389780446151,0.9545932286683162,0.3656765959885393,,0.0565600055569232,0.8613169653371585,0.6442877844527608,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
12,28,58.63490185133091,100062.0,0.05,0.8700426816996832,4.4443373692479495,0.5423993013809173,,0.0565600044891301,0.8613155414560694,0.644287981167481,LearningParams_Fit_alpha_pos-beta-exp_Fix_alpha_neg_
