,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,21,51.961195686870425,67109183.0,100062.0,0.4876174483211717,0.5153306465695882,1.707543977760807,0.7253700010673423,5.004672919791434,0.3480904230800016,2.0,0.026198587675093348,0.7773076160056156,5.866690868078614,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,31,52.015959334464455,93590411.0,100062.0,0.8196185445052507,0.749513973634305,1.3773604778446011,0.4856084356173384,3.312438015841905,0.4075591106372698,2.0,0.029340934750948795,0.7383336765541318,5.552421869830549,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,8,52.663068457295964,50834730.0,100062.0,0.44251930166429226,0.5208236515731567,1.529782561583854,0.5634352519278392,2.922246904936492,0.20421727120329936,0.5619528459137647,0.0763995532882228,0.6518898607678089,6.949732554718026,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,32,52.664565220815476,44968632.0,100062.0,0.7841702025273649,0.26647995973856325,2.5158456592663643,0.8073841378425308,3.733330061867959,0.20362468278108012,0.5614676447246305,0.0763782595095058,0.6525528043712786,6.902280099607919,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
4,19,52.777489603807155,86545957.0,100062.0,0.22113956939431104,0.7653496742529547,0.30151284379306914,0.4581726757944594,5.811051821100667,0.22945016256945766,0.6001351514354855,0.07888338560026174,0.6472119378773472,5.680373788324107,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
5,17,83.19123504811816,82884557.0,100062.0,0.28038015567330665,0.1548433656226496,0.7018468626101969,0.8540158523257104,2.073079807485051,0.2587826837635674,1.9989070444776025,0.03021933201359108,0.6477006338815792,0.0027617645597498466,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
6,26,83.85574402150112,77303291.0,100062.0,0.5705416935559308,0.5470554830653351,2.633029249687728,0.9066596638757596,3.347411854911672,0.1715020440663503,1.998120239587836,0.021876720750598308,0.7321792684501653,0.03895316465359441,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
7,23,84.06899086553523,40705944.0,100062.0,0.4068911936488005,0.020121477727027375,3.674770279272488,0.7390348636834385,3.0037347045220666,0.15598112289855198,1.997829501431752,0.023423409362560814,0.742518906329726,0.004971268642107968,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
8,28,123.38019815967048,83493219.0,100062.0,0.26282716247321763,0.7318194172736416,4.1264949116408935,0.6742903590394471,0.5078187801806626,0.05,0.05,0.0,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
9,0,,65526867.0,100062.0,0.7403209914168507,0.6131754327098545,0.5945244293004597,0.1892058106711174,0.7424231550510629,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
