,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,38.0,112.9931401601122,25763200.0,100207.0,0.7404198254619907,0.3982006678413717,1.433898404060319,1.0,0.3874560087527171,2.0,0.005078947873692171,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
1,19.0,112.9931401748798,93599716.0,100207.0,0.3913010377470213,0.8390552120895831,1.3210890113997549,1.0,0.3874725563801008,2.0,0.005078770984359638,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
2,42.0,112.99314021274695,56993795.0,100207.0,0.2330812392304605,0.8029450206838697,0.9895174978305824,1.0,0.3874832274184649,2.0,0.005079635835513997,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
3,16.0,112.99314024678031,75560687.0,100207.0,0.8826317354400381,0.6236562422520753,1.4381963245500982,1.0,0.3874267690417488,2.0,0.005079159786383658,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
4,29.0,112.99314024993014,46488326.0,100207.0,0.8123768669840604,0.3763987314592641,0.6337093027059134,1.0,0.3875078258931372,2.0,0.005079061308870075,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
5,46.0,112.99314033484436,77009273.0,100207.0,0.6880133239563988,0.694355810381455,0.27886187285855063,1.0,0.3875208315603188,2.0,0.005079676825428789,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
6,37.0,112.99314049487862,87470669.0,100207.0,0.9283961312659438,0.3366354153504176,0.8119801066648781,1.0,0.38751682101528495,2.0,0.005080353304645136,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
7,9.0,112.9931405022743,57239365.0,100207.0,0.531636425064935,0.15964130355041325,0.5179091377076052,1.0,0.3874056360064029,2.0,0.005079744791397783,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
8,25.0,112.99314152300677,15293247.0,100207.0,0.8006085794055459,0.609966127415384,1.126506925435071,1.0,0.3874385683708623,2.0,0.005076248813127949,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
9,34.0,113.53274560653065,27694251.0,100207.0,0.9596062481590686,0.9644107509626446,0.4074618531608975,1.0,0.3503731242135867,1.6584855780111938,0.005441022916048702,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
10,18.0,113.75973811561016,80260379.0,100207.0,0.8455851908004806,0.6357386343884449,1.1827948779242492,1.0,0.3390054647131076,1.5092673047484346,0.005664027604144418,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
11,45.0,113.80909846886655,64209795.0,100207.0,0.9506279550842672,0.3034635563779916,2.2007319628762443,1.0,0.33377546011088244,1.4806099625202922,0.005680936380490154,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
12,27.0,114.22489190251184,68645033.0,100207.0,0.5327503036187833,0.5607140602545267,0.9713646177061124,1.0,0.2944321739798286,1.2788119745176432,0.005438977599382495,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
13,4.0,119.10778275949154,15250033.0,100207.0,0.023035518073446986,0.23973860996510185,2.3969373341840954,1.0,0.05000147319335496,1.9332937090587656,0.0008898842557557398,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
14,13.0,119.11938539202106,21546261.0,100207.0,0.0912395569021796,0.7569332097878908,1.3796233117563348,1.0,0.050124268369371366,1.9997301281839317,0.0008577943924540254,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
15,40.0,119.11954064824457,30249350.0,100207.0,0.7373398773625242,0.20104068920942295,3.455813657062954,1.0,0.05007365280494155,1.9998206448132247,0.0008573022800923277,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
16,5.0,119.1196203530003,99831593.0,100207.0,0.2331870508423268,0.2420037483966236,2.209534100584915,1.0,0.050037041999656084,1.999701699998228,0.0008573640183924908,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
17,36.0,119.11973098947412,82839040.0,100207.0,0.4796293345986514,0.34316683016214083,2.12336914722272,1.0,0.05001279760477783,1.9999528806758504,0.0008569096367098567,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
18,21.0,119.11973317866591,68888819.0,100207.0,0.09207839963129197,0.2572018419677919,1.0359438213190475,1.0,0.050005122717603386,1.9998420986772711,0.0008565681204983521,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
19,49.0,119.11973905556086,19821583.0,100207.0,0.08508521731166943,0.3135362415429035,1.6444925495395206,1.0,0.050004261091076405,1.999865235368984,0.0008569661095154207,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
20,6.0,119.11974247813288,38301501.0,100207.0,0.6386040931137714,0.144167530425691,1.5005937520720511,1.0,0.050009880059879386,1.9999707910188125,0.0008566154191609771,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
21,39.0,119.11976805034315,44788253.0,100207.0,0.13149253321213258,0.077512625587032,5.339577632714894,1.0,0.050001744691827714,1.9999916230074004,0.0008569588500370645,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
22,24.0,119.11976815809994,44296226.0,100207.0,0.15473137478867108,0.2638609465656859,4.670228387846155,1.0,0.05000139941820265,1.999985921200664,0.00085672672899218,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_
