,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,48,17.734137077775188,97973135.0,407672.0,0.20841369332816292,0.04888510138435303,0.4744634919605194,0.4721133019003704,0.8746321453301155,2.6259915247061856,0.05,0.05,9.49882569528814,1.3236006207425082,0.8979509282268247,0.013884201002873254,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
1,27,18.896643890469566,42272576.0,407672.0,0.7164160016367206,0.4286762755370464,0.3256131900788479,0.3471614483827971,0.8352865897966582,0.20455406295364956,0.05,0.09298938372809737,2.2739493814844267,1.2950168516981089,0.8144391745922702,0.0689132605655486,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
2,46,19.06815411426181,44397149.0,407672.0,0.6374253877422632,0.922178079495254,2.118974838850511,0.43879257160582813,0.13577673764303405,1.5891593910682698,0.05,0.16118659061176546,2.2242131560459235,1.3554523848888969,0.7671201565070459,0.05672046852413759,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
3,22,68.0589865801758,11066042.0,407672.0,0.5628187851119947,0.3553025126467404,0.7122678418829422,0.0041887215461233656,0.3737967637331169,3.347568861891375,0.05,2.0,0.00025880944784857564,0.05,1.9998614677195456,0.0006013155452882745,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
4,14,75.02592751519012,28563662.0,407672.0,0.6842532345424142,0.8701860211852344,1.8144579744412392,0.328638083195576,0.6616115588576509,3.0242875794475985,2.0,0.05000152479380498,15.0,2.0,0.05000113670484064,8.400760594587481e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
5,23,75.02593933685486,5318040.0,407672.0,0.7499937436058993,0.5956879272779398,1.9167085612333483,0.13560663988995275,0.5586205256208935,2.6083971417982434,2.0,0.050001010247362566,15.0,2.0,0.05000094120552759,8.400751540779712e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
6,3,75.02594325018838,53260911.0,407672.0,0.9195990270217173,0.43124252887369263,1.5742437195814531,0.24860932200198174,0.7607523378465127,1.8518395358981945,2.0,0.05000077438198191,15.0,2.0,0.05000144280762403,8.400742627636725e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
7,32,75.02594437826062,53749161.0,407672.0,0.4183497980512303,0.6316885935064772,2.7236830637459373,0.16212292741752934,0.5099116724571053,1.2391352506885476,2.0,0.05000081712615959,15.0,2.0,0.05000064573012277,8.400721563791645e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
8,42,75.02594650079622,45456413.0,407672.0,0.6735639411069914,0.3549873024631321,1.1387491015650195,0.45399915460524,0.8134682975853922,2.5293537953751044,2.0,0.050000614950850834,15.0,2.0,0.05000153816175059,8.400749749172166e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
9,41,75.0259521082349,25556940.0,407672.0,0.8188630151745176,0.3340231805311718,1.353239585992507,0.16977359387100668,0.6898186806742149,4.548874278723757,2.0,0.05000042719929297,15.0,2.0,0.050000961258477035,8.400745983510288e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
10,38,75.02595320667973,93340149.0,407672.0,0.5077496927184123,0.2508988336170721,1.816574387161496,0.6223257666085981,0.9235255203317396,4.2265631883582255,2.0,0.05000032491706007,15.0,2.0,0.050001410595515834,8.400746257897804e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
11,44,75.02595455360822,63178703.0,407672.0,0.6292690148047517,0.5113693472025593,4.8726746308710664,0.09613943133325704,0.5757729023805289,0.5710236321348794,2.0,0.050000380136360566,15.0,2.0,0.05000043270405094,8.400702898756217e-06,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
12,26,77.49438350714209,71287446.0,407672.0,0.1453839807863511,0.1599714850482274,1.1805973945065849,0.07585827789088813,0.9919620238286068,4.647556628269057,2.0,0.05,4.673822798333441e-05,2.0,0.05,2.697402336566052,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
13,8,124.07334533023041,18199290.0,407672.0,0.11663553019592432,0.9611717957106274,1.5683833009953843,0.815296474623652,0.8908717239775611,1.558438167938708,0.05,0.05,0.0,0.05,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
14,24,124.07334533023041,71777215.0,407672.0,0.8956126563205267,0.9970488539607744,0.4485106368994622,0.4224130836442593,0.8160308289587757,2.18861367733194,0.05,0.05,0.0,0.05,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
15,29,124.07334533023041,43630842.0,407672.0,0.924255591744978,0.22445461302516168,1.7734522739943652,0.26213632770289697,0.3018083580012532,5.503349550740333,0.8583622734156822,0.20912568525368294,0.0,0.04999999999999999,0.336369209747386,1.5389535551392015,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
