,Unnamed: 0,neglogprob,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,0,98.72601867888216,406989.0,0.6037927920050407,1.0,0.0585726296435235,0.5,0.022787704335553337,,0.6286909554423447,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
1,12,98.72601867888521,406989.0,0.051835105277040834,1.0,0.4420611796810201,0.5,0.022787683355389072,,0.6286914642012905,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
2,28,98.72601867888756,406989.0,0.2874328954264451,1.0,0.8732439807591102,0.5,0.022787644177097718,,0.6286915215651022,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
3,49,98.72601867888856,406989.0,0.5961336735265585,1.0,0.13726799903428574,0.5,0.022787702582044714,,0.6286909261262865,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
4,32,98.72601867889324,406989.0,0.18428858334943865,1.0,0.15555017062903875,0.5,0.022787725066034114,,0.6286909256300386,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
5,35,98.72601867889374,406989.0,0.1860449619418434,1.0,0.3506090234071091,0.5,0.022787675180833654,,0.6286915288152719,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
6,6,98.7260186788963,406989.0,0.2365191955296726,1.0,0.40864446785469866,0.5,0.02278773275906717,,0.6286909803010434,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
7,33,98.72601867889685,406989.0,0.9608691008194132,1.0,0.1850920659946064,0.5,0.022787653469823702,,0.6286915848143875,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
8,15,98.7260186788974,406989.0,0.05939919020236206,1.0,0.3501968825827353,0.5,0.022787730762952416,,0.6286911328432607,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
9,8,98.72601867890259,406989.0,0.7996007092841992,1.0,0.23977120901444715,0.5,0.02278767844142534,,0.6286915486490052,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
10,30,98.72601867891142,406989.0,0.8766273736814284,1.0,0.015084754384784847,0.5,0.022787734611901183,,0.6286908554491851,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
11,47,98.72601867891541,406989.0,0.04018780669390476,1.0,0.4749578914495327,0.5,0.022787722154245956,,0.6286913303582596,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
12,22,98.72601867892168,406989.0,0.20919778365376607,1.0,0.4824903218336375,0.5,0.022787743125189032,,0.6286911182103022,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
13,17,98.72601867892371,406989.0,0.07111560207120028,1.0,0.8172673177139093,0.5,0.022787682431014845,,0.6286915960083695,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
14,27,98.72601867892857,406989.0,0.27625645460612114,1.0,0.8098912918558032,0.5,0.022787621262755745,,0.6286916640394083,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
15,42,98.72601867893358,406989.0,0.07168050327736175,1.0,0.8768724411750312,0.5,0.02278772780287977,,0.6286913461895722,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
16,3,98.72601867895314,406989.0,0.0698598793964108,1.0,0.5076910168964985,0.5,0.022787699216261958,,0.6286907362292569,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
17,43,98.72601867895729,406989.0,0.18002117075020052,1.0,0.5073864506473934,0.5,0.022787758127836157,,0.6286910900924682,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
18,18,98.726018678962,406989.0,0.8895242274807926,1.0,0.07902748436727791,0.5,0.022787606108612017,,0.6286913530136342,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
19,23,98.726018678962,406989.0,0.16767226341427174,1.0,0.9887506989774674,0.5,0.022787601278998437,,0.6286914440181679,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
20,10,98.72601867896526,406989.0,0.07779925402646692,1.0,0.7176347609727345,0.5,0.022787756206058385,,0.6286906987279045,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
21,19,98.72601867898106,406989.0,0.1478159602449235,1.0,0.34797446530015386,0.5,0.022787766818511287,,0.6286910713838783,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
22,4,98.7260186789972,406989.0,0.13610720005209442,1.0,0.5770344806223137,0.5,0.02278759821466242,,0.6286918438307861,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
23,39,98.72601867900835,406989.0,0.07834494510412349,1.0,0.953698704368158,0.5,0.02278767365410116,,0.6286907214605466,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
24,26,98.72601867911074,406989.0,0.15490578006492606,1.0,0.8505390914416606,0.5,0.022787551524901764,,0.6286917605713078,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
25,7,98.72601867939512,406989.0,0.06864929873414505,1.0,0.9709714286128984,0.5,0.0227876057756093,,0.6286905989234101,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
26,34,230.93749966823674,406989.0,0.8945987001684377,1.0,0.8072328165844387,0.5,0.4506443194963605,,0.3965332305492785,,LearningParams_Fit_alpha-exp_neg_Fix_beta-exp_pos_
