,Unnamed: 0,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,35,105.89874595007956,100104.0,0.4633683000542734,0.05,1.0,0.1423457169170801,0.07149269324779603,,,0.2813739438088485,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
1,48,105.89874595008295,100104.0,0.6084276332714066,0.05,1.0,0.961584457978382,0.07149272188860087,,,0.2813737248682417,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
2,15,105.89874595008469,100104.0,0.9983229252176516,0.05,1.0,0.21970659914712465,0.07149269542621421,,,0.2813736595246607,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
3,28,105.89874595008546,100104.0,0.8514426666391224,0.05,1.0,0.4498060243853605,0.07149267829723875,,,0.2813736725242191,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
4,36,105.89874595008571,100104.0,0.9370247383684608,0.05,1.0,0.7963304253844388,0.0714926743487109,,,0.2813740594154077,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
5,3,105.8987459500868,100104.0,0.2887771134056323,0.05,1.0,0.33090726224417893,0.07149270611679277,,,0.28137411141817953,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
6,49,105.89874595008719,100104.0,0.582491700356694,0.05,1.0,0.001306934036904961,0.07149266351021014,,,0.2813736934654399,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
7,20,105.89874595008793,100104.0,0.212819336926382,0.05,1.0,0.3285040595708437,0.07149269737710595,,,0.28137361096594804,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
8,11,105.89874595008888,100104.0,0.31210947704654146,0.05,1.0,0.8503988672918208,0.07149271914780267,,,0.2813741249438465,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
9,44,105.8987459500902,100104.0,0.2753859530572159,0.05,1.0,0.7256138403862108,0.07149266086520492,,,0.2813736471346702,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
10,17,105.89874595009027,100104.0,0.2762125793621784,0.05,1.0,0.5549766601500425,0.07149265264210575,,,0.2813740539587125,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
11,34,105.89874595009093,100104.0,0.4142578191647904,0.05,1.0,0.9486675998475254,0.07149266182159436,,,0.28137363414734795,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
12,46,105.89874595009182,100104.0,0.7834816297404514,0.05,1.0,0.9237334881119358,0.07149270349014203,,,0.2813735602533225,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
13,25,105.89874595009229,100104.0,0.7979806704913515,0.05,1.0,0.8178342874554873,0.0714927590038811,,,0.2813737285331643,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
14,33,105.89874595009267,100104.0,0.2884885285411989,0.05,1.0,0.4831927204631177,0.07149275111416797,,,0.28137366491304505,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
15,9,105.89874595009363,100104.0,0.0734101181457284,0.05,1.0,0.07560045399306138,0.07149266195860847,,,0.28137359454969113,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
16,1,105.89874595009556,100104.0,0.29899636480892344,0.05,1.0,0.6218026377291729,0.07149273998535408,,,0.2813735762876312,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
17,40,105.89874595009577,100104.0,0.6410263794190817,0.05,1.0,0.5137980672047978,0.07149273745934445,,,0.2813741732990018,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
18,7,105.89874595009636,100104.0,0.8814999299873091,0.05,1.0,0.2147444408605632,0.07149267447117078,,,0.2813742065923158,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
19,16,105.89874595009657,100104.0,0.3296465989727629,0.05,1.0,0.2478185771394367,0.07149277494370501,,,0.2813739036999285,LearningParams_Fit_alpha_neg-exp_Fix_alpha_pos-beta_
