,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,model
0,39,105.46277851428728,35636306.0,200199.0,0.18279477436676125,0.27394614183654364,0.5234538294738351,0.19193982841497548,0.18437714259701088,0.4459576667402189,0.3907140713958799,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
1,30,105.51592179412044,71046582.0,200199.0,0.24221476010027415,0.3598135514332935,0.23676198191935394,0.2813491899702344,0.1879800013074739,0.3909849721538439,0.414984779014201,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
2,5,107.71751776234088,12464402.0,200199.0,0.9515701929743944,0.7662395535742926,0.3342446310639429,0.004945422422163559,0.44126446482756376,0.8915947952899985,0.24656469448908586,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
3,27,112.9807551405101,44969156.0,200199.0,0.264482552774859,0.2522732094767609,1.3492952835031875,0.3477510402773698,0.009252216549954864,0.999715697274488,0.13314769382201885,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
4,23,112.98236281778743,61819179.0,200199.0,0.8486242197499307,0.8629696284629089,1.1659321748655964,0.7152242475940204,0.00038064177835249734,0.9997539003415358,0.13130255149341227,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
5,0,112.98247671542921,21705261.0,200199.0,0.5704335544763959,0.713579800799831,0.4062593470208453,0.8895252133964955,6.49481167040769e-05,1.0,0.13119866472985878,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
6,14,112.98248887066359,92361638.0,200199.0,0.8657530910086791,0.06429639532724403,1.4459908217131543,0.5102730948983654,2.4990031068475493e-05,1.0,0.13125601940168116,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
7,31,112.98248925492943,8662841.0,200199.0,0.7322304768989416,0.22331323178975845,3.0055269627146406,0.9630752467600252,2.3940060882453878e-05,1.0,0.13125712995226485,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
8,26,112.98249024728695,30269585.0,200199.0,0.13435434701799556,0.011973859575049341,4.464863165221874,0.8841630105527456,2.1365041291770194e-05,1.0,0.13124754902183608,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
9,16,112.98249182563902,64185415.0,200199.0,0.4071206950171454,0.765226098745223,0.6053446070741441,0.6999425173764813,1.6946797886069786e-05,0.9999865632367628,0.1312594572134969,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
10,33,112.98249183166382,41684313.0,200199.0,0.2471595568288632,0.6217218384453044,1.3203245816395988,0.8975666304977785,1.6933026994315327e-05,1.0,0.13125359363115088,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
11,25,112.98249183544313,65470741.0,200199.0,0.6431513460723973,0.243849411870166,1.2714418307069515,0.688280915083269,1.69168896513793e-05,0.9999915918796016,0.13125584195566653,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
12,22,112.9824918375142,79755538.0,200199.0,0.5436830419024505,0.06974562053578559,1.3017373600038444,0.8936521945004344,1.690953083960489e-05,0.999994948276535,0.13125641108187186,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
13,15,112.9824922482577,53030370.0,200199.0,0.4986768846360526,0.0179446672879141,3.711164771523517,0.9233778073765052,1.579399472051321e-05,1.0,0.13125441733593765,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
14,48,112.982492744851,56816596.0,200199.0,0.18230552515073106,0.4441664973204746,3.108934539565919,0.9158226496205766,1.4448226671762079e-05,1.0,0.131253076178671,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
15,40,112.98249429147141,68550391.0,200199.0,0.53979704166012,0.2086925432726256,1.4509925115886493,0.6249329254494529,1.0235818082467216e-05,1.0,0.13125330960103918,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
16,28,112.98249583514452,83816903.0,200199.0,0.11007994913373424,0.25467601698229114,3.776509940081296,0.913328464498732,6.069726577556118e-06,1.0,0.13124882749230093,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
17,1,112.98249619066223,95374282.0,200199.0,0.4627151409693782,0.5301610290941813,1.5140050885601182,0.6134476208842269,5.072314985701692e-06,1.0,0.13125226430681794,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
18,4,112.98249633039823,31180469.0,200199.0,0.6081520289305713,0.8948164247238973,1.6704668465057182,0.8858765494269765,4.69133629022669e-06,1.0,0.13125269243493018,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
19,6,112.98249656003372,11547635.0,200199.0,0.3173682414730333,0.6075234515802351,1.8735602229594484,0.8214208419388757,4.067987314554235e-06,1.0,0.13125220154650732,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
20,49,112.98249693682494,84035870.0,200199.0,0.3659665780208447,0.9723256276337832,1.6930416936930968,0.9197437707433158,3.175663543912232e-06,1.0,0.13124344467813254,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_
