,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,x0_lossave,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,2,55.00602146144161,51529932.0,100103.0,0.6302768124548068,0.9441888383554866,1.0,3.598234284661572,0.05228968612648259,0.06785442104997913,,3.2073530840704447,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
1,14,55.006021461992766,6377298.0,100103.0,0.9982478090395698,0.4737712759863169,1.0,3.029171174188794,0.052282877322539466,0.067861500047127,,3.2074330583668034,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
2,0,55.00602146322834,31786788.0,100103.0,0.4866489573732405,1.317408574165113,1.0,5.7821422035349,0.05228601761950213,0.0678578379675911,,3.207336589883744,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
3,10,55.006021466271726,80538457.0,100103.0,0.1002711991236646,3.661179902022735,1.0,2.3117683746109488,0.0522885159016939,0.0678550070091651,,3.207347180474581,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
4,33,55.006021476467616,24648753.0,100103.0,0.6544236503171068,0.5825068993739481,1.0,0.5409414493419882,0.05229603195061209,0.06785071167906775,,3.2071913854538567,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
5,38,55.00602148135906,66372662.0,100103.0,0.3345960634432759,1.2765087609639576,1.0,3.797367356891839,0.05228820578733665,0.06785373819062336,,3.2074566027166607,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
6,45,55.006021484954154,26391350.0,100103.0,0.5321385916499911,0.9996521367097759,1.0,0.34538561223776565,0.052280626340222236,0.06785992725985278,,3.2075882868832415,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
7,4,55.006021486685846,37446969.0,100103.0,0.18338865193252024,0.4767296557096122,1.0,0.2467355481537721,0.052296251602515234,0.06784920972094616,,3.2072243643441576,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
8,47,55.00602150778781,42557787.0,100103.0,0.3821819943363177,2.9239269793830083,1.0,1.8490967774173543,0.05229936232837785,0.06785084146109625,,3.2070484482174457,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
9,24,55.006021511933184,25811031.0,100103.0,0.5762863041285465,0.8953142224633345,1.0,4.076175833417569,0.05229539243139002,0.06784796931248438,,3.207299453617397,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
10,43,55.00602154908186,9624347.0,100103.0,0.09956606397124344,2.5130230469478,1.0,0.7823628687055961,0.05230158451919517,0.06784608562140201,,3.2069000214245937,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
11,48,55.00602155943904,68573520.0,100103.0,0.5228070728692726,1.8369554221562288,1.0,0.4668693363399448,0.05227582963973043,0.0678652331194612,,3.207944083140142,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
12,25,55.00602156142423,58206968.0,100103.0,0.2304584575518501,1.418247639952074,1.0,2.2147671971375065,0.05227621323357171,0.06787071976542583,,3.2073650647522522,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
13,3,55.00602159382698,33023489.0,100103.0,0.2986332675407475,0.38841970300272893,1.0,4.9834338346691975,0.05228130596805118,0.06785881460388954,,3.207296064378748,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
14,39,55.00602164383278,72372666.0,100103.0,0.7553857840064261,1.6805966554688443,1.0,3.215546818090956,0.05230891194434474,0.06783895794354339,,3.2068235809180754,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
15,44,55.00602164653709,31466218.0,100103.0,0.06627569315018729,3.712576650180978,1.0,1.6186841709081112,0.05226588327523248,0.06786957032539946,,3.2078426279300967,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
16,37,55.0060216682726,32761896.0,100103.0,0.3218047872233111,2.015841927002719,1.0,0.6003373443303828,0.05230001507534077,0.06785503627642983,,3.206513739278422,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
17,34,55.006021733595574,60487062.0,100103.0,0.6667405229918905,1.8985236550538556,1.0,4.701758368079352,0.052298187685126785,0.06784129883567416,,3.207800782821564,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
18,23,55.00602188148378,88295492.0,100103.0,0.12614390980836135,3.5003299227171816,1.0,1.9792109282934591,0.05230825104931884,0.06783871313005928,,3.2065014069012467,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
19,41,55.00602202183338,73288587.0,100103.0,0.013079099828936113,0.8822584543335942,1.0,0.8811286974285935,0.052317845582473634,0.06783365646558842,,3.2061696898953542,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
20,7,55.00602243778111,54425823.0,100103.0,0.6908257591598623,1.046380514060134,1.0,2.7346413072206364,0.05233494365973645,0.06782761385727687,,3.206656768603045,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
21,32,55.00602247675982,26244587.0,100103.0,0.9350598645464384,0.11377961500126225,1.0,4.5156002991564135,0.05228324540418839,0.06785358771862991,,3.2067448414194337,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
22,6,55.00602254753883,61470660.0,100103.0,0.4917806772232314,0.9616255082924244,1.0,1.927421577509698,0.052272662509110765,0.06784825747969793,,3.2087799835238413,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
23,9,55.00602256872915,68384633.0,100103.0,0.33186806069767993,2.1979855040161067,1.0,1.8801579559853268,0.05229293562359428,0.06784617817330099,,3.206501878595708,LearningParams_Fit_alpha-beta-lossave_Fix_exp_
