"payoff.level"	"balloon"	"rt"	"resp"	"explode.trial"	"explode.time"	"finish.time"	"exploded"	"trial.total"	"cumulative.total"	"finished"	"trial.start"	"trial.end"	"trial.num"	"secs"	"start.time"	"iti"	"isi"
0.01	1	2.447749982	1	64	NA	21.3738062509997	0	0.09	0.09	1	0.0135982009996951	2.4613481829997	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.66600923899978	1	64	NA	21.3738062509997	0	0.09	0.09	1	2.83490545899986	4.50091469799963	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.48988170300026	1	64	NA	21.3738062509997	0	0.09	0.09	1	4.73823689599976	6.22811859900003	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.72172726100007	1	64	NA	21.3738062509997	0	0.09	0.09	1	6.45768349199989	8.17941075299996	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.83319411000002	1	64	NA	21.3738062509997	0	0.09	0.09	1	8.41110787199977	10.2443019819998	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.87666567900033	1	64	NA	21.3738062509997	0	0.09	0.09	1	10.4811883959997	12.357854075	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.79476774800014	1	64	NA	21.3738062509997	0	0.09	0.09	1	12.5846557269997	14.3794234749998	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.66435638100029	1	64	NA	21.3738062509997	0	0.09	0.09	1	14.6047983599997	16.269154741	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	2.48076927800003	1	64	NA	21.3738062509997	0	0.09	0.09	1	16.5079093259997	18.9886786039997	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	2.1597741139999	2	64	NA	21.3738062509997	0	0.09	0.09	1	19.212506327	21.3722804409999	"1"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	2.36208904599971	1	102	NA	43.2389257979999	0	0.14	0.23	1	23.4195489379999	25.7816379839996	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.919571192000149	1	102	NA	43.2389257979999	0	0.14	0.23	1	26.0073506529998	26.9269218449999	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.863632295000116	1	102	NA	43.2389257979999	0	0.14	0.23	1	27.1592245659999	28.022856861	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.912865855000291	1	102	NA	43.2389257979999	0	0.14	0.23	1	28.2610831979996	29.1739490529999	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.92262162499992	1	102	NA	43.2389257979999	0	0.14	0.23	1	29.396302014	30.3189236389999	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.977281157000107	1	102	NA	43.2389257979999	0	0.14	0.23	1	30.5482688259999	31.525549983	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.791814137999609	1	102	NA	43.2389257979999	0	0.14	0.23	1	31.767043071	32.5588572089996	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.765037240000311	1	102	NA	43.2389257979999	0	0.14	0.23	1	32.7853477209997	33.550384961	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.739477197999804	1	102	NA	43.2389257979999	0	0.14	0.23	1	33.787050555	34.5265277529998	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.722718667000208	1	102	NA	43.2389257979999	0	0.14	0.23	1	34.7553475339996	35.4780662009998	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.45153641100023	1	102	NA	43.2389257979999	0	0.14	0.23	1	35.7069300639996	37.1584664749998	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.1800911549999	1	102	NA	43.2389257979999	0	0.14	0.23	1	37.3931622719997	38.5732534269996	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.67476015200009	1	102	NA	43.2389257979999	0	0.14	0.23	1	38.7955538429997	40.4703139949997	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.19564891699974	1	102	NA	43.2389257979999	0	0.14	0.23	1	40.6985812749999	41.8942301919997	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.11949099699996	2	102	NA	43.2389257979999	0	0.14	0.23	1	42.1177511669998	43.2372421639998	"2"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	1.63580739399958	1	97	NA	76.0533141769997	0	0.3	0.53	1	45.289635823	46.9254432169996	"3"	4367.419929937	4362.032363103	1.5	0.1
0.01	1	0.932344372999978	1	97	NA	76.0533141769997	0	0.3	0.53	1	47.1594766879998	48.0918210609998	"3"	4367.419929937	4362.032363103	1.5	0.1
