"payoff.level"	"balloon"	"rt"	"resp"	"explode.trial"	"explode.time"	"finish.time"	"exploded"	"trial.total"	"cumulative.total"	"finished"	"trial.start"	"trial.end"	"trial.num"	"secs"	"start.time"	"iti"	"isi"
0.01	1	2.29444054000004	NA	64	NA	2.45612257800002	0	0	0	1	0.0240450590000023	2.31848559900004	"1"	759.17289546	756.216405367	1.5	0.1
0.01	1	1.91934189099999	1	102	NA	19.787350798	0	0.16	0.16	1	4.51478878900002	6.43413068000001	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.660289662999958	1	102	NA	19.787350798	0	0.16	0.16	1	6.66828339200003	7.32857305499999	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.384332030000053	1	102	NA	19.787350798	0	0.16	0.16	1	7.55325413899999	7.93758616900004	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.367139616999964	1	102	NA	19.787350798	0	0.16	0.16	1	8.17089695600004	8.538036573	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.340625863000014	1	102	NA	19.787350798	0	0.16	0.16	1	8.771919169	9.11254503200001	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.36616219299998	1	102	NA	19.787350798	0	0.16	0.16	1	9.33953026900002	9.705692462	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.300491787999988	1	102	NA	19.787350798	0	0.16	0.16	1	9.94051676100003	10.241008549	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.31903861699999	1	102	NA	19.787350798	0	0.16	0.16	1	10.474917659	10.793956276	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.303155150999999	1	102	NA	19.787350798	0	0.16	0.16	1	11.025687334	11.328842485	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.321250477000035	1	102	NA	19.787350798	0	0.16	0.16	1	11.560042479	11.881292956	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.379630284000029	1	102	NA	19.787350798	0	0.16	0.16	1	12.110870069	12.490500353	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.295964304999984	1	102	NA	19.787350798	0	0.16	0.16	1	12.728582784	13.024547089	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.306802273000017	1	102	NA	19.787350798	0	0.16	0.16	1	13.262837367	13.56963964	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.347539973000039	1	102	NA	19.787350798	0	0.16	0.16	1	13.797039719	14.144579692	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.372359458999995	1	102	NA	19.787350798	0	0.16	0.16	1	14.381418554	14.753778013	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	3.83598088200006	1	102	NA	19.787350798	0	0.16	0.16	1	14.982335464	18.818316346	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.729830375999995	2	102	NA	19.787350798	0	0.16	0.16	1	19.055888196	19.785718572	"2"	759.17289546	756.216405367	1.5	0.1
0.01	1	1.60022471299999	1	97	NA	28.075759896	0	0.14	0.3	1	21.810461309	23.410686022	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0593028910000157	1	97	NA	28.075759896	0	0.14	0.3	1	23.646932121	23.706235012	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00458022999998775	1	97	NA	28.075759896	0	0.14	0.3	1	23.9307464290001	23.9353266590001	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0619113090000383	1	97	NA	28.075759896	0	0.14	0.3	1	24.164416734	24.226328043	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0993086980000726	1	97	NA	28.075759896	0	0.14	0.3	1	24.448274436	24.547583134	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00445912999998654	1	97	NA	28.075759896	0	0.14	0.3	1	24.7821707790001	24.7866299090001	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0666362659999322	1	97	NA	28.075759896	0	0.14	0.3	1	25.0158381740001	25.08247444	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00337651600000299	1	97	NA	28.075759896	0	0.14	0.3	1	25.316348936	25.319725452	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0917065319999892	1	97	NA	28.075759896	0	0.14	0.3	1	25.550234554	25.641941086	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00393414499990286	1	97	NA	28.075759896	0	0.14	0.3	1	25.8674220890001	25.871356234	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00393410399999539	1	97	NA	28.075759896	0	0.14	0.3	1	26.101037534	26.104971638	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.107348637999962	1	97	NA	28.075759896	0	0.14	0.3	1	26.334772644	26.442121282	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00426399199989191	1	97	NA	28.075759896	0	0.14	0.3	1	26.6687782220001	26.673042214	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0764072409999699	1	97	NA	28.075759896	0	0.14	0.3	1	26.902419779	26.97882702	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.854493940999987	2	97	NA	28.075759896	0	0.14	0.3	1	27.2195915190001	28.07408546	"3"	759.17289546	756.216405367	1.5	0.1
0.01	1	1.29619120699999	1	51	NA	39.142538181	0	0.21	0.51	1	30.107764929	31.403956136	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.12001713199993	1	51	NA	39.142538181	0	0.21	0.51	1	31.6437700440001	31.763787176	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00466661500001919	1	51	NA	39.142538181	0	0.21	0.51	1	31.994330109	31.9989967240001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00383856799999194	1	51	NA	39.142538181	0	0.21	0.51	1	32.227984704	32.231823272	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.119810201000064	1	51	NA	39.142538181	0	0.21	0.51	1	32.461691456	32.581501657	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00390608899999734	1	51	NA	39.142538181	0	0.21	0.51	1	32.812379581	32.81628567	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00396791800005758	1	51	NA	39.142538181	0	0.21	0.51	1	33.046210866	33.050178784	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00386347699998169	1	51	NA	39.142538181	0	0.21	0.51	1	33.279909831	33.283773308	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00381720099994709	1	51	NA	39.142538181	0	0.21	0.51	1	33.513554669	33.51737187	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.12186989700001	1	51	NA	39.142538181	0	0.21	0.51	1	33.7471710840001	33.8690409810001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00457118199994966	1	51	NA	39.142538181	0	0.21	0.51	1	34.097854109	34.102425291	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00424373600003491	1	51	NA	39.142538181	0	0.21	0.51	1	34.331537653	34.335781389	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.134372529000075	1	51	NA	39.142538181	0	0.21	0.51	1	34.565342134	34.6997146630001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00370045200008917	1	51	NA	39.142538181	0	0.21	0.51	1	34.932498954	34.9361994060001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00385913200000232	1	51	NA	39.142538181	0	0.21	0.51	1	35.166300684	35.170159816	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.099790553000048	1	51	NA	39.142538181	0	0.21	0.51	1	35.400062664	35.4998532170001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00452672199992321	1	51	NA	39.142538181	0	0.21	0.51	1	35.7339161190001	35.738442841	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.00381863400002658	1	51	NA	39.142538181	0	0.21	0.51	1	35.967751386	35.97157002	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.522399248999932	1	51	NA	39.142538181	0	0.21	0.51	1	36.201407294	36.723806543	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.332609858000069	1	51	NA	39.142538181	0	0.21	0.51	1	36.952607344	37.2852172020001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.396447654999974	1	51	NA	39.142538181	0	0.21	0.51	1	37.520385019	37.916832674	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.986232771000005	2	51	NA	39.142538181	0	0.21	0.51	1	38.154625679	39.1408584500001	"4"	759.17289546	756.216405367	1.5	0.1
0.01	1	1.28449501799992	1	116	NA	53.462092122	0	0.37	0.88	1	41.1764703210001	42.460965339	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.171874332000016	1	116	NA	53.462092122	0	0.37	0.88	1	42.695709734	42.867584066	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0998751949999814	1	116	NA	53.462092122	0	0.37	0.88	1	43.096369881	43.196245076	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.11888038699999	1	116	NA	53.462092122	0	0.37	0.88	1	43.430248609	43.549128996	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.15859801900001	1	116	NA	53.462092122	0	0.37	0.88	1	43.780901249	43.939499268	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.104615240999919	1	116	NA	53.462092122	0	0.37	0.88	1	44.1647145810001	44.269329822	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.113420003999977	1	116	NA	53.462092122	0	0.37	0.88	1	44.498681361	44.612101365	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0982768900000792	1	116	NA	53.462092122	0	0.37	0.88	1	44.849275614	44.947552504	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.142154403999939	1	116	NA	53.462092122	0	0.37	0.88	1	45.183187924	45.325342328	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.141656952000062	1	116	NA	53.462092122	0	0.37	0.88	1	45.550409624	45.6920665760001	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.126941008000017	1	116	NA	53.462092122	0	0.37	0.88	1	45.917702574	46.044643582	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0557338280000295	1	116	NA	53.462092122	0	0.37	0.88	1	46.285072311	46.340806139	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0755451339999809	1	116	NA	53.462092122	0	0.37	0.88	1	46.568725914	46.644271048	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0231265840000106	1	116	NA	53.462092122	0	0.37	0.88	1	46.869377014	46.892503598	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0537012380000306	1	116	NA	53.462092122	0	0.37	0.88	1	47.119787871	47.1734891090001	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0399907959999837	1	116	NA	53.462092122	0	0.37	0.88	1	47.403530481	47.443521277	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0370437349999975	1	116	NA	53.462092122	0	0.37	0.88	1	47.670642599	47.707686334	"5"	759.17289546	756.216405367	1.5	0.1
0.01	1	0.0111266320000141	1	116	NA	53.462092122	0	0.37	0.88	1	47.937834591	47.948961223	"5"	759.17289546	756.216405367	1.5	0.1
