"payoff.level"	"balloon"	"rt"	"resp"	"explode.trial"	"explode.time"	"finish.time"	"exploded"	"trial.total"	"cumulative.total"	"finished"	"trial.start"	"trial.end"	"trial.num"	"secs"	"start.time"	"iti"	"isi"
0.01	1	2.03763021299892	1	64	NA	7.11379357499754	0	0.11	0.11	1	0.0099519049981609	2.04758211799708	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.436486706999858	1	64	NA	7.11379357499754	0	0.11	0.11	1	2.34707341499961	2.78356012199947	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0884352889988804	1	64	NA	7.11379357499754	0	0.11	0.11	1	3.01494941700003	3.10338470599891	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.147115332001704	1	64	NA	7.11379357499754	0	0.11	0.11	1	3.33198513999741	3.47910047199912	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0996967749997566	1	64	NA	7.11379357499754	0	0.11	0.11	1	3.71625842999856	3.81595520499832	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0373321269980806	1	64	NA	7.11379357499754	0	0.11	0.11	1	4.04987060699932	4.0872027339974	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0421268219979538	1	64	NA	7.11379357499754	0	0.11	0.11	1	4.3171152319992	4.35924205399715	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00392434900277294	1	64	NA	7.11379357499754	0	0.11	0.11	1	4.58411795499705	4.58804230399983	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00396679299956304	1	64	NA	7.11379357499754	0	0.11	0.11	1	4.81794021699898	4.82190700999854	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00391703099739971	1	64	NA	7.11379357499754	0	0.11	0.11	1	5.05163316499966	5.05555019599706	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0022707129974151	1	64	NA	7.11379357499754	0	0.11	0.11	1	5.28533607200006	5.28760678499748	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	1.59309268600191	2	64	NA	7.11379357499754	0	0.11	0.11	1	5.51897667699814	7.11206936300005	"1"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	1.02558990399848	1	68	NA	15.6500658579971	0	0.15	0.26	1	9.15853521499957	10.1841251189981	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0539522979997855	1	68	NA	15.6500658579971	0	0.15	0.26	1	10.4106633269985	10.4646156249983	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00496417000249494	1	68	NA	15.6500658579971	0	0.15	0.26	1	10.6946149349969	10.6995791049994	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.127412609999737	1	68	NA	15.6500658579971	0	0.15	0.26	1	10.9282961749996	11.0557087849993	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0168340069976693	1	68	NA	15.6500658579971	0	0.15	0.26	1	11.2955057500003	11.312339756998	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00390724300086731	1	68	NA	15.6500658579971	0	0.15	0.26	1	11.545831604999	11.5497388479998	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0363654739994672	1	68	NA	15.6500658579971	0	0.15	0.26	1	11.7796507599996	11.8160162339991	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0967039070019382	1	68	NA	15.6500658579971	0	0.15	0.26	1	12.0467964549971	12.143500361999	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0592833190021338	1	68	NA	15.6500658579971	0	0.15	0.26	1	12.3805631869982	12.4398465060003	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0630180230000406	1	68	NA	15.6500658579971	0	0.15	0.26	1	12.6644455819987	12.7274636049988	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0675448460024199	1	68	NA	15.6500658579971	0	0.15	0.26	1	12.9650191999972	13.0325640459996	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0230370200006291	1	68	NA	15.6500658579971	0	0.15	0.26	1	13.265347444998	13.2883844649987	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0281106460024603	1	68	NA	15.6500658579971	0	0.15	0.26	1	13.5158870399973	13.5439976859998	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.169913145000464	1	68	NA	15.6500658579971	0	0.15	0.26	1	13.7664448949981	13.9363580399986	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0177916469983757	1	68	NA	15.6500658579971	0	0.15	0.26	1	14.1669840350005	14.1847756819989	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	1.23105017300259	2	68	NA	15.6500658579971	0	0.15	0.26	1	14.4173268249979	15.6483769980005	"2"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.502557107996836	1	33	NA	21.6168416049986	0	0.06	0.32	1	17.6895058400005	18.1920629479973	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0480855339992559	1	33	NA	21.6168416049986	0	0.06	0.32	1	18.4241209049978	18.4722064389971	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.524270764999528	1	33	NA	21.6168416049986	0	0.06	0.32	1	18.7079857489989	19.2322565139984	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.316352835001453	1	33	NA	21.6168416049986	0	0.06	0.32	1	19.4592018099975	19.7755546449989	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.374478402998648	1	33	NA	21.6168416049986	0	0.06	0.32	1	20.0101244549987	20.3846028579974	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.349375397996482	1	33	NA	21.6168416049986	0	0.06	0.32	1	20.6111607700004	20.9605361679969	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.419760536999092	2	33	NA	21.6168416049986	0	0.06	0.32	1	21.1954018899996	21.6151624269987	"3"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.540927382000518	1	105	NA	26.8172153919986	0	0.1	0.42	1	23.6662878059979	24.2072151879984	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0610695349969319	1	105	NA	26.8172153919986	0	0.1	0.42	1	24.434213605	24.4952831399969	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0164159640007711	1	105	NA	26.8172153919986	0	0.1	0.42	1	24.7347234499975	24.7511394139983	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0046053270016273	1	105	NA	26.8172153919986	0	0.1	0.42	1	24.9851604599971	24.9897657869988	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00400661499952548	1	105	NA	26.8172153919986	0	0.1	0.42	1	25.2189272369978	25.2229338519974	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0588632079998206	1	105	NA	26.8172153919986	0	0.1	0.42	1	25.4525224649988	25.5113856729986	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00456047700208728	1	105	NA	26.8172153919986	0	0.1	0.42	1	25.7364075499972	25.7409680269993	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00461489500230527	1	105	NA	26.8172153919986	0	0.1	0.42	1	25.9701517699978	25.9747666650001	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00461605199961923	1	105	NA	26.8172153919986	0	0.1	0.42	1	26.2038705699997	26.2084866219993	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00392924700281583	1	105	NA	26.8172153919986	0	0.1	0.42	1	26.437514604997	26.4414438519998	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.144184050001058	2	105	NA	26.8172153919986	0	0.1	0.42	1	26.6713470199975	26.8155310699985	"4"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.43831552499978	1	73	NA	31.9544815150002	0	0.09	0.51	1	28.858366176999	29.2966817019988	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00395397099782713	1	73	NA	31.9544815150002	0	0.09	0.51	1	29.5261022369996	29.5300562079974	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0875677230033034	1	73	NA	31.9544815150002	0	0.09	0.51	1	29.7598140569971	29.8473817800004	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00378957599968999	1	73	NA	31.9544815150002	0	0.09	0.51	1	30.07700587	30.0807954459997	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0882893540001533	1	73	NA	31.9544815150002	0	0.09	0.51	1	30.3107647699981	30.3990541239982	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00393583700133604	1	73	NA	31.9544815150002	0	0.09	0.51	1	30.6279191769972	30.6318550139986	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00376070199854439	1	73	NA	31.9544815150002	0	0.09	0.51	1	30.8617461100002	30.8655068119988	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.00403110699699027	1	73	NA	31.9544815150002	0	0.09	0.51	1	31.0955051450001	31.0995362519971	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.125854505997268	1	73	NA	31.9544815150002	0	0.09	0.51	1	31.3291264750005	31.4549809809978	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.273044159999699	2	73	NA	31.9544815150002	0	0.09	0.51	1	31.6797551499985	31.9527993099982	"5"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.527037710002332	1	45	NA	37.5862117359975	0	0.08	0.59	1	34.0003019269971	34.5273396369994	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.327164600999822	1	45	NA	37.5862117359975	0	0.08	0.59	1	34.7682576279985	35.0954222289984	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.248462609000853	1	45	NA	37.5862117359975	0	0.08	0.59	1	35.3192240449971	35.567686653998	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.180333074000373	1	45	NA	37.5862117359975	0	0.08	0.59	1	35.8033862369994	35.9837193109997	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.139518007999868	1	45	NA	37.5862117359975	0	0.08	0.59	1	36.2207149749993	36.3602329829992	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.140251393000653	1	45	NA	37.5862117359975	0	0.08	0.59	1	36.5879888599993	36.728240253	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0446185170003446	1	45	NA	37.5862117359975	0	0.08	0.59	1	36.9553126129977	36.999931129998	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0733746529986092	1	45	NA	37.5862117359975	0	0.08	0.59	1	37.2224238089984	37.295798461997	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0616270989994518	2	45	NA	37.5862117359975	0	0.08	0.59	1	37.5229015900004	37.5845286889999	"6"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.573818388998916	1	10	43.235533477	NA	1	0	0.59	1	39.6264148699993	40.2002332589982	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0919291050013271	1	10	43.235533477	NA	1	0	0.59	1	40.4278414949986	40.5197705999999	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0706757850020949	1	10	43.235533477	NA	1	0	0.59	1	40.7449968369983	40.8156726220004	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0664463309985877	1	10	43.235533477	NA	1	0	0.59	1	41.0454547049994	41.111901035998	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0933960769980331	1	10	43.235533477	NA	1	0	0.59	1	41.3460162049996	41.4394122819976	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.136659383002552	1	10	43.235533477	NA	1	0	0.59	1	41.6632120769973	41.7998714599998	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0891050589998486	1	10	43.235533477	NA	1	0	0.59	1	42.030492818998	42.1195978779979	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0602771289995871	1	10	43.235533477	NA	1	0	0.59	1	42.3477380570002	42.4080151859998	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.175466239998059	1	10	43.235533477	NA	1	0	0.59	1	42.6314818020001	42.8069480419981	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0963327970021055	1	10	43.235533477	NA	1	0	0.59	1	43.0322478649978	43.1285806619999	"7"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.762039939996612	1	37	NA	48.7299144719982	0	0.08	0.67	1	45.2859724150003	46.0480123549969	"8"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.183356427001854	1	37	NA	48.7299144719982	0	0.08	0.67	1	46.2876247329987	46.4709811600005	"8"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0869182269998419	1	37	NA	48.7299144719982	0	0.08	0.67	1	46.7050159649989	46.7919341919987	"8"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0822903250009404	1	37	NA	48.7299144719982	0	0.08	0.67	1	47.022180609998	47.104470934999	"8"	22031.989201187	22029.547054839	1.5	0.1
0.01	1	0.0364839520007081	1	37	NA	48.7299144719982	0	0.08	0.67	1	47.3395246849977	47.3760086369984	"8"	22031.989201187	22029.547054839	1.5	0.1
