"payoff.level"	"balloon"	"rt"	"resp"	"explode.trial"	"explode.time"	"finish.time"	"exploded"	"trial.total"	"cumulative.total"	"finished"	"trial.start"	"trial.end"	"trial.num"	"secs"	"start.time"	"iti"	"isi"
0.01	1	2.0654654279997	1	64	38.2094736999998	NA	1	0	0	1	0.0241649050003616	2.08963033300006	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.395875659000012	1	64	38.2094736999998	NA	1	0	0	1	2.47820855400005	2.87408421300006	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.65079016099935	1	64	38.2094736999998	NA	1	0	0	1	3.09588932400038	3.74667948499973	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.669479918000434	1	64	38.2094736999998	NA	1	0	0	1	3.98063336199994	4.65011328000037	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.873295291999966	1	64	38.2094736999998	NA	1	0	0	1	4.88211302499985	5.75540831699982	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.643321182999898	1	64	38.2094736999998	NA	1	0	0	1	5.98398752000048	6.62730870300038	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.798808047999955	1	64	38.2094736999998	NA	1	0	0	1	6.85236631200041	7.65117436000037	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.55480714100031	1	64	38.2094736999998	NA	1	0	0	1	7.8873212919998	8.44212843300011	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.554269303000183	1	64	38.2094736999998	NA	1	0	0	1	8.67197001699969	9.22623931999988	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.62496382900008	1	64	38.2094736999998	NA	1	0	0	1	9.45674178100035	10.0817056100004	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.806359065000834	1	64	38.2094736999998	NA	1	0	0	1	10.3079989549997	11.1143580200005	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.68250697700023	1	64	38.2094736999998	NA	1	0	0	1	11.3430343099999	12.0255412870001	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.605021424999904	1	64	38.2094736999998	NA	1	0	0	1	12.2614124930005	12.8664339180004	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.52306780500021	1	64	38.2094736999998	NA	1	0	0	1	13.0960899700003	13.6191577750005	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.434796263999488	1	64	38.2094736999998	NA	1	0	0	1	13.8474011090002	14.2821973729997	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.366493931999685	1	64	38.2094736999998	NA	1	0	0	1	14.514996977	14.8814909089997	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.317920488999334	1	64	38.2094736999998	NA	1	0	0	1	15.1160907230005	15.4340112119999	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.327553121000165	1	64	38.2094736999998	NA	1	0	0	1	15.6669156850003	15.9944688060004	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.321219716000087	1	64	38.2094736999998	NA	1	0	0	1	16.2179154129999	16.539135129	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.306542872999671	1	64	38.2094736999998	NA	1	0	0	1	16.7688734470003	17.0754163199999	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.372294110999974	1	64	38.2094736999998	NA	1	0	0	1	17.3031062970003	17.6754004080003	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.275176891999763	1	64	38.2094736999998	NA	1	0	0	1	17.9040562090004	18.1792331010001	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.365635107999879	1	64	38.2094736999998	NA	1	0	0	1	18.4049406419999	18.7705757499998	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.292993633000151	1	64	38.2094736999998	NA	1	0	0	1	19.0060306300002	19.2990242630003	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.303488088000449	1	64	38.2094736999998	NA	1	0	0	1	19.5236443849999	19.8271324730003	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.216436654000063	1	64	38.2094736999998	NA	1	0	0	1	20.0576380689999	20.274074723	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.190128799000377	1	64	38.2094736999998	NA	1	0	0	1	20.5086067069997	20.698735506	"1"	8462.937194711	8454.808728312	1.5	0.1
0.01	1	0.196460249000665	1	64	38.2094736999998	NA	1	0	0	1	20.9258754809998	21.1223357300005	"1"	8462.937194711	8454.808728312	1.5	0.1
