"payoff.level"	"balloon"	"rt"	"resp"	"explode.trial"	"explode.time"	"finish.time"	"exploded"	"trial.total"	"cumulative.total"	"finished"	"trial.start"	"trial.end"	"trial.num"	"secs"	"start.time"	"iti"	"isi"
0.01	1	4.06643909000559	1	64	NA	37.2163668430003	0	0.15	0.15	1	0.0120246490114368	4.07846373901702	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	2.94681568301166	1	64	NA	37.2163668430003	0	0.15	0.15	1	4.45209268899634	7.39890837200801	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.59673674602527	1	64	NA	37.2163668430003	0	0.15	0.15	1	7.64079320098972	9.23752994701499	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.19277372802026	1	64	NA	37.2163668430003	0	0.15	0.15	1	9.46048782099388	10.6532615490141	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.15820781100774	1	64	NA	37.2163668430003	0	0.15	0.15	1	10.8796247339924	12.0378325450001	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.66105021699332	1	64	NA	37.2163668430003	0	0.15	0.15	1	12.2652613040118	13.9263115210051	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	3.95892899300088	1	64	NA	37.2163668430003	0	0.15	0.15	1	14.1517203510157	18.1106493440166	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	0.865063220000593	1	64	NA	37.2163668430003	0	0.15	0.15	1	18.3421013760089	19.2071645960095	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	0.457311203994323	1	64	NA	37.2163668430003	0	0.15	0.15	1	19.4440028310055	19.9013140349998	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	0.486080492992187	1	64	NA	37.2163668430003	0	0.15	0.15	1	20.1283982190071	20.6144787119993	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	5.11236558898236	1	64	NA	37.2163668430003	0	0.15	0.15	1	20.8463098170178	25.9586754060001	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.2254369680013	1	64	NA	37.2163668430003	0	0.15	0.15	1	26.188613344013	27.4140503120143	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	1.59782382901176	1	64	NA	37.2163668430003	0	0.15	0.15	1	27.6411718890013	29.238995718013	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	0.718899591010995	1	64	NA	37.2163668430003	0	0.15	0.15	1	29.4775567559991	30.1964563470101	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	0.34541657299269	1	64	NA	37.2163668430003	0	0.15	0.15	1	30.4290877690073	30.774504342	"1"	185970.596666287	185948.770375381	1.5	0.1
0.01	1	6.21803069999442	2	64	NA	37.2163668430003	0	0.15	0.15	1	30.9966969340167	37.2147276340111	"1"	185970.596666287	185948.770375381	1.5	0.1
