,EZ_drift_3.0,EZ_drift_4.0,EZ_thresh_3.0,EZ_non-decision_2.0,EZ_thresh_4.0,EZ_drift_2.0,EZ_non-decision_3.0,EZ_thresh_1.0,EZ_thresh_2.0,EZ_non-decision_4.0,EZ_drift_1.0,EZ_non-decision_1.0
100003,1.2079577308456817,0.6681083140341179,2.16477755078854,0.5857894804931275,1.5507843712207814,0.7414808109976971,0.39104232608162637,1.5181660275314552,1.5219075599534233,0.6348919295372135,0.9131375198627067,0.5136142811738156
100009,0.2840638633314603,-0.03228800948811829,1.4273730679887529,0.5741833335010937,1.3767266324420426,-0.16491477459863116,0.5323686949839822,1.3854681229866228,1.105550168186495,0.5375975905403874,0.5737626594802304,0.5228888710900248
100042,0.030292954066383725,-0.42645336965764125,1.610610971201874,0.5428217822802867,1.6253762541879015,-0.3360179056838504,0.566468835571675,1.759576386662012,1.636955434859459,0.6951544550927016,0.6243618049184111,0.5824500208048655
100051,0.6590104263670226,0.29535246081245903,1.6670635921870223,0.43109788316151376,1.4385632433753626,0.25208633079765164,0.524073157604185,1.4325994965533517,1.6084375016495,0.6248175817697211,0.12726624379849105,0.4880812574436548
100057,1.0138840264296445,-0.33635441228387886,1.642207313840593,0.9954964792797387,1.2054698654167106,0.24932768498732674,0.5984176316956672,1.509733069174312,1.3830814107517084,1.0303850166329322,0.24356940152766862,0.6488965090247634
100059,1.5112807069717993,0.6101773629896663,1.5068459979038489,0.6742423819098733,1.5887193068559,0.38517550654508315,0.5504482594775195,1.583386440989024,1.4528851872099038,0.6323052441397524,1.2808927718399887,0.5665022296612778
100062,1.2009347541878483,-1.2491566987162754,1.9173273859920943,0.36673863835844356,1.4984526591621308,1.5848640496070032,0.2955994237559856,1.3041499145852906,1.649958416739042,0.6893238172808223,-0.456011307515827,0.7527773272454625
100063,2.5590999632950724,-0.3605428927887604,1.7539902442703403,0.5880604983785797,1.4512784864992898,-0.3704303826711223,0.5890965562770902,1.7532771969057017,1.5867668863003905,0.4487663040313049,-0.3953437492846293,0.3960638262785068
100068,0.7110925699834257,-0.8548469385509262,1.5449638134929695,0.8347983329865455,1.5887329332375986,-0.584127334820517,0.8122284365083654,1.6013112196263437,1.4877541166441661,0.938786651435631,0.8481321229174326,0.5941115172585363
100103,1.480352826262806,-0.664347988750597,1.6970992181090396,0.46873060367544206,2.287695273380246,0.645218244507736,0.5909356342017962,2.0545936217358536,2.0993604479345582,0.5241649860946802,-0.9034866898872711,0.61867109249346
