,EZ_thresh_4.0,EZ_thresh_1.0,EZ_non-decision_4.0,EZ_drift_4.0,EZ_non-decision_3.0,EZ_non-decision_1.0,EZ_drift_1.0,EZ_drift_3.0,EZ_thresh_3.0,EZ_drift_2.0,EZ_thresh_2.0,EZ_non-decision_2.0
100003,1.696348247137456,1.8701888703607192,0.7568153877553923,-0.6107778479066159,0.39104232608162637,0.5784364197523757,-0.7412590156482453,1.2079577308456817,2.16477755078854,0.7414808109976971,1.5219075599534233,0.5857894804931275
100009,1.2663233589708467,1.3338905825377598,0.5218679392320438,0.03510301081941659,0.5323686949839822,0.49750223752431294,-0.5959483373497652,0.2840638633314603,1.4273730679887529,-0.16491477459863116,1.105550168186495,0.5741833335010937
100042,1.652469528339445,1.648174820013835,0.6389930549186287,0.4194613992407375,0.566468835571675,0.5382019187705871,-0.6665629612390801,0.030292954066383725,1.610610971201874,-0.3360179056838504,1.636955434859459,0.5428217822802867
100051,1.5298983159890904,1.1953013309123155,0.5363819193940491,-0.2777198912664832,0.524073157604185,0.5625498444255659,-0.15253187801171225,0.6590104263670226,1.6670635921870223,0.25208633079765164,1.6084375016495,0.43109788316151376
100057,1.338707806436533,1.455922796989562,0.8584116461997546,0.30287797393776306,0.5984176316956672,1.1357973483795045,-0.2525716204771767,1.0138840264296445,1.642207313840593,0.24932768498732674,1.3830814107517084,0.9954964792797387
100059,1.49513520304504,1.5196338268001073,0.8668792245886717,-0.6483698298413356,0.5504482594775195,0.6432882779169555,-1.3346295742593182,1.5112807069717993,1.5068459979038489,0.38517550654508315,1.4528851872099038,0.6742423819098733
100062,1.1801495716294241,1.6057563831934374,0.5072253870458594,1.5860719877372897,0.2955994237559856,0.3345297084737342,0.37035948539340263,1.2009347541878483,1.9173273859920943,1.5848640496070032,1.649958416739042,0.36673863835844356
100063,1.4467223036683714,1.478558871078158,0.6705171002896607,0.361678355575066,0.5890965562770902,0.6484119917394049,0.46879917608860955,2.5590999632950724,1.7539902442703403,-0.3704303826711223,1.5867668863003905,0.5880604983785797
100068,1.2327823583528337,1.5087683162197392,0.5909837173399548,1.1016733610366012,0.8122284365083654,0.6277818793279074,-0.9001537675154859,0.7110925699834257,1.5449638134929695,-0.584127334820517,1.4877541166441661,0.8347983329865455
100103,1.6634667376694494,1.767741311324599,0.4725101141604807,0.9136496205951913,0.5909356342017962,0.5251268347499383,1.050095949262322,1.480352826262806,1.6970992181090396,0.645218244507736,2.0993604479345582,0.46873060367544206
100104,1.9718872445257531,1.8058976608485577,0.5271702595104429,0.5571374791931019,0.9772299109824288,1.1831932234323275,-0.5737268252509587,0.21840825587660284,1.4580663621912535,-0.028543356439259378,1.709335209867772,0.8691881537316576
100105,1.4665432068254252,1.9242154819688095,0.5812406136868472,0.19616338005786832,0.6864191812716735,0.6003310739253777,-0.9454026643392618,0.5931096310004019,1.3527793692569352,-0.3582059766099993,1.6409180842397784,0.6861141318571531
100109,1.388046740319091,1.6395519859978938,0.780601493858224,0.10561854290164142,0.7498113099002568,0.6151408740558754,-0.4648465303666656,0.19463325791235553,1.478072532605531,-0.30472004846323264,1.3306151339664396,0.6391444367475128
100110,1.576306316128045,1.7165179165288715,0.6443297617229282,0.20202528395671696,0.7287108775419675,0.46671842260369145,-0.9931431975296552,0.15958070046071668,1.574842243174457,-0.22859270418483804,1.6601125703384292,0.8178501346044819
1001102,1.5998888596582928,0.0,0.6200292562982452,1.6032047113631154,0.8778910074034465,,-inf,2.2656856586861673,0.7103535771892499,,,
100128,1.8430821644216293,1.990225359966731,0.4224576648470343,0.6310900470195178,0.670960329636053,0.462446099009472,0.27637389613428837,0.5825428494948613,1.7222803605499153,1.0791365503123413,1.9269494125446582,0.3622594362118077
100129,1.4203460809359794,1.5740251435499406,0.6131088243276078,0.03275259196282441,0.3183834391775904,0.8822587800340408,-0.7774815012561378,1.631795079061654,1.8801704788188653,1.0363626891629825,1.7810624695386432,0.270381018466716
100143,1.6206065029837213,1.8607302319038812,0.8745286907214195,-0.1935433174416875,0.6040904145881862,0.4650119890762424,-0.30075062915639794,-0.21242129311491942,1.5464742830386407,-0.502137523951086,1.5177914728418864,0.872139571998738
100152,1.5788160731895604,1.531341556637766,0.7153454528775877,0.7751222276004679,0.3075673908734471,0.5339288121901807,0.14571768809314292,1.6203861673658821,2.335362835187541,1.7055424234713061,2.2187601913860715,0.33977145329726044
100169,1.364591385765097,1.468133383008496,0.691939288091999,-0.5336678129203546,0.7134510809000568,1.0200594904486333,-0.7483055023357862,0.3629577838009138,1.4416225994248273,,,
100180,,,,,0.3387839908113781,,,2.2913367835672536,1.958959678875332,2.38085831854847,1.8757555138254929,0.34327860283372713
100185,1.3960928037793763,1.6219515372344222,0.6296840740452778,0.3313701787558395,0.6123859796980458,0.8284067376111868,-0.4698907671103517,-0.03235691493182604,1.373794833793359,-0.35832883238554364,1.5617380946150166,0.5659860981541623
100188,1.5698967081757402,1.2364063493310005,1.3541197084837329,-1.8921082196684123,0.6035908573149829,1.1076342364734815,-1.618788193131726,1.0240745963755553,1.5716022232465154,0.9859674666758291,1.660915643517087,0.5978970957217452
100191,1.3499972529222397,1.1659394545117965,0.6176395170003262,0.4883310891612878,0.4241902597470774,0.5859837155222847,-0.11452686681782721,1.270802339803752,1.452489213061552,1.1589857489968705,1.4366076244078194,0.3895381156350936
100207,1.2246344097765947,0.7732147251990674,0.8745911287631628,0.45696559190878133,0.6703322934971232,1.0259396204487055,-3.3819322017735316,1.0107189441358253,1.647349911910981,0.3233934371131456,1.5012914922322198,0.5548829121799805
100214,1.3076670270585677,1.5902494687134434,0.6398903578225533,0.13942506236015126,0.5994151095051219,0.6322153443345014,-0.14690453024990227,0.6472046768693849,1.515485422256415,0.7165333497033131,1.7079113374539097,0.5419633662461549
100215,0.7307198281300697,1.335317229595318,0.24061181102713367,-0.9485813219736028,0.5026799385608595,0.2379284530851261,-0.5190880228288607,1.6203953235028459,0.9932378161613931,1.2063812716338582,0.910667559668104,0.38161448028890044
100241,1.6282705665826958,2.743103691530747,0.7845122477526716,-1.4909980477281768,0.20507823760823318,0.10986850443119933,-0.905874122607934,1.4696914694123717,1.9474841764400153,1.758790691712603,2.4548049599535924,0.0971029094409035
100243,1.8258807237415404,1.899525922648159,1.3056138161088278,-0.8237544639247647,0.5137283612327521,0.890727746965248,-1.0813875763442387,1.5528419929757447,2.375566523059346,0.05903687191991961,1.6952703505826077,0.6699232709258369
100244,1.4998457615425227,1.9446942368403886,1.007111518064285,-1.1278999841498776,0.3052248130594293,0.44456014849955894,-1.157658492506383,1.8108912951021834,2.478689020082159,-2.040288237843761,1.4803912653716222,1.0449581457453285
100247,1.4303820376932643,1.6148878520348613,0.5510356009873245,0.8555584447884026,0.5103836179955296,0.4443273290079095,0.19422869424636072,0.7676651606062825,1.5552646254383942,0.21719998860746878,1.263521455324439,0.6458846654952222
100250,1.7487457233136057,1.622311112084092,0.5976260926037344,0.6088425108339733,0.8854200037664859,0.6431634206496132,0.42725909685072544,-0.2409136501902425,1.7636327108478416,-0.4668950440490118,1.7368576226120793,0.7620287319930846
200025,1.895969700038472,1.6805793956461346,0.6795758843409578,1.98378703816693,0.3614115375728041,0.730180125194717,0.7454351586963951,1.9607993614993742,2.289186980507682,1.2321152943501201,1.8688065179878683,0.3801628095038252
200056,1.3651114132788995,1.5092283077965685,0.6610889696580946,-0.3833006878960476,0.3360276478481452,0.5367875901141368,-0.029453305600749134,0.48647998895566513,1.7863794333846865,-0.4371115821469061,1.5857442558614012,0.5448368190379442
200061,1.501340899276915,0.9324801924650086,0.3576352272438137,0.7516382537512226,0.3354774633242725,0.4761322101995742,-0.2943084989036466,2.283592111400894,1.965603378695568,1.6590251394917288,2.267114600111408,0.11397653956799636
200085,1.3070792366574366,1.632698995807126,0.5374698020621334,-0.5303023421384265,0.35249479017614244,0.34712987363892334,-0.8490814073383899,1.0012309492588838,1.3845900010841983,0.2665270167469988,1.3796904516977386,0.30390453755629715
