,m_zvals,roi_name,std_zvals,sub_id
0,0.11163869500160217,LVStr,0.7969350218772888,100128
1,1.4469579458236694,RVStr,0.6358272433280945,100128
2,0.11331913620233536,VMPFC,0.28112882375717163,100128
3,-0.14899811148643494,RaIns,0.29976600408554077,100128
4,0.05456358194351196,ACC,0.2815200984477997,100128
5,0.1124487891793251,preSMA,0.34263455867767334,100128
6,-0.34046921133995056,PCC,0.45835384726524353,100128
7,-0.023853017017245293,LaIns,0.5514643788337708,100128
8,-0.08587194979190826,LVStr,0.5736386775970459,407672
9,0.40863022208213806,RVStr,0.5882716774940491,407672
10,-0.3434077203273773,VMPFC,0.4336682856082916,407672
11,0.09354649484157562,RaIns,0.4377853572368622,407672
12,0.025826748460531235,ACC,0.9283005595207214,407672
13,-0.6088342070579529,preSMA,0.7724230289459229,407672
14,0.5972371697425842,PCC,0.9460499286651611,407672
15,1.2083330154418945,LaIns,0.5451413989067078,407672
16,-0.753079354763031,LVStr,0.6750896573066711,200199
17,0.9021165370941162,RVStr,1.0370820760726929,200199
18,0.8965926766395569,VMPFC,0.8034085631370544,200199
19,0.03312770649790764,RaIns,0.306407630443573,200199
20,1.1556910276412964,ACC,0.800346314907074,200199
21,0.47522953152656555,preSMA,0.6509032845497131,200199
22,-0.41871416568756104,PCC,1.091628074645996,200199
23,1.9189257621765137,LaIns,0.6944283246994019,200199
24,-1.822218894958496,LVStr,0.6713221073150635,100250
25,0.937143087387085,RVStr,0.6946730017662048,100250
26,1.4347388744354248,VMPFC,0.7814393043518066,100250
27,-0.9157618880271912,RaIns,0.7840302586555481,100250
28,-0.25314876437187195,ACC,0.5040560364723206,100250
29,0.7102704644203186,preSMA,0.7128678560256958,100250
30,-0.9756394624710083,PCC,0.3384667634963989,100250
31,0.19984087347984314,LaIns,0.6391465663909912,100250
32,0.2758731245994568,LVStr,0.5867387056350708,310949
33,0.00036520796129480004,RVStr,0.7401041984558105,310949
34,1.8976730108261108,VMPFC,0.937199592590332,310949
35,0.2668057978153229,RaIns,0.6337286233901978,310949
36,0.7514310479164124,ACC,0.5930182337760925,310949
37,0.6808338165283203,preSMA,0.9532036185264587,310949
38,0.3321896195411682,PCC,1.3491367101669312,310949
39,1.3530609607696533,LaIns,0.7198851108551025,310949
40,-0.1904180496931076,LVStr,0.6391209363937378,100009
41,0.4091223180294037,RVStr,0.7748306393623352,100009
42,0.0940370038151741,VMPFC,1.1096726655960083,100009
43,0.8441177010536194,RaIns,0.5601212978363037,100009
44,-0.40167465806007385,ACC,0.552574098110199,100009
45,-0.9305433034896851,preSMA,0.7643945217132568,100009
46,-0.9335727691650391,PCC,0.7968369126319885,100009
47,0.17521582543849945,LaIns,0.8925688862800598,100009
48,-0.42431655526161194,LVStr,0.6291598081588745,408511
49,1.0874290466308594,RVStr,1.0512999296188354,408511
50,1.1580843925476074,VMPFC,0.7556160092353821,408511
51,-1.938183307647705,RaIns,0.6288549900054932,408511
52,-0.3564301133155823,ACC,1.3110402822494507,408511
53,-0.5312722325325012,preSMA,0.5596604943275452,408511
54,-0.08777861297130585,PCC,1.130582332611084,408511
55,0.6644337773323059,LaIns,0.507141649723053,408511
56,-0.31260135769844055,LVStr,1.1707417964935303,409381
57,1.282670259475708,RVStr,0.9749451875686646,409381
58,-0.7675683498382568,VMPFC,0.619458794593811,409381
59,-0.015422303229570389,RaIns,0.5556833744049072,409381
60,1.0047080516815186,ACC,0.7800609469413757,409381
61,-1.3654544353485107,preSMA,0.8812999129295349,409381
62,1.3265584707260132,PCC,0.33750829100608826,409381
63,1.9707163572311401,LaIns,0.5654025673866272,409381
64,0.06828051805496216,LVStr,1.1004754304885864,200213
65,-0.08845321834087372,RVStr,0.9627590179443359,200213
66,0.30161717534065247,VMPFC,0.40605729818344116,200213
67,-0.037898626178503036,RaIns,0.7335766553878784,200213
68,0.852932870388031,ACC,1.1028835773468018,200213
69,0.5015879273414612,preSMA,0.708873450756073,200213
70,-0.04622548446059227,PCC,0.5164834260940552,200213
71,0.2828879952430725,LaIns,0.7545950412750244,200213
72,0.5102437138557434,LVStr,0.7535991072654724,200168
73,0.7571554183959961,RVStr,1.033023715019226,200168
74,-0.34507495164871216,VMPFC,1.3394029140472412,200168
75,0.7792435884475708,RaIns,0.417942613363266,200168
76,1.3385770320892334,ACC,1.1368658542633057,200168
77,0.42108210921287537,preSMA,1.1780344247817993,200168
78,-0.03589937835931778,PCC,0.7807939052581787,200168
79,0.4735467731952667,LaIns,0.37644749879837036,200168
80,-0.4513002038002014,LVStr,0.826801061630249,407260
81,-0.03854319453239441,RVStr,0.5808016657829285,407260
82,0.537720799446106,VMPFC,1.0854926109313965,407260
83,0.13568712770938873,RaIns,1.5559303760528564,407260
84,2.1780426502227783,ACC,0.8143355250358582,407260
85,0.5444245934486389,preSMA,1.4696581363677979,407260
86,-0.37747034430503845,PCC,0.9512844681739807,407260
87,1.9308526515960693,LaIns,0.500526487827301,407260
88,-0.5064712762832642,LVStr,0.8678413033485413,306065
89,-0.8791564106941223,RVStr,0.6918919682502747,306065
90,0.392156720161438,VMPFC,0.5301330089569092,306065
91,-0.7290897369384766,RaIns,0.47997206449508667,306065
92,-0.8820579648017883,ACC,0.6692277193069458,306065
93,-0.06560053676366806,preSMA,0.7275182008743286,306065
94,-0.021868996322155,PCC,0.46178290247917175,306065
95,-1.4465632438659668,LaIns,0.42074090242385864,306065
96,-1.2552231550216675,LVStr,0.8156771659851074,407209
97,0.15786096453666687,RVStr,1.2951055765151978,407209
