,EZ_thresh_3.0,EZ_drift_3.0,EZ_non-decision_3.0,EZ_thresh_2.0,EZ_non-decision_4.0,EZ_drift_4.0,EZ_non-decision_1.0,EZ_drift_2.0,EZ_thresh_1.0,EZ_thresh_4.0,EZ_non-decision_2.0,EZ_drift_1.0
200199,1.3701057438576085,0.162865933753359,0.5572802273594104,1.2951396471530778,0.4543901480772897,0.5239940950433876,0.3335914180945655,-0.2839267417483779,1.4850302164783629,1.51705884167276,0.4971490130118937,1.260447199074797
200211,1.5709311069872156,0.5734093247830254,0.36878928395777555,1.716251897510772,0.2396984102543842,0.05393195547858088,0.26726109445928936,-0.23625034803821354,1.5513573979979853,1.6867880535475133,0.35171190722937395,0.8936008961628654
200213,1.7652992412316135,2.143653350962813,0.40925438794208263,1.9689991053982883,0.6650910280454669,-0.3589804014848475,0.8525647243935178,1.5462284514891027,1.462174969782802,1.390023422044811,0.2890296141689178,-0.25149163932134655
200249,2.021328014940776,2.220637292193102,0.5276126698840156,1.4381555792578165,0.7153848619372836,-0.16957400650723137,0.49183833943705235,1.4283042553404477,1.6956131160846752,1.3159065820898326,0.6507407606928337,0.8870404354085947
306065,1.5352565321595415,1.687188499893417,0.40466004776694675,1.199039161366565,0.6154132036478861,-0.8617440274449495,0.5816483348333722,-0.9162438759848369,1.4257705878626465,1.2391622059365797,0.533747515046507,-0.2704940641187767
306587,1.625683478445475,-0.7706069386233142,0.6836960057725728,1.3526825730404506,0.7081879679333725,0.13386338495142414,0.6909356551187611,-0.6182145322689919,1.3768093798744403,1.3619972097681123,0.8247098121432224,0.16207294530093902
310949,1.662978655091157,1.844914200035503,0.40597354155210863,1.5000029018684358,0.528038701698595,-0.321472355755545,0.493179977276479,1.386291679229179,1.2965059918945143,1.321678789352441,0.34073731831812126,0.35682328106490757
311047,2.4165403235295586,1.8574638817431837,0.6902719798323756,1.625572687181632,1.4767187428263067,-0.6045134021914702,1.2573403340400748,0.21213476887927002,1.4467719336806353,1.5699909237025307,1.2578062541697475,0.033723466037461944
311283,1.5143337594599389,1.1171090917727275,0.43997180664473445,1.5094201349022383,0.5807513917207424,-0.0772084124457335,0.7040767495864949,-0.09259313503474029,1.4900265764010168,1.7294927896409753,0.7275880713089776,0.2105046740928904
311444,1.6822731235074697,0.9103613138461867,0.39715432709122134,1.7445846627768777,0.6527606106180166,0.20425583380791298,0.4456264755732907,1.3053349221728223,1.7701702150301364,1.5356112626384628,0.40284339690584814,0.3161367100089273
311479,1.3964551248864374,0.2246098376276492,0.32209009165743135,1.5179479677111074,0.40600082375627267,0.18457688666718144,0.38231919812537857,-0.30476902488673346,1.3376410462070447,1.208946338533544,0.37136994043023175,1.0363724745519773
311760,1.6738505255553755,1.2116662846100645,0.4918053146188355,1.814608875889135,1.0507175274769212,-1.1231973476089858,0.7861415163576307,-1.2259520941857494,1.5068028915417648,1.6196249459533676,1.3930746639684322,-0.24404305446285693
400285,1.8617022941621424,2.0326502501418098,0.2812220016949541,1.6051153261749944,0.6211016836513628,-0.3447911237278357,0.39830702928474604,0.541417699309205,1.219774218896409,1.4472274132929,0.2108518749710846,0.26931546993118965
400742,1.3483449337076139,0.23262412385275988,0.5309122088647698,1.5135669619423626,0.41059822445080896,0.3504946951575805,0.5739757356866761,-0.3457053152726476,1.5935705590105265,1.6967649324316185,0.7118726926902418,0.7861358641522774
402997,1.868910895649412,2.4017390985204914,0.4569271519170311,1.59237598808455,1.086231974405845,-1.3297230296603924,0.9460947739415845,0.8705823068755563,1.663243858311351,1.9846669349550687,0.40866099417686064,-1.1253925078683198
405027,1.7732887290159622,0.8636362177828982,0.43319771129072937,1.57081002140623,0.635120515339137,-0.12259292736517666,0.47161296438673916,0.7600680236325488,1.6042569745914161,1.5584523582963228,0.5419222097710688,0.6305728618921053
406620,1.8758402111036114,2.3928671233096916,0.5618786897277624,1.8164704556780726,0.6650959469283386,-0.5907875490515339,0.9479439725030758,1.2536770294783963,1.726511100054359,1.9688140206628157,0.513812793996059,-0.769839213450811
406925,1.4093864372199378,3.1686895805977375,0.39952538150319994,1.9934165281542666,0.5388566703940378,-1.9022976212469185,0.4690629735340641,1.8983436629885355,1.5215209779779773,1.2234035723910188,0.21056687833930887,-1.1118321963061084
406980,1.8079728947235927,1.2595693727797337,0.6348810583442767,1.9816635309556543,0.8907733444905342,-0.030290327085620027,0.5282776529080587,1.1491694979679756,1.9747189334065782,1.4675233596911785,0.6248889850957381,0.8566667296559365
407209,1.380351498280969,2.741468125061572,0.4661850029562734,1.4052923631780028,0.688298382474449,0.1515636837909579,0.5502383594644739,0.8708333323996756,1.2978448380191312,1.472275849549669,0.5188322149338473,-0.17193392058698512
407260,1.5455554107595373,0.26234265383530003,0.6329749610552977,1.4578343735330008,1.0968897112345766,-1.162938793911159,0.7952715186804967,-0.4522088660089759,1.3064671562682655,1.2933418376368788,0.9197215201146952,-0.42834279090021987
407672,1.4556202238562594,3.083658976543177,0.47824555096947674,1.8890638182755484,0.42795714201737023,-1.8857884784889616,0.3618499031244546,2.364085360933616,1.1748887265105028,1.2341138638460718,0.3282510998671768,-1.7699050937835745
408394,2.339221543421448,1.9091428647337745,0.38612787936869875,1.8814304565649969,0.7920498293373825,-1.0171766690453805,0.663240778864351,1.4026866209200695,1.4760894481422977,1.5056149217438084,0.5149345375376447,-0.0904629409773072
408511,1.6361172540685014,1.8752035818364179,0.3530854001210222,1.6262159721611005,0.6134100275945524,0.49122703770134984,0.4311144296849841,0.4053862710548731,1.357529938902632,1.4824886345404318,0.653217100561174,1.7143472411854774
408662,1.68582710580348,2.244708025450025,0.3273143167615366,1.7837522663629002,0.9562765551499499,-0.8849468398206379,0.5198333403820815,2.1214771273335415,1.3766889582685937,1.6996245752808408,0.24159940627799592,-0.36245744772047056
408952,1.6904129439007265,2.65534902931727,0.3557700649584632,1.4226488521368372,0.7332458507586956,-0.7317348540094225,0.7921074810349238,1.3157162247663015,1.1002911833413178,1.3824692183727165,0.32035362837297354,-1.0256060113023129
408988,1.4097870352652322,-0.22248577338919215,0.6647379846744086,1.5567822595004488,1.1150038510780744,-1.0292005331110272,0.8448110195239366,-1.6797209513906621,1.6551421925205936,1.7934567959451382,0.8547865691752414,-0.8205479204689515
409381,2.3246483670896168,1.627854641369241,0.31407585542970684,2.6209679748522103,1.371254481586991,-0.9962941572445326,0.9115344378460628,1.7125872627212264,1.083026531785273,1.697968414619402,0.2003308043697405,-0.9340499812234017
409850,1.407079062688469,3.190038490911679,0.4941805233849178,1.6497713992387464,0.6456599526904148,-0.946928823172329,0.5144889823142295,1.5996503096325942,1.777381123193886,1.6173088552038712,0.3268273327012999,-0.9517801154719113
409874,1.3698766777657485,0.42907998540481157,0.5278045342023806,1.614011041199067,0.5877825570989199,-0.29197988272558867,0.616318553364281,-0.5181179080282875,1.0350871534728265,1.3886748097958255,0.6169083534092717,0.22569582705929897
411256,2.205426880931324,2.035268731211188,0.2573487849820395,2.2100997388835815,0.8792626669953334,-1.4411961740863224,0.9270192418447287,1.7018237003156749,1.4262601513321853,1.4428580779421947,0.14574051111306285,-0.952227041388383
411477,1.8585418593853051,0.2181630217585026,0.4942060337040731,1.6806701898209844,0.625762056282196,-0.14937448518395038,0.5279715886598446,0.05954973150778795,1.6021245958956418,1.8372404454736635,0.5596162665060936,0.7819385406757526
