,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.24444444444444444,1842153,306587,0.2386060781307325,0.05,3.730889450805309,0.05,0.05,0.19976767520981675,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.3555555555555556,1842153,306587,0.05,0.05000021465928952,15.0,2.0,0.050000246716968115,1.0823960442950343e-06,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.4,554502,100068,0.3963972626575132,0.8214317693624124,1.1225178207471218,0.3700156524498287,0.05,0.3867477960359621,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.24444444444444444,554502,100068,0.9294659183811016,0.19231125008944008,0.4937885381974785,0.1453128209360595,0.4646049534805424,0.8477094640740712,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,554502,100068,0.3212986109075339,0.8707960493287191,1.1985608419449114,0.4245558557627275,0.05,0.4142550184202341,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,554502,100068,0.39055168472087937,0.8409430743857848,0.8512028032228309,0.3746397254219133,0.05,0.6169226889240732,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.7111111111111111,5079854,409874,1.661147630279917,1.1407968390227587,0.053577117579958713,0.06423513209716175,0.3740117234424651,5.108192743117512,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.5333333333333333,5079854,409874,1.5456657121886959,0.9496966943957946,0.07293832727582074,0.07739417465765355,0.2226734978486506,2.5974370460297087,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.6222222222222222,5079854,409874,0.955248076858592,0.627614204163178,0.0663222231754356,0.06047850692773748,0.34861025856264066,6.9246975339998444,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix,0.13333333333333333,5079854,409874,2.0,0.05000002002209072,6.320807073883919,1.999999992612968,0.05000001155888217,1.264238749670803e-07,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
