,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3333333333333333,2969841,100180,0.11999155350414405,0.002551074160453177,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.0,2969841,100180,0.05,0.0,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.6222222222222222,7682295,311283,0.05,0.01728422302036486,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3111111111111111,7682295,311283,0.05,0.01707850923116474,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.7111111111111111,7682295,311283,0.05,0.015513815514670888,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4222222222222222,7682295,311283,0.2908270381738847,0.005060586970387698,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3111111111111111,8923339,411256,0.05,0.14749687224473568,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.8888888888888888,8923339,411256,0.05,0.21270816277550592,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4222222222222222,8923339,411256,0.17082107072986705,0.14294893151804308,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.8222222222222222,8923339,411256,0.05,0.1771349898649274,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5111111111111111,2133605,100009,1.738346260277799,0.0012446868722155676,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.37777777777777777,2133605,100009,0.7319837657639836,0.001885369287864343,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4444444444444444,2133605,100009,0.9148754810551673,0.003620324320880345,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5333333333333333,2133605,100009,1.1556496213508525,0.0033757564986712013,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5333333333333333,2604370,311760,0.05,0.07047357848465688,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3111111111111111,2604370,311760,0.05,0.0949332587930111,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4888888888888889,2604370,311760,0.05,0.18684073277917976,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.37777777777777777,2604370,311760,0.05,0.07305337679510591,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.2888888888888889,130959,402997,0.0679988369688905,0.04411500998542231,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.6444444444444445,130959,402997,0.14137187264435944,0.0612864180532646,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.9333333333333332,130959,402997,0.20235086503828192,0.0673538411091844,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.9111111111111112,130959,402997,0.4232324763328382,0.02725648358231542,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4444444444444444,9718458,200156,0.05,0.022852559843817944,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5111111111111111,9718458,200156,0.05,0.03425488399346156,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3555555555555556,9718458,200156,0.05,0.030499755822906486,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5111111111111111,9718458,200156,0.05,0.030717809846615776,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5333333333333333,7257347,100003,0.05,0.009733991169472123,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3555555555555556,7257347,100003,0.05,0.004777659153007428,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.6222222222222222,7257347,100003,0.05,0.002777944517943798,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.3555555555555556,7257347,100003,1.2300203231081326,0.0017726490822321844,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.4444444444444444,9324449,200148,0.05,0.06135110952311362,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5777777777777777,9324449,200148,0.05,0.04634563159670962,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.2222222222222222,9324449,200148,0.055699485882164564,0.10367402325228946,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.6666666666666666,9324449,200148,0.05,0.06020582675877464,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.37777777777777777,3354119,400742,0.8597138213567267,0.004552073328612136,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5333333333333333,3354119,400742,1.5659548608640224,0.0013879922238249534,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5111111111111111,3354119,400742,1.2296072132763565,0.0013203480386417962,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha-beta_Fix_exp-lossave,0.5111111111111111,3354119,400742,1.1071590452390825,0.003217633668569797,1.0,1.0,CV_LearningParams_Fit_alpha-beta_Fix_exp-lossave_
