,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4,4783903,100241,0.05,10.627153204758086,0.13357315259887825,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,4783903,100241,0.05,9.849486683397107,0.2027433864511275,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.3555555555555556,4783903,100241,0.05,0.922283619272744,1.2063394881160596,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.3555555555555556,4783903,100241,0.05,0.34915728039076394,0.912350065905183,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.2888888888888889,2829182,407209,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,2829182,407209,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,2829182,407209,0.05,0.6386826898534516,0.6273645109618903,0.23769512569870316,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.17777777777777778,2829182,407209,0.05,0.8218833015308222,0.6094740429010498,0.3164066675176784,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.6888888888888889,3729820,200148,2.0,0.07270024935074088,0.07080587884136197,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4444444444444444,3729820,200148,0.07075048612638551,0.08955826211023908,1.075361842854566,0.061003163198343625,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,3729820,200148,2.0,0.1663150553169311,0.4927783674648787,0.05270161982210873,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.2,3729820,200148,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.3555555555555556,9788190,200133,0.0968910593395054,0.05123489162194986,0.9685273676646702,0.4303075018877377,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
