,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.7777777777777778,4047213,100003,0.05,0.13282214834624065,0.8409993151359505,0.24780782221539746,0.37195231943688256,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,3832794,200249,0.13962479836307706,0.3470642715039861,0.406486498085584,0.3739151282568801,0.4647635519074122,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.6,3832794,200249,0.16582391304016592,0.696694845023667,0.3628364610208689,0.4890692794629738,0.3361037539679043,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.37777777777777777,3832794,200249,0.17839857026372796,0.27647637128721514,0.3891256844475899,0.3823424043139767,0.4534964884439502,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.8444444444444444,3832794,200249,0.05,0.5427201202593334,0.2413619170908119,0.6315781441249531,0.402869417373409,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.7111111111111111,5332029,407209,0.05,2.0,0.048248255104681205,1.0520414656726722,0.5471856739453874,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.6,5332029,407209,0.05,0.8606652064781378,0.14563601951363658,0.8727828800732593,0.3882347796078044,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.4888888888888889,5332029,407209,0.05,2.0,0.0487063962853829,0.9738812161416592,0.473526915433169,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,5332029,407209,0.05,1.949414954889936,0.24236833873070995,0.8801946876054257,0.1841761373926108,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.8666666666666667,4263291,408952,0.05,0.05,0.1804301717298821,0.8529473729294691,1.1337715177775562,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5555555555555556,4263291,408952,0.05,0.05,0.6961598192084003,0.6969850869922577,0.7505609307418611,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5777777777777777,4263291,408952,0.05,0.6436748909239584,0.3945016454429919,0.8889243341238664,0.3556798360290938,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.3111111111111111,4263291,408952,0.6991338426757566,0.6583053997723357,0.06337542228131356,0.6864017207736759,0.8728941314204441,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.7111111111111111,4814357,200162,0.05,0.26497631048429604,0.4670257837696367,0.05,0.2618600732496809,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,4814357,200162,0.061867531982591824,1.3832022477568475,0.5040584627290768,0.6353550166152206,0.05740536952294185,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5777777777777777,4814357,200162,0.056861884363890364,0.4628708689893942,0.38975013439303097,0.4438665984227207,0.22044506418122234,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.7333333333333333,4814357,200162,0.05,0.26005773830657514,0.4812294524899611,0.05,0.3035806256902401,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.7777777777777778,3930383,100180,0.05,0.7481110347941197,1.1850614526313146,0.05,0.4147214732808085,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.0,3930383,100180,inf,inf,inf,inf,inf,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.0,3930383,100180,inf,inf,inf,inf,inf,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.0,3930383,100180,inf,inf,inf,inf,inf,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,6056259,402997,0.05,0.05,0.0887285125828231,1.478449954222952,1.3084921518060084,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.8444444444444444,6056259,402997,0.05,0.24515207448250226,0.3194806249518602,0.9680707708795308,0.4331740653239828,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.3555555555555556,6056259,402997,0.05,0.6892393616348824,0.11995954749788625,1.0494656301625167,0.3971110953983104,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.8222222222222222,6056259,402997,0.05,1.5029261304751995,0.4119232516707769,1.1463931132905885,0.2544809671406884,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.8,5681471,200056,0.19731631179535533,0.4132705197503122,0.43214903112898506,0.16308659056891986,0.05,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.4444444444444444,5681471,200056,0.16408931840667287,0.3609420501203647,5.994503902496847e-05,1.9767736039694288,1.0347968041598001,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.3333333333333333,5681471,200056,0.05434656540765023,0.05020279759657289,1.5623731566547012,0.05,0.15602552398439154,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,5681471,200056,0.08097824466000292,0.08120082194784592,1.9999892326617752,0.05,0.07889500390501511,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave,0.2888888888888889,9390609,306065,0.0884865412547483,0.05,1.9597408209976923,0.4040926938924364,0.43510838983593203,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos_Fix_lossave_
