,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,neglogprob
2,0.5,0.9402273731358342,1.0,0.5,0.9422370747214449,,1.0356539779522296,,,0.4836492883351051,59.72871905440368
0,0.5,0.6557442814515563,1.0,0.5,0.7624346325696028,,inf,,,inf,
1,0.5,0.6757873643426873,1.0,0.5,0.5751162199516869,,inf,,,inf,
