,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,neglogprob
0,0.29810566816629547,0.5,0.5,0.5,0.33933991929433904,,,,47.41256551190203
2,0.14263139534233915,0.5,0.5,0.5,0.33933979883821536,,,,47.41256551193099
1,0.6995617748221707,0.5,0.5,0.5,0.3393401926486094,,,,47.41256551193831
