,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,neglogprob
1,0.5,0.8337481814218695,0.5064008403518311,0.590878689027595,,0.9375290891073449,0.21005846353614188,0.6503487506349108,35.666812891449595
0,0.5,0.5298296135478904,3.7095454945185047,0.07383641683460962,,inf,inf,inf,
2,0.5,0.8877998718948544,4.3256180903959605,0.9329281901469266,,inf,inf,inf,
