,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,neglogprob
2,0.06218829393232439,0.7739716630142041,1.0,0.24459813145249343,0.79907317106389,0.03228162754325499,0.14257998451139586,,0.8321850059406879,0.7051115021199279,30.491224855445402
1,0.47657976096678123,0.7706336469138528,1.0,0.4018870334813428,0.5293567857931849,0.032280533734738256,0.14258745924837085,,0.8321954453255747,0.705105708947844,30.4912248595407
0,0.33420804292089334,0.8356009409875376,1.0,0.19149744145450331,0.44428057832303136,0.032281565161248485,0.14261357939681457,,0.8321947987878908,0.7050479720689968,30.491224866537248
