,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,neglogprob
1,0.8615043601299138,0.5,1.0,0.036605983726924585,0.5066836043728103,0.03341038273927385,,,0.8913373007849803,0.3972214170015899,31.28416626798183
2,0.646739427165037,0.5,1.0,0.6067483512432359,0.394130041547879,0.03340986014651165,,,0.891339675708009,0.39722014741532896,31.284166268111242
0,0.7822003257312096,0.5,1.0,0.8919801930105672,0.8343459498758198,0.03340983798613194,,,0.8913399934729336,0.39721949980619115,31.28416626835846
