,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,neglogprob
2,0.7766656424999149,0.5,0.5,0.2937780219254327,,,58.777131646106774
0,0.9220848327090494,0.5,0.5,0.29377806241579885,,,58.77713164610919
1,0.6587474328977462,0.5,0.5,0.29377767329517523,,,58.77713164611361
