,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,neglogprob
2,0.5,0.09893065898755493,0.5,0.16138499135248952,,0.43583032479146416,,0.648416537737899,37.850483356567246
0,0.5,0.7334259678981447,0.5,0.2704641672283399,,0.43583050251025457,,0.648416612469411,37.85048335656986
1,0.5,4.484255272484548,0.5,0.8473558742916371,,inf,,inf,
