Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,66018,68536,2516,70541,519.0,1,
3.0,1,100,71072,74714,1062,76719,1454.0,1,
1.0,2,0,78185,80863,1043,82868,1381.0,1,
4.0,1,-100,84261,86877,1301,88882,2868.0,1,
4.0,2,0,91762,95676,1428,97681,3060.0,1,
4.0,2,0,100753,103887,1749,105892,942.0,1,
3.0,1,-10,106846,109574,1172,111579,2101.0,1,
1.0,1,5,113691,116604,2512,118609,590.0,1,
2.0,1,-5,119211,121787,1208,123792,3834.0,1,
1.0,2,0,127638,131378,2552,133383,1607.0,1,
1.0,2,0,135000,138121,1275,140126,3913.0,1,
2.0,1,-5,144052,146624,1100,148629,1017.0,1,
3.0,1,100,149658,152508,951,154513,922.0,1,
4.0,2,0,155447,158257,1720,160263,1697.0,1,
4.0,2,0,161974,165223,1083,167228,1420.0,1,
2.0,0,0,168694,171466,2771,173471,595.0,1,
2.0,1,-5,174078,176634,746,178639,1076.0,1,
1.0,2,0,179728,183528,1396,185533,1902.0,1,
3.0,1,100,187446,190478,1062,192483,1928.0,1,
1.0,1,5,194423,197185,2323,199191,1335.0,1,
1.0,1,5,200538,204758,808,206763,507.0,1,
1.0,1,5,207283,210031,765,212036,701.0,1,
1.0,1,-495,212750,215710,753,217715,663.0,1,
4.0,2,0,218394,220918,1872,222923,3555.0,1,
3.0,1,100,226490,229208,1158,231213,2412.0,1,
1.0,1,5,233681,236356,1683,238361,592.0,1,
1.0,1,5,238965,242155,772,244161,1321.0,1,
3.0,1,-10,245493,249128,927,251133,1866.0,1,
4.0,2,0,253011,255690,1363,257695,2291.0,1,
2.0,1,-5,260000,262921,1781,264925,2991.0,1,
2.0,0,0,340058,342700,2640,344705,2658.0,1,
1.0,2,0,347393,350411,1151,352416,775.0,1,
2.0,1,495,353203,355829,761,357834,2112.0,1,
3.0,2,0,359959,362851,1692,364856,1501.0,1,
3.0,2,0,366370,369216,874,371221,1977.0,1,
2.0,1,-5,373228,376467,1043,378473,924.0,1,
2.0,2,0,379410,382528,1564,384533,709.0,1,
1.0,1,5,385254,388083,1359,390088,2195.0,1,
3.0,1,-10,392294,395127,2508,397132,3069.0,1,
3.0,2,0,400213,403052,1333,405057,1144.0,1,
4.0,2,0,406214,409806,3014,411811,1865.0,1,
1.0,1,5,413688,416957,1110,418962,1062.0,1,
4.0,1,10,420078,422591,2300,424596,808.0,1,
3.0,1,-10,425416,428771,2499,430776,776.0,1,
1.0,1,5,431571,435099,1721,437104,1752.0,1,
1.0,1,5,438868,441616,1754,443622,2352.0,1,
1.0,1,5,445988,448811,866,450816,3747.0,1,
1.0,1,5,454574,457375,863,459381,2964.0,1,
1.0,1,5,462357,466364,1044,468370,3776.0,1,
3.0,2,0,472158,474679,2087,476685,895.0,1,
4.0,1,10,477593,480783,980,482788,1167.0,1,
1.0,1,5,483966,486490,1019,488496,3746.0,1,
3.0,2,0,492254,494904,1653,496909,1131.0,1,
1.0,1,-495,498052,501580,1189,503585,2179.0,1,
4.0,1,10,505777,508480,2644,510485,1215.0,1,
3.0,1,100,511716,514353,2117,516358,2711.0,1,
1.0,1,5,519082,522835,868,524841,2474.0,1,
1.0,1,5,527327,529884,601,531890,743.0,1,
4.0,1,-100,532644,535621,2319,537626,3203.0,1,
3.0,1,-10,540841,544000,2839,546004,1397.0,1,
3.0,1,100,608434,610948,2256,612954,3892.0,1,
4.0,1,-100,616858,619490,1032,621495,3604.0,1,
1.0,1,5,625111,627761,925,629765,2096.0,1,
3.0,1,-10,631873,634466,2037,636471,1142.0,1,
4.0,2,0,637626,641880,2418,643884,904.0,1,
1.0,1,5,644800,647425,917,649430,2617.0,1,
2.0,1,-5,652060,655418,1634,657423,1534.0,1,
3.0,1,-10,658969,662098,2839,664103,738.0,1,
4.0,1,10,664853,667887,1176,669892,1949.0,1,
2.0,1,-5,671853,675886,1452,677891,3888.0,1,
1.0,1,5,681797,684412,862,686417,846.0,1,
1.0,1,5,687275,690777,754,692782,993.0,1,
4.0,0,0,693787,696420,2631,698425,2966.0,1,
4.0,1,-100,701403,706288,528,708292,3919.0,1,
2.0,1,-5,712226,715226,1531,717231,3413.0,1,
4.0,2,0,720656,724861,1641,726866,1954.0,1,
4.0,2,0,728832,731369,874,733374,1361.0,1,
1.0,1,-495,734747,737607,1546,739612,3175.0,1,
3.0,1,-10,742800,745423,931,747428,3801.0,1,
