Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,66764,69281,2516,71283,519.0,2,
3.0,1,100,71810,75453,792,77455,1454.0,2,
1.0,1,5,78916,81593,860,83595,1381.0,2,
4.0,1,-100,84983,87596,709,89598,2868.0,2,
4.0,2,0,92473,96386,919,98388,3060.0,2,
4.0,2,0,101455,104590,847,106592,942.0,2,
3.0,1,-10,107541,110269,900,112271,2101.0,2,
1.0,1,5,114379,117292,953,119294,590.0,2,
2.0,1,-5,119891,122466,912,124468,3834.0,2,
1.0,1,5,128310,132048,777,134050,1607.0,2,
1.0,1,5,135664,138784,671,140786,3913.0,2,
2.0,2,0,144706,147278,1513,149280,1017.0,2,
3.0,2,0,150304,153153,826,155155,922.0,2,
4.0,2,0,156084,158892,1024,160894,1697.0,2,
4.0,2,0,162599,165847,875,167849,1420.0,2,
2.0,1,-5,169276,172048,1261,174050,595.0,2,
2.0,2,0,174652,177207,791,179209,1076.0,2,
1.0,1,-495,180292,184092,671,186094,1902.0,2,
3.0,1,100,188002,191032,2520,193034,1928.0,2,
1.0,2,0,194969,197730,1194,199732,1335.0,2,
1.0,1,5,201074,205293,941,207295,507.0,2,
1.0,2,0,207809,210557,1778,212559,701.0,2,
1.0,2,0,213268,216227,599,218229,663.0,2,
4.0,1,10,218900,221424,1495,223426,3555.0,2,
3.0,0,0,226988,229705,2716,231707,2412.0,2,
1.0,1,5,234126,236801,1978,238803,592.0,2,
1.0,2,0,239402,242592,953,244594,1321.0,2,
3.0,1,100,245922,249557,1344,251559,1866.0,2,
4.0,1,10,253433,256111,1399,258113,2291.0,2,
2.0,2,0,260411,263332,1551,265334,2991.0,2,
2.0,1,-5,352166,354807,1347,356809,2658.0,2,
1.0,1,5,359474,362492,1416,364494,775.0,2,
2.0,2,0,365276,367902,2429,369904,2112.0,2,
3.0,1,100,372023,374913,2006,376915,1501.0,2,
3.0,1,-10,378423,381269,1564,383271,1977.0,2,
2.0,1,-5,385255,388493,1746,390495,924.0,2,
2.0,2,0,391426,394544,1298,396546,709.0,2,
1.0,1,5,397262,400091,728,402093,2195.0,2,
3.0,1,-10,404295,407127,1221,409129,3069.0,2,
3.0,1,-10,412205,415042,673,417044,1144.0,2,
4.0,1,10,418195,421786,602,423788,1865.0,2,
1.0,1,5,425660,428928,1707,430930,1062.0,2,
4.0,1,-100,432000,434511,2019,436513,808.0,2,
3.0,1,100,437328,440683,547,442685,776.0,2,
1.0,1,5,443468,446996,1823,448998,1752.0,2,
1.0,2,0,450757,453503,1333,455505,2352.0,2,
1.0,2,0,457864,460687,782,462689,3747.0,2,
1.0,2,0,466444,469245,1986,471247,2964.0,2,
1.0,1,5,474218,478226,1429,480228,3776.0,2,
3.0,2,0,484011,486530,1644,488532,895.0,2,
4.0,1,-100,489434,492623,1313,494625,1167.0,2,
1.0,1,5,495799,498320,659,500322,3746.0,2,
3.0,1,-10,504075,506726,1459,508728,1131.0,2,
1.0,1,5,509866,513395,535,515397,2179.0,2,
4.0,1,10,517583,520285,2563,522287,1215.0,2,
3.0,1,100,523510,526145,1116,528147,2711.0,2,
1.0,2,0,530865,534617,1968,536619,2474.0,2,
1.0,1,5,539100,541657,986,543659,743.0,2,
4.0,2,0,544409,547386,1935,549388,3203.0,2,
3.0,1,-10,552599,555759,1754,557761,1397.0,2,
3.0,1,-10,626012,628525,1232,630527,3892.0,2,
4.0,1,-100,634427,637058,1436,639060,3604.0,2,
1.0,1,-495,642671,645322,643,647324,2096.0,2,
3.0,1,-10,649427,652020,480,654022,1142.0,2,
4.0,1,-100,655171,659425,663,661427,904.0,2,
1.0,2,0,662338,664962,77,666964,2617.0,2,
2.0,2,0,669588,672945,232,674947,1534.0,2,
3.0,2,0,676489,679618,964,681620,738.0,2,
4.0,1,10,682365,685400,337,687402,1949.0,2,
2.0,1,495,689358,693391,1428,695393,3888.0,2,
1.0,1,5,699288,701901,659,703903,846.0,2,
1.0,1,5,704757,708258,960,710260,993.0,2,
4.0,2,0,711260,713893,1761,715895,2966.0,2,
4.0,2,0,718868,723753,466,725755,3919.0,2,
2.0,2,0,729681,732681,665,734683,3413.0,2,
4.0,2,0,738104,742308,233,744310,1954.0,2,
4.0,2,0,746272,748808,1847,750810,1361.0,2,
1.0,1,5,752178,755037,743,757039,3175.0,2,
3.0,1,100,760221,762840,610,764842,3801.0,2,
2.0,2,0,768651,771471,744,773473,1205.0,2,
1.0,2,0,774685,778210,1675,780212,1969.0,2,
1.0,2,0,782188,785587,598,787589,2101.0,2,
2.0,2,0,789697,792294,638,794296,537.0,2,
2.0,2,0,794840,797689,467,799691,888.0,2,
4.0,2,0,800586,803623,919,805625,1331.0,2,
4.0,2,0,806964,810158,477,812160,3075.0,2,
4.0,2,0,815242,817939,567,819941,2435.0,2,
1.0,1,5,822384,825065,1704,827067,1012.0,2,
3.0,2,0,828086,830985,809,832987,1476.0,2,
4.0,2,0,834470,837040,613,839042,2546.0,2,
2.0,2,0,905360,908694,1895,910696,562.0,2,
3.0,1,-10,911266,913949,734,915951,1980.0,2,
1.0,1,5,917938,920502,1090,922504,1348.0,2,
4.0,1,-100,923859,926665,1337,928667,597.0,2,
3.0,1,100,929271,932135,1575,934137,1862.0,2,
1.0,2,0,936005,938703,1027,940705,2445.0,2,
4.0,2,0,943158,946220,333,948222,2740.0,2,
3.0,1,-10,950969,954233,769,956235,1414.0,2,
4.0,2,0,957656,960270,888,962272,2796.0,2,
3.0,1,100,965075,967738,527,969740,3059.0,2,
3.0,1,100,972806,975740,1812,977742,1357.0,2,
4.0,1,10,979106,982866,1932,984868,3568.0,2,
3.0,2,0,988443,991771,1039,993773,1388.0,2,
2.0,2,0,995168,997728,1134,999730,692.0,2,
2.0,1,-5,1000429,1003007,592,1005009,810.0,2,
1.0,1,5,1005826,1008816,866,1010818,2219.0,2,
2.0,1,-5,1013044,1015811,2187,1017813,2414.0,2,
2.0,1,-5,1020234,1022788,1051,1024790,747.0,2,
2.0,2,0,1025545,1028222,458,1030224,2296.0,2,
2.0,2,0,1032527,1035311,663,1037313,1290.0,2,
