Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,126128,128646,2516,130650,519.0,2,
3.0,1,100,131182,134825,739,136830,1454.0,2,
1.0,1,5,138296,140974,1040,142978,1381.0,2,
4.0,1,-100,144371,146985,840,148990,2868.0,2,
4.0,2,0,151870,155784,929,157789,3060.0,2,
4.0,2,0,160861,163996,1157,166000,942.0,2,
3.0,1,-10,166953,169681,606,171685,2101.0,2,
1.0,1,5,173800,176713,1213,178717,590.0,2,
2.0,1,-5,179320,181895,1241,183900,3834.0,2,
1.0,1,5,187746,191485,1369,193490,1607.0,2,
1.0,1,5,195109,198229,1188,200235,3913.0,2,
2.0,1,-5,204160,206732,1442,208736,1017.0,2,
3.0,1,100,209765,212614,581,214619,922.0,2,
4.0,2,0,215552,218361,539,220366,1697.0,2,
4.0,2,0,222074,225323,879,227328,1420.0,2,
2.0,1,-5,228760,231533,1944,233538,595.0,2,
2.0,2,0,234144,236700,663,238704,1076.0,2,
1.0,1,-495,239792,243594,1238,245599,1902.0,2,
3.0,1,100,247512,250542,1237,252546,1928.0,2,
1.0,1,5,254485,257247,1912,259251,1335.0,2,
1.0,1,5,260597,264817,1066,266821,507.0,2,
1.0,1,5,267339,270088,2086,272092,701.0,2,
1.0,2,0,272805,275765,1444,277769,663.0,2,
4.0,2,0,278443,280967,1316,282971,3555.0,2,
3.0,1,100,286538,289256,682,291260,2412.0,2,
1.0,0,0,293684,296360,2674,298364,592.0,2,
1.0,1,5,298967,302157,1214,304161,1321.0,2,
3.0,1,-10,305495,309130,2617,311134,1866.0,2,
4.0,2,0,313012,315691,2009,317696,2291.0,2,
2.0,1,-5,319999,322920,2658,324924,2991.0,2,
2.0,1,495,405662,408305,1557,410310,2658.0,2,
1.0,2,0,412980,415998,692,418002,775.0,2,
2.0,1,-5,418788,421414,917,423419,2112.0,2,
3.0,1,-10,425543,428434,796,430440,1501.0,2,
3.0,1,-10,431976,434823,699,436827,1977.0,2,
2.0,1,-5,438817,442056,798,444060,924.0,2,
2.0,1,-5,444995,448112,845,450117,709.0,2,
1.0,2,0,450837,453667,1205,455672,2195.0,2,
