Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,1,-5,41723,44240,1808,46242,519.0,1,
3.0,1,100,46769,50411,1711,52413,1454.0,1,
1.0,0,0,53874,56551,2676,58553,1381.0,1,
4.0,1,-100,59941,62555,1124,64557,2868.0,1,
4.0,2,0,67432,71345,1113,73347,3060.0,1,
4.0,1,10,76414,79549,1277,81551,942.0,1,
3.0,1,-10,82500,85227,633,87229,2101.0,1,
1.0,1,5,89337,92249,754,94251,590.0,1,
2.0,1,-5,94848,97423,1118,99425,3834.0,1,
1.0,2,0,103267,107006,1970,109008,1607.0,1,
1.0,1,5,110622,113742,1406,115744,3913.0,1,
2.0,1,-5,119665,122236,1801,124238,1017.0,1,
3.0,1,100,125262,128110,600,130112,922.0,1,
4.0,2,0,131042,133850,524,135852,1697.0,1,
4.0,2,0,137556,140805,431,142807,1420.0,1,
2.0,2,0,144234,147007,316,149009,595.0,1,
2.0,2,0,149611,152166,301,154168,1076.0,1,
1.0,2,0,155251,159050,2942,161052,1902.0,1,
3.0,1,100,162962,165992,1052,167994,1928.0,1,
1.0,2,0,169929,172691,493,174693,1335.0,1,
1.0,2,0,176036,180256,431,182258,507.0,1,
1.0,2,0,182772,185520,879,187522,701.0,1,
1.0,2,0,188230,191188,1279,193190,663.0,1,
4.0,1,10,193861,196384,586,198386,3555.0,1,
3.0,1,100,201948,204665,751,206667,2412.0,1,
1.0,2,0,209086,211762,884,213764,592.0,1,
1.0,2,0,214363,217553,1647,219555,1321.0,1,
3.0,1,-10,220883,224518,721,226520,1866.0,1,
4.0,1,10,228394,231071,612,233073,2291.0,1,
2.0,1,-5,235371,238291,641,240293,2991.0,1,
2.0,2,0,314135,316776,1258,318778,2658.0,1,
1.0,2,0,321444,324462,666,326464,775.0,1,
2.0,2,0,327246,329872,750,331874,2112.0,1,
3.0,1,-10,333993,336883,473,338885,1501.0,1,
3.0,1,-10,340393,343239,600,345241,1977.0,1,
2.0,1,495,347226,350465,553,352467,924.0,1,
2.0,2,0,353398,356516,1443,358518,709.0,1,
1.0,1,5,359234,362063,940,364065,2195.0,1,
3.0,1,100,366268,369101,962,371103,3069.0,1,
3.0,1,-10,374180,377017,930,379019,1144.0,1,
4.0,1,-100,380170,383761,1118,385763,1865.0,1,
1.0,1,5,387635,390904,827,392906,1062.0,1,
4.0,2,0,393975,396486,1099,398488,808.0,1,
3.0,1,100,399303,402658,711,404660,776.0,1,
1.0,2,0,405443,408971,1459,410973,1752.0,1,
1.0,2,0,412732,415478,679,417480,2352.0,1,
1.0,2,0,419839,422661,636,424663,3747.0,1,
1.0,2,0,428417,431218,671,433220,2964.0,1,
1.0,2,0,436192,440200,551,442202,3776.0,1,
3.0,1,-10,445985,448504,617,450506,895.0,1,
4.0,2,0,451408,454597,677,456599,1167.0,1,
1.0,2,0,457773,460294,603,462296,3746.0,1,
3.0,1,-10,466050,468701,593,470703,1131.0,1,
1.0,1,-495,471841,475370,1708,477372,2179.0,1,
4.0,2,0,479558,482260,584,484262,1215.0,1,
3.0,1,-10,485485,488120,654,490122,2711.0,1,
1.0,2,0,492840,496593,765,498595,2474.0,1,
1.0,2,0,501076,503633,567,505635,743.0,1,
4.0,2,0,506385,509362,985,511364,3203.0,1,
3.0,1,100,514574,517734,645,519736,1397.0,1,
3.0,1,-10,589390,591903,346,593905,3892.0,1,
4.0,2,0,597804,600435,633,602437,3604.0,1,
1.0,2,0,606050,608701,626,610703,2096.0,1,
3.0,1,100,612807,615400,645,617402,1142.0,1,
4.0,2,0,618552,622806,632,624808,904.0,1,
1.0,2,0,625719,628343,677,630345,2617.0,1,
2.0,1,-5,632970,636327,709,638329,1534.0,1,
3.0,1,-10,639870,642999,476,645000,738.0,1,
4.0,2,0,645746,648781,530,650783,1949.0,1,
2.0,1,-5,652739,656772,898,658774,3888.0,1,
1.0,2,0,662669,665282,654,667284,846.0,1,
1.0,2,0,668138,671639,492,673641,993.0,1,
4.0,2,0,674642,677275,707,679277,2966.0,1,
4.0,2,0,682250,687135,749,689137,3919.0,1,
2.0,1,-5,693063,696063,643,698065,3413.0,1,
4.0,2,0,701485,705689,637,707691,1954.0,1,
4.0,2,0,709653,712190,856,714192,1361.0,1,
1.0,2,0,715560,718419,658,720421,3175.0,1,
3.0,1,100,723604,726223,510,728225,3801.0,1,
2.0,1,-5,732034,734855,654,736857,1205.0,1,
1.0,2,0,738070,741595,645,743597,1969.0,1,
1.0,2,0,745573,748972,578,750974,2101.0,1,
2.0,1,-5,753084,755681,577,757683,537.0,1,
2.0,1,-5,758227,761076,651,763078,888.0,1,
4.0,2,0,763974,767011,622,769013,1331.0,1,
4.0,2,0,770352,773546,787,775548,3075.0,1,
4.0,2,0,778631,781328,554,783330,2435.0,1,
1.0,2,0,785772,788454,610,790456,1012.0,1,
3.0,1,100,791476,794375,511,796377,1476.0,1,
4.0,2,0,797861,800431,664,802433,2546.0,1,
2.0,1,-5,860405,863739,731,865741,562.0,1,
3.0,1,100,866311,868994,587,870996,1980.0,1,
1.0,2,0,872983,875548,626,877550,1348.0,1,
4.0,2,0,878905,881712,673,883714,597.0,1,
3.0,1,100,884318,887183,633,889185,1862.0,1,
1.0,2,0,891055,893752,567,895754,2445.0,1,
4.0,2,0,898206,901268,872,903270,2740.0,1,
3.0,1,100,906017,909282,579,911284,1414.0,1,
4.0,2,0,912706,915320,631,917322,2796.0,1,
3.0,1,100,920126,922789,577,924791,3059.0,1,
3.0,1,-10,927857,930791,489,932793,1357.0,1,
4.0,2,0,934157,937917,607,939919,3568.0,1,
3.0,1,-10,943495,946824,700,948826,1388.0,1,
2.0,1,-5,950222,952782,797,954784,692.0,1,
2.0,1,-5,955483,958061,596,960063,810.0,1,
1.0,2,0,960880,963870,568,965872,2219.0,1,
2.0,1,495,968098,970865,627,972867,2414.0,1,
