Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance
3,1,-10,1037808,1040710,1076,1042715,1738,1
1,2,0,1044467,1048112,2221,1050117,854,1
3,1,-10,1050984,1054473,1808,1056478,1405,1
2,2,0,1057896,1060495,1617,1062500,978,1
4,2,0,1063490,1066000,1635,1068004,574,1
4,2,0,1068590,1071481,1253,1073486,1461,1
4,1,-100,1074960,1077531,1851,1079536,2058,1
1,2,0,1148404,1151722,958,1153727,2485,1
2,1,-5,1156224,1159158,1825,1161163,2870,1
2,1,-5,1164046,1166684,1167,1168688,2760,1
4,2,0,1171460,1174054,880,1176059,2680,1
4,2,0,1178752,1182916,1135,1184920,1053,1
4,2,0,1185985,1189341,1116,1191347,3218,1
4,2,0,1194576,1197605,1416,1199610,790,1
2,1,-5,1200412,1203187,1710,1205193,2712,1
4,2,0,1207917,1210739,901,1212744,1602,1
2,1,-5,1214358,1218203,1393,1220208,1452,1
3,1,-10,1221672,1224392,541,1226398,999,1
1,2,0,1227409,1230111,1464,1232116,1212,1
3,1,-10,1233340,1236105,549,1238110,645,1
1,0,0,1238768,1241439,2670,1243444,1335,1
1,2,0,1244792,1247858,1087,1249863,693,1
2,1,-5,1250568,1253800,812,1255805,643,1
2,1,-5,1256462,1259396,1103,1261401,549,1
2,2,0,1261963,1265074,1136,1267079,765,1
3,1,-10,1267866,1272090,831,1274094,547,1
4,2,0,1274652,1277522,745,1279527,1579,1
3,2,0,1281118,1284034,1222,1286039,3813,1
1,2,0,1289864,1293550,1016,1295554,1929,1
2,1,-5,1297495,1300384,834,1302389,2176,1
3,1,100,1304577,1307121,724,1309126,1940,1
2,2,0,1311081,1313657,564,1315662,2698,1
3,1,-10,1318372,1320896,1363,1322901,1632,1
4,2,0,1324546,1327287,794,1329292,1977,1
2,2,0,1331281,1333938,735,1335943,1415,1
1,2,0,1337371,1340353,695,1342360,863,1
3,2,0,1343235,1346014,1350,1348019,694,1
