Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,1,-5,185953,188473,2003,190477,519.0,2,
3.0,1,100,191008,194653,2404,196657,1454.0,2,
1.0,1,5,198124,200803,1618,202807,1381.0,2,
4.0,1,-100,204201,206817,877,208821,2868.0,2,
4.0,2,0,211702,215617,1318,217621,3060.0,2,
4.0,2,0,220694,223830,862,225834,942.0,2,
3.0,1,-10,226789,229518,2507,231522,2101.0,2,
1.0,1,5,233636,236550,1134,238554,590.0,2,
2.0,1,-5,239157,241735,1210,243739,3834.0,2,
1.0,1,5,247586,251327,1525,253331,1607.0,2,
1.0,1,5,254951,258072,788,260076,3913.0,2,
2.0,2,0,264002,266575,2219,268579,1017.0,2,
3.0,2,0,269609,272459,1545,274463,922.0,2,
4.0,2,0,275398,278209,811,280213,1697.0,2,
4.0,2,0,281923,285174,777,287178,1420.0,2,
2.0,1,-5,288611,291386,1085,293390,595.0,2,
2.0,2,0,293998,296554,776,298558,1076.0,2,
1.0,1,-495,299647,303449,683,305453,1902.0,2,
3.0,1,100,307368,310401,1058,312405,1928.0,2,
1.0,2,0,314346,317110,1244,319114,1335.0,2,
1.0,2,0,320462,324684,880,326688,507.0,2,
1.0,1,5,327208,329958,957,331962,701.0,2,
1.0,2,0,332677,335638,1071,337642,663.0,2,
4.0,1,10,338318,340843,1607,342847,3555.0,2,
3.0,1,100,346415,349135,2309,351139,2412.0,2,
1.0,1,5,353564,356242,1500,358246,592.0,2,
1.0,1,5,358851,362043,1244,364047,1321.0,2,
3.0,2,0,365382,369019,875,371023,1866.0,2,
4.0,1,10,372902,375581,1081,377585,2291.0,2,
2.0,1,-5,379890,382813,1344,384817,2991.0,2,
2.0,0,0,1670511,1673154,2640,1675158,2658.0,2,
1.0,1,5,1677829,1680849,1044,1682853,775.0,2,
2.0,1,495,1683641,1686269,869,1688273,2112.0,2,
3.0,1,100,1690398,1693291,763,1695295,1501.0,2,
3.0,1,-10,1696811,1699660,457,1701664,1977.0,2,
2.0,1,-5,1703654,1706894,614,1708898,924.0,2,
2.0,1,-5,1709835,1712954,1002,1714958,709.0,2,
1.0,1,5,1715680,1718511,787,1720515,2195.0,2,
3.0,1,-10,1722723,1725558,787,1727562,3069.0,2,
3.0,2,0,1730644,1733484,1114,1735488,1144.0,2,
4.0,1,10,1736645,1740238,994,1742242,1865.0,2,
1.0,2,0,1744120,1747391,2785,1749395,1062.0,2,
4.0,1,-100,1750470,1752983,1544,1754987,808.0,2,
3.0,1,-10,1755808,1759165,1550,1761169,776.0,2,
1.0,1,5,1761958,1765489,1091,1767493,1752.0,2,
1.0,2,0,1769258,1772007,1608,1774011,2352.0,2,
1.0,2,0,1776376,1779200,431,1781204,3747.0,2,
1.0,1,5,1784964,1787767,1160,1789771,2964.0,2,
1.0,1,5,1792749,1796759,1732,1798763,3776.0,2,
3.0,1,100,1802552,1805074,1511,1807078,895.0,2,
4.0,2,0,1807986,1811178,1270,1813182,1167.0,2,
1.0,1,5,1814362,1816885,1539,1818889,3746.0,2,
3.0,0,0,1822648,1825300,2649,1827304,1131.0,2,
1.0,1,5,1828448,1831979,1233,1833983,2179.0,2,
4.0,1,-100,1836175,1838880,672,1840884,1215.0,2,
3.0,1,-10,1842112,1844750,772,1846754,2711.0,2,
1.0,1,-495,1849478,1853232,619,1855236,2474.0,2,
1.0,2,0,1857724,1860283,685,1862287,743.0,2,
4.0,2,0,1863043,1866022,597,1868026,3203.0,2,
3.0,1,100,1871242,1874404,764,1876408,1397.0,2,
3.0,1,-10,1949513,1952028,1140,1954032,3892.0,2,
4.0,2,0,1957937,1960570,1401,1962574,3604.0,2,
1.0,2,0,1966191,1968844,1213,1970848,2096.0,2,
3.0,1,-10,1972958,1975553,781,1977557,1142.0,2,
4.0,2,0,1978712,1982968,765,1984972,904.0,2,
1.0,2,0,1985889,1988515,893,1990519,2617.0,2,
2.0,1,-5,1993149,1996508,877,1998512,1534.0,2,
3.0,1,-10,2000059,2003190,572,2005194,738.0,2,
4.0,2,0,2005945,2008982,756,2010986,1949.0,2,
2.0,1,-5,2012949,2016984,966,2018988,3888.0,2,
1.0,2,0,2022889,2025505,2233,2027509,846.0,2,
1.0,2,0,2028368,2031871,513,2033875,993.0,2,
4.0,2,0,2034881,2037516,563,2039520,2966.0,2,
4.0,2,0,2042499,2047386,686,2049390,3919.0,2,
2.0,1,-5,2053322,2056324,821,2058328,3413.0,2,
4.0,2,0,2061754,2065961,826,2067965,1954.0,2,
