Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,110952,113469,2516,115471,519.0,1,
3.0,1,100,115998,119640,1031,121642,1454.0,1,
1.0,1,5,123103,125781,1040,127783,1381.0,1,
4.0,1,-100,129171,131785,800,133787,2868.0,1,
4.0,1,10,136662,140575,1430,142577,3060.0,1,
4.0,1,10,145645,148779,1150,150781,942.0,1,
3.0,0,0,151731,154458,2726,156460,2101.0,1,
1.0,2,0,158568,161481,977,163483,590.0,1,
2.0,1,-5,164081,166657,905,168659,3834.0,1,
1.0,1,5,172500,176239,2173,178241,1607.0,1,
1.0,1,5,179856,182975,1770,184977,3913.0,1,
2.0,2,0,188897,191468,2114,193470,1017.0,1,
3.0,2,0,194494,197343,1720,199345,922.0,1,
4.0,1,10,200274,203083,853,205085,1697.0,1,
4.0,1,-100,206789,210038,868,212040,1420.0,1,
2.0,1,-5,213467,216239,1418,218241,595.0,1,
2.0,2,0,218843,221397,1380,223399,1076.0,1,
1.0,1,5,224482,228281,1476,230283,1902.0,1,
3.0,2,0,232193,235224,795,237226,1928.0,1,
1.0,1,-495,239162,241924,774,243926,1335.0,1,
1.0,2,0,245268,249488,869,251490,507.0,1,
1.0,2,0,252003,254750,665,256752,701.0,1,
1.0,2,0,257460,260418,623,262420,663.0,1,
4.0,2,0,263090,265613,1753,267615,3555.0,1,
3.0,1,-10,271178,273896,673,275898,2412.0,1,
1.0,2,0,278317,280993,2026,282995,592.0,1,
1.0,1,5,283594,286784,720,288786,1321.0,1,
3.0,2,0,290114,293748,2421,295750,1866.0,1,
4.0,2,0,297624,300302,1136,302304,2291.0,1,
2.0,1,-5,304602,307523,1114,309525,2991.0,1,
2.0,2,0,396456,399097,1657,401099,2658.0,1,
1.0,2,0,403764,406781,738,408783,775.0,1,
2.0,2,0,409565,412191,663,414193,2112.0,1,
3.0,1,100,416312,419203,766,421205,1501.0,1,
3.0,1,100,422713,425560,797,427562,1977.0,1,
2.0,2,0,429546,432784,632,434786,924.0,1,
