Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,94457,96974,2516,98976,519.0,1,
3.0,1,100,99503,103145,296,105147,1454.0,1,
1.0,1,5,106608,109286,707,111288,1381.0,1,
4.0,1,-100,112676,115290,551,117292,2868.0,1,
4.0,1,10,120167,124080,414,126082,3060.0,1,
4.0,2,0,129149,132284,909,134286,942.0,1,
3.0,1,-10,135235,137962,789,139964,2101.0,1,
1.0,1,5,142073,144985,908,146987,590.0,1,
2.0,1,-5,147585,150160,946,152162,3834.0,1,
1.0,2,0,156002,159741,1592,161743,1607.0,1,
1.0,1,5,163357,166477,655,168479,3913.0,1,
2.0,1,-5,172399,174971,698,176973,1017.0,1,
3.0,2,0,177997,180845,1089,182847,922.0,1,
4.0,2,0,183776,186584,819,188586,1697.0,1,
4.0,2,0,190290,193539,813,195541,1420.0,1,
2.0,1,-5,196968,199741,753,201743,595.0,1,
2.0,2,0,202345,204900,755,206902,1076.0,1,
1.0,1,5,207986,211786,1306,213788,1902.0,1,
3.0,1,100,215698,218728,2020,220730,1928.0,1,
1.0,1,-495,222665,225427,1028,227429,1335.0,1,
1.0,1,5,228771,232991,1355,234993,507.0,1,
1.0,2,0,235507,238255,2462,240257,701.0,1,
1.0,2,0,240966,243924,608,245926,663.0,1,
4.0,2,0,246596,249119,928,251121,3555.0,1,
3.0,1,100,254683,257401,710,259403,2412.0,1,
1.0,1,5,261822,264498,2275,266500,592.0,1,
1.0,2,0,267100,270290,1008,272292,1321.0,1,
3.0,1,100,273620,277255,817,279257,1866.0,1,
4.0,2,0,281130,283807,946,285809,2291.0,1,
2.0,2,0,288107,291027,2325,293029,2991.0,1,
2.0,1,-5,374701,377343,1522,379345,2658.0,1,
1.0,2,0,382011,385029,1260,387031,775.0,1,
2.0,2,0,387814,390439,1478,392441,2112.0,1,
3.0,1,-10,394560,397450,530,399452,1501.0,1,
3.0,1,-10,400960,403806,653,405808,1977.0,1,
2.0,1,495,407792,411031,965,413033,924.0,1,
2.0,1,-5,413964,417082,1305,419084,709.0,1,
1.0,2,0,419801,422629,2148,424631,2195.0,1,
3.0,1,-10,426833,429665,638,431667,3069.0,1,
3.0,2,0,434743,437581,947,439583,1144.0,1,
4.0,1,10,440734,444325,2773,446327,1865.0,1,
1.0,1,5,448199,451468,2073,453470,1062.0,1,
4.0,1,10,454539,457050,1203,459052,808.0,1,
3.0,1,100,459867,463221,737,465223,776.0,1,
1.0,2,0,466005,469533,1199,471535,1752.0,1,
1.0,1,5,473294,476041,1347,478043,2352.0,1,
1.0,2,0,480402,483225,643,485227,3747.0,1,
1.0,2,0,488981,491782,1680,493784,2964.0,1,
1.0,2,0,496756,500763,795,502765,3776.0,1,
3.0,1,-10,506548,509067,650,511069,895.0,1,
4.0,1,-100,511971,515161,917,517163,1167.0,1,
1.0,1,5,518337,520859,1830,522861,3746.0,1,
3.0,2,0,526614,529265,1410,531267,1131.0,1,
1.0,1,5,532405,535933,1068,537935,2179.0,1,
