Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,0,0,48006,50525,2516,52529,519.0,2,
3.0,1,100,53061,56706,1088,58710,1454.0,2,
1.0,1,5,60177,62857,1618,64861,1381.0,2,
4.0,2,0,66255,68871,1389,70875,2868.0,2,
4.0,1,-100,73757,77672,1615,79676,3060.0,2,
4.0,2,0,82749,85886,803,87890,942.0,2,
3.0,1,-10,88845,91574,704,93578,2101.0,2,
1.0,1,5,95692,98607,1397,100611,590.0,2,
2.0,1,-5,101214,103792,1360,105796,3834.0,2,
1.0,2,0,109643,113384,1468,115388,1607.0,2,
1.0,1,5,117007,120128,899,122132,3913.0,2,
2.0,2,0,126058,128631,1620,130636,1017.0,2,
3.0,2,0,131666,134517,1897,136521,922.0,2,
4.0,2,0,137456,140267,496,142271,1697.0,2,
4.0,2,0,143981,147232,612,149236,1420.0,2,
2.0,1,-5,150669,153444,1281,155448,595.0,2,
2.0,2,0,156056,158613,681,160617,1076.0,2,
1.0,1,5,161707,165508,1182,167512,1902.0,2,
3.0,2,0,169428,172461,1201,174465,1928.0,2,
1.0,1,-495,176406,179170,1214,181174,1335.0,2,
1.0,2,0,182522,186744,1660,188748,507.0,2,
1.0,2,0,189268,192017,611,194021,701.0,2,
1.0,1,5,194736,197696,933,199700,663.0,2,
4.0,2,0,200376,202901,1170,204905,3555.0,2,
3.0,1,100,208473,211193,1324,213197,2412.0,2,
1.0,2,0,215622,218300,1285,220304,592.0,2,
1.0,2,0,220909,224101,1187,226105,1321.0,2,
3.0,1,100,227440,231077,1305,233081,1866.0,2,
4.0,2,0,234960,237639,846,239643,2291.0,2,
2.0,2,0,241947,244870,2190,246874,2991.0,2,
2.0,1,-5,314070,316714,1841,318718,2658.0,2,
1.0,2,0,321389,324409,1687,326413,775.0,2,
2.0,2,0,327202,329830,872,331834,2112.0,2,
3.0,1,100,333960,336853,515,338857,1501.0,2,
3.0,1,-10,340371,343220,1188,345224,1977.0,2,
2.0,2,0,347214,350454,1534,352458,924.0,2,
2.0,2,0,353395,356515,1304,358519,709.0,2,
1.0,2,0,359241,362072,1805,364076,2195.0,2,
3.0,1,-10,366284,369119,702,371123,3069.0,2,
3.0,2,0,374205,377044,1372,379048,1144.0,2,
4.0,2,0,380205,383798,1192,385802,1865.0,2,
1.0,2,0,387680,390951,1111,392956,1062.0,2,
4.0,2,0,394031,396544,1146,398548,808.0,2,
3.0,1,-10,399369,402726,628,404730,776.0,2,
1.0,1,5,405520,409051,1449,411055,1752.0,2,
1.0,2,0,412820,415574,1163,417578,2352.0,2,
1.0,1,5,419943,422768,1223,424772,3747.0,2,
1.0,1,5,428532,431335,1981,433339,2964.0,2,
1.0,2,0,436316,440325,1782,442329,3776.0,2,
3.0,2,0,446119,448640,1176,450644,895.0,2,
4.0,2,0,451552,454743,1636,456747,1167.0,2,
1.0,1,5,457928,460452,1462,462456,3746.0,2,
3.0,2,0,466215,468868,892,470872,1131.0,2,
1.0,1,5,472017,475547,1343,477551,2179.0,2,
4.0,2,0,479744,482449,880,484453,1215.0,2,
3.0,2,0,485681,488318,1048,490322,2711.0,2,
1.0,1,5,493046,496800,615,498804,2474.0,2,
1.0,2,0,501291,503850,1727,505854,743.0,2,
4.0,2,0,506610,509589,792,511593,3203.0,2,
3.0,2,0,514809,517971,818,519975,1397.0,2,
3.0,2,0,577376,579892,1277,581896,3892.0,2,
4.0,1,10,585801,588434,929,590438,3604.0,2,
1.0,1,5,594055,596707,1135,598711,2096.0,2,
3.0,2,0,600820,603416,955,605420,1142.0,2,
4.0,1,10,606575,610831,1967,612835,904.0,2,
1.0,1,5,613752,616379,1168,618383,2617.0,2,
2.0,2,0,621013,624372,1368,626376,1534.0,2,
3.0,2,0,627923,631053,1023,633057,738.0,2,
4.0,1,10,633808,636844,1352,638848,1949.0,2,
2.0,2,0,640812,644847,866,646851,3888.0,2,
1.0,1,5,650753,653369,617,655373,846.0,2,
1.0,2,0,656232,659736,1338,661740,993.0,2,
4.0,1,-100,662746,665380,1278,667384,2966.0,2,
4.0,2,0,670363,675249,910,677253,3919.0,2,
2.0,1,-5,681185,684187,1597,686191,3413.0,2,
4.0,2,0,689618,693825,735,695829,1954.0,2,
4.0,2,0,697796,700334,1427,702338,1361.0,2,
1.0,1,-495,703712,706572,1143,708576,3175.0,2,
3.0,1,100,711764,714385,1568,716389,3801.0,2,
2.0,2,0,720203,723026,1261,725030,1205.0,2,
1.0,2,0,726248,729776,1434,731780,1969.0,2,
1.0,2,0,733762,737163,709,739167,2101.0,2,
2.0,2,0,741281,743880,1185,745884,537.0,2,
2.0,2,0,746434,749284,986,751288,888.0,2,
4.0,2,0,752189,755228,1430,757232,1331.0,2,
4.0,2,0,758576,761773,699,763777,3075.0,2,
4.0,2,0,766865,769565,1386,771569,2435.0,2,
1.0,2,0,774018,776701,1234,778705,1012.0,2,
3.0,1,-10,779731,782631,543,784635,1476.0,2,
4.0,1,-100,786124,788696,1572,790700,2546.0,2,
2.0,2,0,849187,852523,1273,854527,562.0,2,
3.0,1,100,855102,857787,1913,859792,1980.0,2,
1.0,2,0,861786,864353,1044,866357,1348.0,2,
4.0,2,0,867718,870527,1203,872531,597.0,2,
3.0,1,-10,873141,876007,1352,878011,1862.0,2,
