,Unnamed: 0,Unnamed: 0.1,model,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp
0,35,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,100.71851660197628,100207.0,0.247034731517063,0.054658208582407435,3.020877219113347,1.0,0.7482820613782304,-0.09047940384758367,-0.0018011846066653156,
1,44,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,100.71851660206423,100207.0,0.17961714553785058,0.05583272667338923,2.3533871678198413,1.0,0.7482819967982473,-0.09047943147674406,-0.001801180941739445,
2,25,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,100.71851660432577,100207.0,0.0970981568108128,0.02936611070658568,2.8238836494556647,1.0,0.7482801812874739,-0.09048020900809378,-0.0018011630366269172,
3,9,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.02560759233565,100207.0,0.8618530638888826,0.3812700178037463,0.31573129198184724,1.0,-0.12525051955989674,0.11455588557368625,0.0020118402811409508,
4,40,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.0256075923687,100207.0,0.3594762870750404,0.18621774453786652,0.18353514175787625,1.0,-0.12525069509048392,0.11455604945539538,0.0020118292155731146,
5,38,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.26263813469022,100207.0,0.06507383306604342,0.6798675849752219,1.007652536158058,1.0,-0.08572831250424306,0.08203765103245016,0.004984540661530755,
6,12,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.2626381346946,100207.0,0.30469874966674515,0.17138027391940713,3.1516896211994827,1.0,-0.08572827154952488,0.08203765781816902,0.004984552748106365,
7,21,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.26263813469689,100207.0,0.11499441900773255,0.04610312123823568,1.5025351968694216,1.0,-0.08572873668891054,0.08203763131716336,0.004984510972525338,
8,17,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.2626381347075,100207.0,0.7536737116539802,0.2758327743392952,0.4008444134394912,1.0,-0.08572844223251555,0.08203739681324204,0.004984530157973892,
9,18,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.26263813471434,100207.0,0.2226366075327827,0.14422386447850888,1.533050116883946,1.0,-0.08572866206779803,0.08203813169334864,0.004984501351562408,
10,7,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.2626381347159,100207.0,0.25044109495650824,0.21977240881817986,2.3175346159679977,1.0,-0.08572899809124276,0.08203756430525161,0.004984480084135769,
11,27,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.26263813471711,100207.0,0.30965474297228696,0.2943235384988082,3.7881053145603145,1.0,-0.08572877925951419,0.0820379743354242,0.004984504077868946,
12,31,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,106.26263813472113,100207.0,0.2863711322985405,0.2516988946897325,1.9596069278588475,1.0,-0.08572851951348431,0.08203760502627329,0.004984514052148468,
13,16,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.45892335147995,100207.0,0.37367549206987183,0.8462323291548555,0.5318202847426201,1.0,0.917086466062758,135.15625466855258,0.0002861843724077687,
14,49,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.47134576115441,100207.0,0.4568127882799666,0.3728204955334431,0.24864848046115215,1.0,0.9150086476415292,128.3791891500308,0.00030082514277099485,
15,8,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.54422909442972,100207.0,0.5329632818988459,0.43909771273808784,2.2105382128224207,1.0,0.9047066813396114,101.1035531147545,0.00036063031699251277,
16,45,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.56659282314085,100207.0,0.6732913981979146,0.6797959677060875,0.807226254380361,1.0,0.902374192353164,95.96753977698015,0.0003760318038643232,
17,5,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.56874634327774,100207.0,0.791529863821046,0.7384284092254457,1.7823609406779817,1.0,0.9004969283199378,92.62831085275177,0.00039143752890258255,
18,33,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,109.57536010955398,100207.0,0.7577926325211285,0.4340673697229549,1.329356276679476,1.0,0.8997926524714781,91.19782894785286,0.00037508625612635456,
19,2,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,506.862534307563,100207.0,0.11229000856181026,0.29765195848274395,1.696211273725463,1.0,0.026518161898070318,0.5628382403623025,0.4278086822156881,
20,22,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,3982.234097484634,100207.0,0.516628333214025,0.099099873795796,3.2378381276955785,1.0,1.0756245537006843,0.013004767898910237,1.6864435575956411,
21,24,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,4419.151278099383,100207.0,0.5206064010485045,0.053850308913187206,3.0586930011175744,1.0,1.045851521629405,0.03146892714229013,1.998689833594105,
22,23,,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp_,6234.823921997698,100207.0,0.8220922031640048,0.1309589659191941,3.4547439112016542,1.0,1.1356972841963566,0.0736740166299836,2.8963621549894487,
